TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
0.092879819,0,0,0,0,0,0,0,0,0,0,0,0
0.139319728,0,0,0,0,0,0,0,0,0,0,0,0
0.185759637,0,0,0,0,0,0,0,0,0,0,0,0
0.232199546,0.717245,0.153206,0.455464,0.818379,0.367748,0.0318553,0.34386,2.01146,0.126026,0.459202,0.546357,1.03813
0.278639456,0,0,0,0,0,0,0,0,0,0,0,0
0.325079365,0,0,0,0,0,0,0,0,0,0,0,0
0.371519274,0,0,0,0,0,0,0,0,0,0,0,0
0.417959184,0,0,0,0,0,0,0,0,0,0,0,0
0.464399093,0,0,0,0,0,0,0,0,0,0,0,0
0.510839002,0,0,0,0,0,0,0,0,0,0,0,0
0.557278912,0,0,0,0,0,0,0,0,0,0,0,0
0.603718821,0,0,0,0,0,0,0,0,0,0,0,0
0.650158730,0,0,0,0,0,0,0,0,0,0,0,0
0.696598639,0,0,0,0,0,0,0,0,0,0,0,0
0.743038549,0,0,0,0,0,0,0,0,0,0,0,0
0.789478458,0,0,0,0,0,0,0,0,0,0,0,0
0.835918367,0,0,0,0,0,0,0,0,0,0,0,0
0.882358277,0,0,0,0,0,0,0,0,0,0,0,0
0.928798186,0,0,0,0,0,0,0,0,0,0,0,0
0.975238095,0,0,0,0,0,0,0,0,0,0,0,0
1.021678005,0,0,0,0,0,0,0,0,0,0,0,0
1.068117914,2.45025,0.0590629,0.298814,0.605792,0.146201,0.0143654,0.0505427,2.09353,0.379726,0.195981,0.098633,0.408803
1.114557823,2.42706,0.0330678,0.408698,0.637795,0.153302,0.0339976,0.0691137,2.33788,0.367693,0.0193613,0.0450061,0.20236
1.160997732,2.35595,0.0702245,0.409371,0.771012,0.153454,0.0557196,0.147185,2.35767,0.285495,0.00466127,0.0334084,0
1.207437642,0,0,0,0,0,0,0,0,0,0,0,0
1.253877551,0,0,0,0,0,0,0,0,0,0,0,0
1.300317460,0,0,0,0,0,0,0,0,0,0,0,0
1.346757370,0,0,0,0,0,0,0,0,0,0,0,0
1.393197279,0,0,0,0,0,0,0,0,0,0,0,0
1.439637188,1.4342,0.372263,1.38311,0.445763,0.0136948,0,0.0694988,0.150994,3.07841,0,0.0423161,0
1.486077098,1.28648,0.430715,0.553857,0.567799,0.011307,0.0328322,0.0583493,0.383241,3.15532,0,0.206576,0.0159446
1.532517007,0.986412,0.203148,0.328462,0.772003,0.027205,0.274556,0.0616692,0,3.30926,0.0243319,0.00228588,0.0765396
1.578956916,1.07693,0.157143,0.242415,0.896172,0.031007,0.808969,0.0561415,0,3.42258,0.0214724,0.0026024,0.0495566
1.625396825,1.22132,0.089739,0.330035,0.755096,0.0903056,1.07759,0.0904765,0.0141219,3.56909,0,0.00256822,0.019431
1.671836735,1.32884,0.114321,0.261103,0.70838,0.333924,1.1525,0.0785159,0.0319254,3.57312,0,0.00185646,0
1.718276644,1.20181,0.0836534,0.00240294,0.839874,0.267797,1.05437,0.0851512,0.0344472,3.6293,0,0.000746344,0
1.764716553,0.997148,0.0151528,0.0716121,0.840949,0.0635153,1.09392,0.0439587,0.0197534,3.74689,0,0,0
1.811156463,1.01686,0.0340931,0.110818,0.878619,0.0284434,0.947064,0.025616,0.0167471,3.76351,0,0,0
1.857596372,1.39649,0.00335473,0.203427,0.928402,0.0646835,0.842211,0.0197395,0,3.76205,0,0.000432136,0
1.904036281,1.59205,0.00354422,0.0237247,0.98993,0.312566,0.819222,0.0171983,0,3.67038,0.00200411,0.0373786,0
1.950476190,1.45029,0.00473937,0.0333278,0.979482,0.250506,0.831448,0.014945,0,3.71654,0.045584,0,0
1.996916100,1.24998,0.00453269,0.337504,0.924981,0.138644,0.700675,0.0130789,0,3.7712,0.0308963,0,0
2.043356009,1.01764,0.0038737,0.433115,0.868729,0,0.57503,0.0396605,0,3.82384,0,0.00127799,0
2.089795918,1.09094,0.00423727,0.328942,0.92766,0,0.558578,0.0615358,0,3.80954,0,0.00320005,0.0165272
2.136235828,1.22832,0.0563006,0.122806,0.98138,0,0.459751,0.0636971,0.0287835,3.77634,0,0.00306574,0
2.182675737,0.842573,0.0998162,0.00455034,1.03459,0,0.490765,0.0536908,0.0358021,3.73346,0,0.315667,0
2.229115646,0.920877,0.0560448,0.00364981,0.997334,0.000563957,0.716469,0.0326558,0.0485758,3.69706,0,0.333759,0
2.275555556,1.01136,0.137723,0.147466,1.04179,0.010407,0.648686,0.0322355,0.0265466,3.45547,0,0.121684,0
2.321995465,1.03335,0.201327,0.142556,1.09244,0,0.586232,0.0323344,0.0139104,3.21233,0,0.0593296,0
2.368435374,0.900734,0.0826635,0.12814,0.992494,0,0.575484,0.029425,0.0206222,3.25311,0,0.0443949,0
2.414875283,0.676775,0.0275871,0.139649,0.759015,0,0.64249,0.0192111,0.023953,3.44302,0,0.0752077,0
