Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3izLHzAhx8YYmsBkuqB2BZ,"Azale","Tuareg Music of the Southern Sahara","Tuareg women of the Tamesguidda tribe",1960-01-01,190133,1,false,czqia742k62hp3i06dpcp7a9z,2026-01-03T21:36:15Z,"traditionele muziek","Folkways Records",0.47,0.418,0,-14.757,0,0.289,0.756,0.161,0.279,0.757,79.997,4
spotify:track:1p4YbaONIjIpbUaGoiEG5s,"Ezzel N Oufada Aoua Etteb Ales Ou N Abaradh","Tuareg Music of the Southern Sahara","Tuareg musicians",1960-01-01,191400,1,false,czqia742k62hp3i06dpcp7a9z,2026-01-03T21:36:23Z,"traditionele muziek","Folkways Records",0.256,0.159,3,-18.751,1,0.0401,0.99,0.918,0.12,0.328,81.725,3
spotify:track:0NWPxcsf5vdjdiFUI8NgkP,"Hey Joe","Are You Experienced","Jimi Hendrix",1967-05-12,210160,67,false,czqia742k62hp3i06dpcp7a9z,2026-01-03T21:36:59Z,"psychedelische rock,classic rock,acid rock,bluesrock","Legacy Recordings",0.346,0.768,9,-5.695,1,0.0377,0.00603,0.38,0.0244,0.532,169.492,4
spotify:track:37Tmv4NnfQeb0ZgUC4fOJj,"Sultans Of Swing","Dire Straits","Dire Straits",1978-10-07,348400,85,false,czqia742k62hp3i06dpcp7a9z,2026-01-03T21:36:33Z,"classic rock","EMI",0.733,0.794,5,-10.023,1,0.0307,0.0614,0.0367,0.33,0.931,148.174,4
spotify:track:2PY1sEINloyS5qE2c8pZ9M,"Soixante Trois","Idrache (Traces Of The Past)","Tinariwen",2024-11-15,313626,38,false,czqia742k62hp3i06dpcp7a9z,2026-01-04T19:38:01Z,"gnawa","Wedge",0.594,0.233,2,-13.644,0,0.0315,0.798,0.00726,0.0873,0.304,84.686,4
spotify:track:1G0jMlCUmMX2L2caGI4AVa,"Iwouksane","AMGHAR The Godfather of Tuareg Music, Vol. 1","Abdallah Oumbadougou",2024-03-01,249286,4,false,czqia742k62hp3i06dpcp7a9z,2026-01-03T21:38:00Z,"gnawa","Strong Place Music",0.421,0.672,0,-7.738,1,0.0335,0.382,0.000511,0.137,0.875,80.026,1
spotify:track:5zHFoLDuJDgHv8rgsvWXfl,"Amandrai - with Ry Cooder","Talking Timbuktu (with Ry Cooder)","Ali Farka Touré;Ry Cooder",1994-03-28,563800,37,false,czqia742k62hp3i06dpcp7a9z,2026-01-03T21:38:18Z,"gnawa,blues,country blues,americana,countryrock,roots rock","World Circuit",0.526,0.126,10,-21.006,1,0.0496,0.651,0.00677,0.0921,0.398,165.509,3
spotify:track:36yiMWZzACLXonEZrw4gp1,"Afous Dafous","Tartit: Amankor / The Exile","Tartit",2019-01-25,192000,30,false,czqia742k62hp3i06dpcp7a9z,2026-01-03T21:38:10Z,"gnawa,ethiopische jazz","Riverboat Records/World Music Network",0.487,0.264,7,-17.358,1,0.161,0.746,0.492,0.189,0.762,176.869,4
spotify:track:5njUDUOxj4MKrDP0M4l5ht,"Tenere Taqqim Tossam","Tassili","Tinariwen;Kyp Malone;Tunde Adebimpe",2011-08-29,253320,21,false,czqia742k62hp3i06dpcp7a9z,2026-01-04T20:48:30Z,"gnawa","[PIAS] Cooperative",0.747,0.804,11,-8.188,0,0.114,0.82,0.00241,0.109,0.877,98.822,4
spotify:track:4rsnBub8vLNrUNMBZVGvR3,"Ahoulaguine Akaline (I Greet My Country)","Agadez","Bombino",2011-04-12,243080,27,false,czqia742k62hp3i06dpcp7a9z,2026-01-03T21:38:40Z,"gnawa","Cumbancha",0.421,0.542,6,-9.607,0,0.0286,0.776,0.941,0.168,0.378,151.434,4
spotify:track:3JSYL97i6hlyvtwPrDqUEl,"Tahabort","Imarhan","Imarhan",2016-04-29,210880,46,false,czqia742k62hp3i06dpcp7a9z,2026-01-03T21:39:35Z,"gnawa","City Slang",0.739,0.687,5,-7.145,0,0.0483,0.244,0.458,0.164,0.617,121.363,4
spotify:track:4FrhsHylr4LzdViLyFngXZ,"Achibaba","Les Filles de Illighadad","Les Filles de Illighadad",2016-02-24,166440,39,false,czqia742k62hp3i06dpcp7a9z,2026-01-03T21:40:44Z,"gnawa","Sahel Sounds",0.328,0.312,4,-14.399,1,0.042,0.907,0.901,0.108,0.407,174.594,3
spotify:track:00bIKqByVULzq70o14QWtU,"Tehigren (The Trees )","Deran","Bombino",2018-05-18,271727,22,false,czqia742k62hp3i06dpcp7a9z,2026-01-03T21:38:55Z,"gnawa","Partisan Records",0.388,0.845,2,-5.298,1,0.0713,0.0195,0.00218,0.102,0.275,105.001,4
spotify:track:7uY3z3xwpGM2sOdiElpQAU,"Tarhatazed","Ilana (The Creator)","Mdou Moctar",2019-03-29,447083,36,false,czqia742k62hp3i06dpcp7a9z,2026-01-03T21:40:15Z,"gnawa","Matador",0.223,0.701,0,-9.767,0,0.0409,0.0104,0.891,0.0894,0.216,106.29,4
spotify:track:0EY3h4xFDtRkHA8dGED9qR,"Derhan N'Oulhine","Derhan N'Oulhine","Imarhan",2025-10-15,213203,44,false,czqia742k62hp3i06dpcp7a9z,2026-01-03T21:39:53Z,"gnawa","City Slang",0.508,0.634,2,-9.944,1,0.0366,0.499,0.863,0.463,0.622,154.455,3
