TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
0.092879819,0,0,0,0,0,0,0,0,0,0,0,0
0.139319728,0.000198529,0.893078,0.581141,1.6279,0.368442,0.243338,0.0580265,3.20329,0.000128575,0,0.41103,0.241953
0.185759637,0.0137686,1.31928,0.314019,1.84059,0.231046,0.00197516,0.0112156,3.29236,6.79619e-05,0,0.396357,0.316769
0.232199546,0.0966855,1.48189,0.25193,1.77738,0.0960701,0,0.00334234,3.32578,0.00129942,0,0.397104,0.358009
0.278639456,0.0960337,1.59598,0.212652,1.6504,0.0227123,0,0.0106392,3.32021,0.00281154,0,0.404656,0.347263
0.325079365,0.0868606,2.21122,0.0183602,1.36975,0.0326819,0,0.0336441,3.13868,0.00390031,0.0792538,0.339285,0.268307
0.371519274,0.139242,2.60314,0.00190652,1.02198,0.206848,0.125378,0.0829149,2.68346,0.00453356,0.364583,0.17684,0.224559
0.417959184,0.240324,2.56334,0.00358606,0.943975,0.242392,0.181297,0.114659,2.28441,0.112123,0.652273,0.278951,0.251063
0.464399093,0.277968,2.25221,0.00353581,1.03891,0.206386,0.197523,0.119267,2.33933,0.174133,0.708592,0.422182,0.273213
0.510839002,0.197909,1.83989,0.0193718,0.982545,0.178026,0.25131,0.0492557,2.90336,0.13371,0.521967,0.544378,0.278908
0.557278912,0.22586,1.69355,0,0.991334,0.175835,0.464334,0.0387795,2.72549,0.065756,0.247063,0.445427,0.244531
0.603718821,0.0690016,2.9736,0.00112816,0.779239,0.0380358,0.92068,0.0515871,2.00242,0.0704096,0.042194,0.364865,0.131747
0.650158730,0.0311214,3.10297,0.00912759,0.620419,0.0383046,1.18028,0.0475343,1.40172,0.208406,0.0247399,0.2331,0.116701
0.696598639,0.140443,2.98761,0.00539428,0.616263,0.028353,1.12035,0.0388994,1.01087,0.394796,0.0177472,0.0373857,0.163291
0.743038549,0.189554,2.77526,0.00469066,0.729385,0.0375755,0.881075,0.0293464,0.964222,0.265822,0.00189911,0.00275308,0.156193
0.789478458,0.0568477,2.36929,0.0167563,0.715808,0.0169787,0.880904,0.041501,1.33973,0.0824329,0.0167958,0.0503915,0.341465
0.835918367,0.0644011,2.00426,0.14843,0.720406,0.00605773,0.94632,0,1.77666,0.0495393,0.0667661,0.102614,0.583571
0.882358277,0.0175853,1.9311,0.0666225,0.754709,0.0306328,1.01837,0,2.09749,0.0530412,0.262939,0.111205,0.52471
0.928798186,0,1.83746,0.00171261,0.795968,0.0449934,1.18182,0,2.16558,0.0332528,0.289572,0.115168,0.524534
0.975238095,0.0152707,1.36846,0.377631,0.804624,0.135155,0.430192,0.00579711,3.24851,0.014978,0.0974272,0.164382,0.765512
1.021678005,0.21782,1.28292,0.679817,0.735292,0.165299,0.0932044,0,3.47504,0.0416647,0.141881,0.135814,0.374449
1.068117914,0.122418,1.41936,0.673497,0.634988,0.132574,0.0292401,0,3.55102,0.090852,0.129893,0.185111,0.346576
1.114557823,0.0439788,1.50814,0.680518,0.638749,0,0.0400036,0,3.65414,0.0656211,0.136496,0.164122,0.350113
1.160997732,0.0432147,1.486,0.77131,0.68194,0,0.0543014,0,3.67955,0.0428161,0.0754753,0.216279,0.23419
1.207437642,0.0813789,1.60837,0.741204,0.807462,0,0.0650557,0.00934819,3.5606,0.0754991,0.050061,0.237351,0.195892
1.253877551,0.133829,1.72231,0.637101,0.925193,0,0.0784342,0,3.49146,0.0412192,0.0991165,0.196315,0.209039
1.300317460,0.213707,1.38143,0.560478,1.28244,0.0115882,0.0930337,0.00125506,3.53285,0.0365289,0.138596,0.0146036,0.280649
1.346757370,0.252134,1.06694,0.504569,1.3787,0.0428416,0.10693,0.00587889,3.47047,0.0366912,0.138631,0,0.322656
1.393197279,0.156509,0.961701,0.53208,0.941277,0.00033135,0.112962,0,3.46315,0.0347546,0.1299,0.119174,0.377446
1.439637188,0.0702326,1.07339,0.447209,0.645605,0,0.0365117,0.106895,3.62036,0.037422,0.121637,0.238478,0.348275
1.486077098,0.056213,1.12508,0.579464,0.667476,0.0916025,0.0411316,0.0678816,3.65478,0.0459005,0.127246,0.24969,0.309717
1.532517007,0.0748012,1.1419,0.615148,0.672899,0.118378,0.0512788,0,3.61889,0.046149,0.129376,0.383638,0.280445
1.578956916,0.2416,0.997504,0.594986,0.680942,0.101539,0.0620702,0.1196,3.50597,0.0451961,0.132635,0.377395,0.235868
1.625396825,0.251513,0.943218,0.620069,0.671487,0.0701508,0.061964,0.111623,3.47891,0.0430799,0.131018,0.348943,0.25033
1.671836735,0.200675,1.30543,0.634912,0.678986,0,0.0507322,0.0469443,3.50023,0.0482511,0.114579,0.339948,0.311261
1.718276644,0.467863,1.3715,0.484162,0.691342,0,0.0495524,0.00335711,3.40028,0.0524161,0.103088,0.498035,0.333113
