TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-585.912,-31.347,11.7672,-6.6345,-0.383774,-3.64319,-0.103201,-3.95709,5.97279,-0.976261,4.80487,-2.95675,2.6886,-1.10299,1.99092,-1.32313,0.905283,-2.11032,-0.543814,-1.91522,0.608488
0.023219955,-588.448,-29.2394,20.7245,-10.5511,-3.16491,6.51012,5.39191,-3.92869,6.73471,-4.18666,4.28662,-5.40942,1.88367,-1.45604,1.20714,-1.11088,3.01469,0.00138981,0.275572,-2.08017,-0.704858
0.046439909,-587.041,-28.2036,17.9257,-11.0474,-4.66042,0.344103,1.93859,-7.18921,3.33595,-4.04368,3.79986,-5.31225,2.27869,-0.500551,3.75053,0.893831,1.40745,-1.50621,0.234806,-1.09283,1.30406
0.069659864,-587.358,-28.2604,19.903,-10.5069,-5.01914,-0.0994512,1.44323,-5.84418,6.35529,-4.2399,3.38995,-2.72459,4.4812,-1.08081,1.21118,-1.03472,2.09646,-0.091615,0.0272139,-1.37565,-0.119107
0.092879819,-589.675,-28.989,19.9453,-11.7216,-5.70086,1.62547,4.17081,-5.85683,2.79878,-5.29759,5.83451,-6.6633,0.82661,-1.57603,0.940456,-0.348983,1.0479,-1.20976,-1.65271,-1.63176,0.986741
0.116099773,-591.732,-29.8027,19.8729,-10.2622,-3.9659,2.35151,6.25118,-3.81373,5.57909,-4.35071,3.16775,-5.579,4.04063,-1.12763,0.580532,-3.08954,0.686038,0.337789,2.20456,-0.610399,1.37022
0.139319728,-588.803,-28.8129,20.1256,-11.5337,-3.41557,2.50995,1.50772,-5.08678,4.4507,-3.20063,6.40942,-2.67421,3.38033,-1.40575,3.18638,0.0753302,0.0352382,-0.378517,0.185005,-2.17895,-0.446661
0.162539683,-587.274,-29.7293,18.0904,-10.3803,-2.93093,1.41114,1.6421,-6.83807,5.42778,-4.33804,5.16751,-5.29411,1.30072,-0.809647,3.70125,-1.50428,-0.0630614,-0.935749,-1.37182,-3.17644,-0.396921
0.185759637,-590.494,-29.0725,17.8577,-13.2246,-5.41101,0.428069,0.562986,-7.09013,4.35072,-3.95622,4.3088,-4.97487,-0.452498,-1.96256,2.73372,-2.60641,1.44366,0.00737578,-1.97064,-2.70627,0.569638
0.208979592,-595.246,-33.9395,17.2483,-9.55095,-3.69463,-0.715768,2.9676,-4.18241,4.27546,-6.53884,3.44107,-3.91281,3.87227,-1.71694,2.45935,0.0616354,1.65788,-1.59835,-1.84724,-1.81701,1.19838
0.232199546,-346.926,24.21,-0.829348,7.36664,-6.19515,-3.09711,-3.05964,-3.37768,-3.09043,-5.50626,-3.90772,-2.50104,-0.475399,-0.878224,-0.955308,-3.33862,-1.33625,-1.49197,1.64351,-0.405367,0.465682
0.255419501,-338.773,31.2462,14.9338,7.58224,7.28191,7.44618,3.97093,0.371607,-4.49086,-4.82537,-1.56774,0.807704,2.79638,-0.312002,-1.85473,-3.33318,-2.27722,0.616088,1.91836,3.41548,1.84464
