Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3N02rdKYcUq6nabDpCRv7v,"Heavy/Like a Witch","Our Mother Electricity","All Them Witches",2012-12-07,347875,43,false,czqia742k62hp3i06dpcp7a9z,2026-02-15T17:11:28Z,"stonerrock,stoner metal,neo-psychedelisch,psychedelische rock,spacerock,sludge metal,bluesrock","Elektrohasch",0.323,0.903,0,-6.537,1,0.125,0.00249,0.571,0.104,0.255,152.827,4
spotify:track:5DURZTFDFu8bQMU0Ik2om8,"The Urn","Our Mother Electricity","All Them Witches",2012-12-07,217500,35,false,czqia742k62hp3i06dpcp7a9z,2026-02-15T17:11:28Z,"stonerrock,stoner metal,neo-psychedelisch,psychedelische rock,spacerock,sludge metal,bluesrock","Elektrohasch",0.382,0.826,7,-5.569,1,0.0497,0.0000207,0.571,0.12,0.52,119.817,4
spotify:track:3NcJLTtUsQbmkzOAZDcrRL,"Bloodhounds","Our Mother Electricity","All Them Witches",2012-12-07,210756,32,false,czqia742k62hp3i06dpcp7a9z,2026-02-15T17:11:28Z,"stonerrock,stoner metal,neo-psychedelisch,psychedelische rock,spacerock,sludge metal,bluesrock","Elektrohasch",0.266,0.873,6,-5.573,1,0.125,0.00322,0.462,0.189,0.476,173.594,4
spotify:track:6TusJoMuyFkdc1dP7a9uXt,"Guns","Our Mother Electricity","All Them Witches",2012-12-07,265625,35,false,czqia742k62hp3i06dpcp7a9z,2026-02-15T17:11:28Z,"stonerrock,stoner metal,neo-psychedelisch,psychedelische rock,spacerock,sludge metal,bluesrock","Elektrohasch",0.312,0.836,9,-6.75,0,0.0405,0.0165,0.902,0.08,0.418,75.787,4
spotify:track:5PMpxJQfyrMPTfdEmyohky,"Elk.Blood.Heart","Our Mother Electricity","All Them Witches",2012-12-07,352073,40,false,czqia742k62hp3i06dpcp7a9z,2026-02-15T17:11:28Z,"stonerrock,stoner metal,neo-psychedelisch,psychedelische rock,spacerock,sludge metal,bluesrock","Elektrohasch",0.425,0.437,2,-8.133,0,0.0354,0.0732,0.00242,0.32,0.137,131.795,3
spotify:track:7aRgFtaZN7iO3GcClRNoEM,"Until It Unwinds","Our Mother Electricity","All Them Witches",2012-12-07,513451,26,false,czqia742k62hp3i06dpcp7a9z,2026-02-15T17:11:28Z,"stonerrock,stoner metal,neo-psychedelisch,psychedelische rock,spacerock,sludge metal,bluesrock","Elektrohasch",0.322,0.868,2,-6.284,1,0.0574,0.0125,0.846,0.145,0.427,143.056,4
spotify:track:6Otfykjo9ZjRvUzbjwPEUk,"Easy","Our Mother Electricity","All Them Witches",2012-12-07,250840,31,false,czqia742k62hp3i06dpcp7a9z,2026-02-15T17:11:28Z,"stonerrock,stoner metal,neo-psychedelisch,psychedelische rock,spacerock,sludge metal,bluesrock","Elektrohasch",0.457,0.546,2,-7.249,1,0.0273,0.288,0.329,0.108,0.0839,130.886,4
spotify:track:1yqY69NQtv4KiR2p8rcLR2,"Family Song for the Leaving","Our Mother Electricity","All Them Witches",2012-12-07,225414,26,false,czqia742k62hp3i06dpcp7a9z,2026-02-15T17:11:28Z,"stonerrock,stoner metal,neo-psychedelisch,psychedelische rock,spacerock,sludge metal,bluesrock","Elektrohasch",0.414,0.309,2,-15.196,1,0.0279,0.408,0.0111,0.138,0.0987,80.364,4
spotify:track:4KmF9vLhT886a79woNJXWd,"Right Hand","Our Mother Electricity","All Them Witches",2012-12-07,353250,39,false,czqia742k62hp3i06dpcp7a9z,2026-02-15T17:11:28Z,"stonerrock,stoner metal,neo-psychedelisch,psychedelische rock,spacerock,sludge metal,bluesrock","Elektrohasch",0.31,0.691,5,-6.545,1,0.0364,0.00607,0.743,0.104,0.338,137.901,3
spotify:track:3aLEiYCj0Tn8Ib3uItqDCq,"I Can't Even See Myself (Bonus)","Our Mother Electricity","All Them Witches",2012-12-07,191751,27,false,czqia742k62hp3i06dpcp7a9z,2026-02-15T17:11:28Z,"stonerrock,stoner metal,neo-psychedelisch,psychedelische rock,spacerock,sludge metal,bluesrock","Elektrohasch",0.362,0.857,0,-4.051,1,0.0716,0.017,0.0018,0.332,0.42,91.185,4
