TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
0.092879819,2.99863,0.438484,0,0.102794,1.22688,0.0224464,0.0610374,1.20458,0.212553,0.183781,0.811892,0.656136
0.139319728,3.82091,0.0979069,0.0100255,0.0967741,1.40927,0,0.0545076,1.20743,0.0731266,0.214275,0.521716,0.515735
0.185759637,4.12357,0.00124585,0.0155666,0.0771271,1.5337,0,0.30854,1.20745,0.0468663,0.20663,0.49466,0.176815
0.232199546,4.33887,0.0438975,0.0201413,0.0628176,1.59467,0,0.448486,1.23101,0.0284105,0.173347,0.431199,0
0.278639456,4.44149,0.00618055,0.0193547,0.0441182,1.65093,0.000834459,0.532864,1.31488,0.0256452,0.16836,0.385151,0
0.325079365,4.51717,0.00252086,0.0224429,0.0250736,1.71309,0.00793875,0.631714,1.34526,0.0202169,0.177562,0.309717,0
0.371519274,4.58163,0.00286293,0.0340869,0.00765006,1.77391,0.0445319,0.535172,1.38106,0,0.172359,0.250944,0
0.417959184,4.49723,0.00224806,0.0893385,0,1.62259,0.0228302,0.0655207,1.5937,0.000290056,0.116854,0.102649,0
0.464399093,4.39953,0,0.214395,0.0326595,1.57534,0.0238368,0.0316855,1.92205,0.00386711,0.109919,0.015673,0
0.510839002,4.47672,0,0.135647,0.0465531,1.49359,0.0157064,0.0382201,1.99442,0.00174084,0.117846,0.0968841,0
0.557278912,4.5927,0,0.0303153,0.0955407,1.33634,0.0159292,0.0281755,1.9525,0.00294665,0.100965,0.11975,0
0.603718821,4.71312,0.000545762,0.018896,0.216743,1.1284,0,0.0714852,1.86264,0.00407423,0.0823549,0.136787,0
0.650158730,4.73799,0.00264133,0.00475167,0.262603,1.00136,0,0.232587,1.86517,0.00403143,0.0533766,0.133248,0.00191391
0.696598639,4.70875,0.0031736,0.00204416,0.149503,0.929406,0.00283573,0.480971,2.1537,0.00249982,0.00656272,0.149917,0.0247388
0.743038549,4.57084,0.00278378,0.00479656,0,0.5951,0.0576925,0.456398,2.07055,0.0783038,0,0.145805,0.0854696
0.789478458,4.14765,0.00345047,0.0344028,0,0.247829,0.323314,0.761178,1.53393,0.207577,0.125172,0.151401,0.251034
0.835918367,3.77557,0.00328324,0.106417,0,0.177241,0.46328,0.949879,0.325304,0.801174,0.317095,0.112209,0.288731
0.882358277,3.71396,0.151935,0.113209,0.00990485,0.0572646,0.426437,0.77429,0.187832,0.787923,0.493954,0.0878699,0.165737
0.928798186,3.75416,0.196731,0.0985984,0.486646,0.00213982,0.311146,0.585571,0.256817,0.531244,0.464951,0.083978,0.0817142
0.975238095,3.72393,0.123217,0.0829542,1.19952,0.0160256,0.315539,0.474149,0.251814,0.125465,0.286422,0.1527,0.100158
1.021678005,3.49324,0,0.204517,1.63576,0.0278165,0.716691,0.518854,0.0421321,0.0326528,0.169566,0.149082,0.0702659
1.068117914,3.1731,8.07055e-05,0.0851519,1.21664,0.0362738,1.18854,0.465366,0.216523,0.0424237,0.0814161,0.277296,0.0756857
1.114557823,3.14602,0.000182509,0.0408577,0.768034,0.0366233,1.90437,0.351298,0.455941,0.0154871,0.0960983,0.303365,0.080615
1.160997732,3.34,0.00274866,0,0.382967,0.0351447,2.50007,0.18876,0.926776,0.0120363,0.104328,0.11396,0.0565077
1.207437642,3.39741,0.0129571,0,0.171898,0.0467849,2.58046,0.116785,0.929742,0.00865904,0.103944,0.0489977,0.119265
1.253877551,3.5815,0.0231515,0.0292444,0.265451,0.0712081,1.95019,0.0487531,0.637492,0.000421127,0.142093,0.133331,0.337096
1.300317460,3.53082,0.0351047,0.0224595,0.293834,0.0999675,1.34478,0.0161871,0.354061,0,0.213095,0.10336,0.379928
1.346757370,3.28351,0.084137,0.0200299,0.342393,0.0452535,0.928365,0.139999,0.0384374,0.00483789,0.492563,0.147909,0.300469
1.393197279,2.52136,0.183096,0.0343437,0.380158,0.00630437,0.939067,0.0897641,0.000100947,0.00874565,0.460379,0.130926,0.514537
1.439637188,2.39663,0.181672,0.0187881,0.39484,0.0217673,1.07154,0.179249,0.0595139,0.00771276,0.428901,0.117397,0.237369
1.486077098,2.32968,0.160881,0,0.459737,0.0019356,1.07347,0.170364,0.0969035,0,0.468,0.151667,0.243806
1.532517007,2.07218,0.0528326,0.00668693,0.481596,0,1.74835,0.0770811,0.190359,0,0.478233,0.12904,0.261698
1.578956916,2.04309,0.00169367,0.00956758,0.467314,0,2.77844,0.102737,0.280549,0,0.409171,0.00714835,0.269079
1.625396825,2.27069,0.000886016,7.42298e-05,0.397272,0,3.5086,0.130193,0.33869,0,0.287007,0,0.22672
1.671836735,2.59862,0.000652904,0.0532933,0.109044,0,3.65025,0.128669,0.383961,0,0.210225,0.0907222,0.175318
1.718276644,2.88685,0.00163303,0.376552,0,0,2.99305,0.158466,1.06248,0,0.0138442,0.179002,0.186119
