TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-561.566,-28.1765,-1.16639,-0.0504928,-0.182407,-3.26437,0.660426,1.01691,-0.595998,-1.36592,-2.74597,-1.07936,-0.190874,0.423666,-0.608353,-2.52943,-0.797206,-1.38112,-0.998516,0.0181263,1.90651
0.023219955,-544.203,-25.0066,1.57069,-3.55577,0.619072,-2.09507,-2.80981,-3.146,-0.881537,-1.34704,-1.29264,0.057593,-1.19228,-1.52211,0.246604,-0.633201,-0.152335,-0.148405,-0.074541,-1.12513,0.838989
0.046439909,-547.279,-27.675,-1.75691,-2.89668,-0.387904,-3.79005,-3.25734,-2.44129,-2.35393,-2.1207,-4.44562,-5.57994,-3.7425,-1.34157,-1.37729,-1.382,1.12126,1.84883,1.77835,2.42105,1.27151
0.069659864,-543.028,-25.0902,0.178036,-4.82788,-0.796645,-1.31327,1.6714,-0.627298,1.8709,1.58714,0.346532,0.177232,0.566949,0.869099,0.0433443,-0.168078,-1.78969,-4.4489,-1.51311,-0.88089,-0.144312
0.092879819,-549.787,-27.7074,2.26163,-1.63806,-0.158014,-1.67307,-1.33366,2.21795,2.23185,0.683077,0.45065,-0.621934,-1.34584,-1.95271,-0.884965,-0.946345,-1.37482,-0.937389,0.0661261,-0.949565,0.942125
0.116099773,-545.252,-26.7716,-0.430299,-2.94929,-1.56456,-3.26534,-0.980805,-0.890405,-1.0277,-1.11882,0.292836,-0.623437,-0.70181,0.789674,-0.859085,-0.224524,2.09901,2.92215,2.80809,2.13117,2.53317
0.139319728,-544.913,-26.8654,-0.115098,-1.82471,0.75628,-3.24509,-1.72999,0.223335,0.538434,-0.777032,-0.664623,-0.265463,-0.109134,-0.419278,-1.28737,-1.08769,0.0834471,-0.585166,-1.51274,-1.53551,0.071876
0.162539683,-547.826,-28.665,-2.68165,-4.77567,0.188665,-0.469601,0.674249,-1.09311,0.119384,1.66031,0.778609,-1.24047,-2.29401,-0.530463,0.998577,1.38742,2.40986,1.5874,-1.02308,-0.310293,-0.36475
0.185759637,-544.467,-26.8185,-1.02269,-4.28028,-1.35228,-2.21933,1.19262,0.727941,-0.141975,0.507541,0.0574692,-1.74693,2.16262,1.14679,0.673163,-0.113219,0.894568,-0.378414,-0.470613,-0.196782,1.36245
0.208979592,-432.604,-16.3286,13.2957,9.53464,15.2825,6.72422,5.57837,3.18162,2.12525,-0.778007,-3.44226,-3.46683,-3.99224,-7.18891,-5.62174,-4.33353,-3.6848,-1.0138,-0.150767,-1.00486,-0.0836338
0.232199546,-259.335,37.7511,7.26357,-3.57698,5.76428,3.29682,3.38957,1.72211,-2.73078,-4.24784,-3.9103,-4.80866,-6.58116,-4.99653,-4.07025,-2.37065,0.309978,-0.0416367,-1.70723,-1.34781,-1.9195
0.255419501,-263.826,42.7633,16.6691,-1.98864,6.43759,7.57632,4.85582,0.586275,-2.00934,-1.2305,-0.394809,-1.21783,-3.17364,-3.87691,-2.71475,-0.512793,2.0394,1.71859,-1.02619,-1.13155,-0.765656
0.278639456,-268.435,42.7908,19.8472,-0.820854,2.28999,6.4388,6.08637,1.39904,-2.77485,-1.01988,1.02615,-3.01652,-3.19231,-3.77017,-2.15463,-0.0114594,1.95668,0.650944,-1.20889,-0.999037,-1.64247
0.301859410,-270.233,39.3843,20.1881,-0.803742,1.13539,3.92444,5.88824,2.00125,-4.7252,-5.48095,-0.361892,-0.666585,-3.36139,-3.58634,-1.58347,-0.991231,0.949552,0.657049,-1.37444,-0.837733,-2.43539
0.325079365,-274.619,41.1354,21.8697,-0.0995949,1.73267,5.12898,7.96844,2.15162,-4.78543,-2.48051,-0.605046,-2.24562,-3.20883,-2.73823,-1.41974,0.251172,1.18552,0.81739,-1.31113,-2.19463,-0.867653
0.348299320,-275.678,38.7614,21.6956,2.71796,2.00658,4.99518,6.4869,0.125742,-3.2284,-2.63726,-0.70462,-2.6286,-3.29167,-2.01896,-1.11286,0.812618,1.86109,-1.0429,-2.26912,-1.56079,-0.646849
0.371519274,-272.814,35.6451,18.5246,7.52715,5.45049,0.199025,6.45794,3.39322,-4.51058,-4.13074,-0.892612,-1.89334,-2.67853,-3.08263,-2.87295,2.42383,0.91703,-0.659424,-3.21895,-3.8082,-1.74189
0.394739229,-282.248,36.6238,24.8794,3.78305,3.49209,4.95153,7.38114,1.50832,-5.96591,-4.6116,-2.16063,-1.25176,-1.23801,-1.4298,-0.810012,1.1009,1.42849,-1.61204,-4.11463,-3.82643,0.0402505
0.417959184,-284.206,37.7229,25.4074,3.73573,3.32924,4.24622,6.92641,1.35383,-4.66404,-5.99443,-1.69676,0.302125,-2.86587,-2.61068,-0.575534,0.818783,-0.242786,-1.49368,-3.19346,-2.44695,-0.710935
0.441179138,-288.055,33.7223,27.6333,9.1191,3.92666,3.18148,3.19567,1.30213,-1.79063,-2.80045,-2.29588,-1.65573,-1.77354,-1.88168,-0.599612,0.120514,0.959287,-1.14151,-1.97124,-3.03219,-1.09563
0.464399093,-289.006,29.5886,28.4871,14.1206,3.55282,-0.787775,3.44208,1.15627,-3.15328,-2.86305,-0.930775,-1.49916,-2.94145,-1.44474,-0.100184,0.894311,0.79481,-2.05848,-2.48799,-2.23231,-2.60172
0.487619048,-284.42,28.7132,25.4067,10.717,3.02342,-2.87542,0.347034,0.162173,-1.19695,-0.316842,0.563344,-3.15738,-2.74799,0.865266,-0.703289,1.29889,1.12582,0.457704,-0.207788,-1.55124,-3.71125
0.510839002,-282.834,29.9442,29.3836,10.6738,3.69551,-3.46544,0.701924,2.9605,-1.29128,-1.93289,-3.09311,-0.968085,-1.41357,-1.08189,-1.37708,0.593337,0.894538,1.40843,-1.0762,-3.00129,-1.15959
0.534058957,-241.332,38.4298,-0.79305,2.06161,8.72608,0.298055,2.64602,2.39004,-3.17433,-3.72778,-1.10952,-4.22214,-7.33669,-6.08671,-3.94794,-1.52817,0.315634,-2.82196,-5.31306,-1.11968,1.98629
0.557278912,-247.181,40.1318,6.38155,0.600559,10.5811,3.68612,-0.096976,1.72271,-1.31758,-0.904331,1.13816,-1.36712,-5.93494,-4.51541,-4.22685,0.0360522,2.90651,-0.14717,-5.01487,-2.25959,2.84535
0.580498866,-252.192,41.9337,8.78236,0.379816,10.1564,3.31047,-0.830719,-0.189749,-3.51982,-1.18133,1.4586,-1.48174,-4.89057,-3.9037,-5.25635,-1.19479,2.10855,0.443203,-4.80572,-2.41017,1.18714
0.603718821,-256.412,40.8522,9.89754,-1.61355,7.99538,2.60992,-1.85305,-2.65226,-4.38446,-1.88389,-0.0452916,-1.77215,-5.48498,-6.14158,-4.77845,-1.1669,1.09313,-0.186626,-4.13068,-3.52572,0.621773
0.626938776,-257.036,41.8125,11.7172,-1.6626,7.21495,3.75471,-0.528284,-1.90981,-2.5585,-0.585988,0.258657,-1.09957,-3.50314,-4.38875,-2.27584,-0.552394,2.61907,0.739216,-5.10651,-3.09274,0.640325
0.650158730,-262.263,41.6675,12.7321,-2.17704,5.1618,3.45739,-1.23655,-2.16789,-2.60542,-1.97225,0.242924,-1.81819,-4.33413,-5.37117,-3.74025,1.12547,1.90968,0.211902,-3.92056,-4.93053,0.0537814
0.673378685,-263.495,41.9632,14.1593,-3.30329,4.58819,4.80223,-0.901739,-3.42801,-3.05561,-0.582062,-0.73604,-2.51979,-2.46912,-4.08156,-3.22596,0.622843,3.15837,-0.53718,-3.98967,-3.8337,-0.376869
0.696598639,-265.279,41.5298,13.9917,-2.24598,3.42522,4.72939,0.626029,-5.09099,-1.87932,-1.47067,-0.256387,-1.33296,-3.52146,-4.22255,-2.7361,0.713477,1.96377,0.838897,-4.68702,-3.8727,-0.690927
0.719818594,-266.607,40.2032,16.9436,-4.15645,3.36746,5.0691,-1.39024,-3.71502,-2.70071,-1.44921,0.397844,-0.703961,-3.76761,-4.14464,-3.07232,1.18554,2.48204,-0.421459,-3.85867,-3.65129,-0.486892
0.743038549,-268.533,39.6808,17.4716,-2.41931,1.23129,4.4204,1.53131,-5.22215,-3.01993,-0.218458,-0.470662,-0.140682,-1.92972,-4.8929,-2.41852,2.31471,2.34686,-0.253242,-3.52341,-3.68542,-0.153573
0.766258503,-265.836,39.4318,12.5652,-3.78467,1.68721,1.64726,-0.101166,-2.99676,-3.02301,-2.52735,-0.112883,0.78796,-2.11128,-4.60555,-2.42714,0.673715,1.3525,-0.696406,-1.78536,-3.97466,-1.13391
0.789478458,-269.381,35.2641,15.6142,-4.9782,-0.58456,1.82836,-0.00106744,-2.20702,-4.24788,0.407096,0.250809,0.549656,-4.26718,-3.39013,-0.710939,0.462916,2.74138,0.389929,-5.2283,-3.65331,-0.763741
0.812698413,-261.85,35.4956,15.4586,-3.40575,-1.99226,0.944514,3.53554,-0.70949,-2.3342,-4.43771,0.716397,0.225794,-4.72434,-3.17613,0.826851,2.78449,1.62818,0.353315,-2.26519,-3.14254,0.104476
0.835918367,-243.998,33.2691,8.44585,-3.66925,-4.14749,4.51363,3.61297,0.729067,0.277234,-5.92539,-0.622725,2.27771,-2.70591,-0.501889,2.992,2.68516,0.108942,-2.06296,-2.51769,-1.41122,1.8489
0.859138322,-224.805,37.9569,6.95142,-0.737081,-0.165367,4.03656,-0.494223,2.04154,2.21168,-4.58869,-2.63893,5.87092,-2.2676,-2.62335,4.52123,0.57036,-4.47842,-4.45017,0.575691,-0.577368,-1.4751
0.882358277,-211.71,36.7216,-3.45928,4.28481,1.52536,-3.92123,-1.38811,5.92244,4.41524,-4.11695,-0.796705,4.35606,-4.3303,-0.555144,6.80509,-0.74404,-5.91194,-3.62148,-1.86297,-2.2305,-2.18543
0.905578231,-208.654,36.6329,-4.02586,1.06552,-0.681444,-4.80785,-4.56928,6.92548,3.98492,-1.46467,-1.33218,4.95166,-5.16348,-1.02455,6.89713,-4.66906,-7.0405,-3.52414,-0.574574,-3.99142,0.132661
0.928798186,-210.463,37.6002,-2.07638,-0.748161,-1.10778,-5.04241,-5.31615,6.10961,8.6305,0.564073,-2.40585,5.88671,-7.42875,-1.21353,5.00007,-5.89451,-3.30975,-3.11078,-0.886738,-2.14664,-0.0189724
0.952018141,-213.681,36.1378,-5.96125,-4.09774,-4.31807,-7.82568,-5.53738,6.7864,8.84125,1.10054,-1.13188,2.73082,-5.53601,-0.172663,3.67907,-4.15489,-1.93834,-2.26538,-0.37177,-2.42913,-1.10236
0.975238095,-211.451,35.7969,-2.14912,-1.86171,-4.17802,-9.07393,-2.68877,2.71095,7.26782,-0.609581,-6.20457,4.28312,-5.68312,-3.96055,3.64444,-3.15691,-1.88491,0.543968,-0.890206,-3.07606,-0.22032
0.998458050,-212.956,36.5199,0.689579,0.344776,-6.00322,-3.082,0.503554,2.73615,7.92001,-2.80844,-5.12125,5.27123,-2.90819,-0.675848,3.85664,-3.57983,-3.68424,-1.44172,-2.69584,-2.49381,0.719661
1.021678005,-231.466,33.8852,3.92157,-5.4222,-5.85974,-4.16395,-1.74869,3.31494,0.970577,-5.91931,-4.00163,-0.252257,-3.82367,-0.437428,1.92111,-1.2819,-2.52221,-2.27922,-1.71277,-0.989447,-1.32471
1.044897959,-253.472,39.8512,10.7879,1.89214,3.18963,0.221227,1.04778,3.07545,3.76258,-3.53749,-3.80863,-2.04935,-3.52841,1.04661,1.07193,-1.02643,-1.94207,-1.48493,-0.2979,-1.26346,-1.6074
1.068117914,-253.411,39.8825,9.34396,1.42509,3.00361,-0.213818,3.79673,1.80021,-0.450221,-0.412606,-2.49575,-4.13453,-2.56305,0.299477,-0.58654,-0.0220856,-1.61806,-2.54275,-1.85017,-1.24096,-1.05088
1.091337868,-255.533,36.851,11.3389,2.91263,2.56097,0.344681,5.057,3.02158,0.255078,-2.01408,-2.4067,-5.61963,-4.47267,0.865832,-0.208039,-2.52887,-2.1583,-2.86038,-1.7096,-2.04111,-0.927373
1.114557823,-244.801,27.8027,14.3299,6.57927,-0.922095,3.57741,1.71166,4.30759,0.60091,-2.02424,-1.33223,-6.55656,-4.14967,-3.8017,0.0396603,-0.0689754,1.31102,-1.21767,-2.34715,0.225776,-2.91999
1.137777778,-232.712,31.703,4.20934,13.6886,0.546631,0.0375842,5.20262,0.59664,3.78026,-2.98283,-4.0196,-0.0453403,-6.89899,-5.93397,0.954203,-0.45553,-4.27503,-5.7564,-2.23401,0.165857,-0.944365
1.160997732,-233.592,27.6835,2.87122,11.4244,1.71424,-0.915912,0.457047,0.227917,3.43535,-4.14871,-2.46674,-0.815405,-8.28671,-5.34351,-1.1147,-3.22776,-2.8461,-3.51771,0.104566,0.89357,-1.93959
1.184217687,-234.045,27.5923,4.29535,11.0953,0.792801,2.00344,0.0734797,0.144537,-0.547904,-6.29886,-2.1834,-2.79576,-9.43903,-5.45412,0.523757,-1.14219,-3.12055,-2.44615,1.21472,2.30484,-1.65077
1.207437642,-235.672,28.1718,6.82696,10.6744,4.29496,3.06905,0.381095,-1.79711,-3.94876,-3.59038,-0.706247,-4.82346,-9.95564,-7.76767,0.916845,2.21209,-2.42073,-3.01768,-0.749183,-1.43115,-2.37693
1.230657596,-234.888,24.5496,11.3571,8.91268,0.357446,7.64822,-0.376234,-5.65474,-4.55176,-4.5363,0.797269,-1.45294,-7.04053,-6.89247,1.00042,0.211348,-2.7056,-1.32461,-2.31717,-0.925224,-1.88424
1.253877551,-240.491,28.4503,12.4693,6.92191,0.208191,5.45105,5.26586,-6.9422,-3.87058,-1.75086,-4.00017,2.5041,-5.91646,-4.8012,0.467201,1.33465,-1.49298,-1.38339,0.860824,-1.44137,-3.257
1.277097506,-238.695,28.7882,10.8249,11.9476,-1.46073,5.21108,7.42448,-9.64005,-2.28616,-2.87588,-5.20312,2.00807,-5.2214,-4.68506,-0.112106,1.53389,-2.58967,-1.24131,1.11769,-0.602787,-3.42917
1.300317460,-247.639,32.5507,11.8437,11.0359,-3.68895,3.60775,7.11565,-7.67842,-3.46602,-2.86636,-5.42603,1.9909,-3.69648,-3.10562,-0.641065,1.24555,-2.50722,-2.83295,0.212239,-0.391658,-1.40143
1.323537415,-243.238,28.7695,9.5405,11.9113,-4.7406,3.62839,10.6106,-3.57306,-2.44943,-2.18059,-4.03291,-0.12695,-4.91502,-4.61582,-2.66345,-1.33142,-3.3217,-2.25218,0.908114,-0.487061,-0.750534
1.346757370,-240.904,30.5246,8.68521,10.9649,-2.55799,2.46612,6.46294,-2.57714,-3.26372,-3.41779,-4.6737,-2.75428,-5.43107,-3.38768,-1.59396,0.0150682,-2.48563,-0.0268472,1.45978,-2.17933,-3.94061
1.369977324,-242.511,29.8482,8.72078,11.7045,-2.33573,-0.0946935,5.86507,-4.42914,-6.39201,-3.6144,-4.75165,-3.40183,-2.42737,-0.0560181,-0.188005,-0.991795,-4.54227,-2.55583,0.642942,-1.72465,-2.63501
1.393197279,-241.456,28.9386,7.73565,8.39287,-4.71014,-0.34964,6.28683,-1.07808,-4.37072,-4.02111,-5.86083,-2.65246,-4.52794,-3.48476,-2.15228,-2.95692,-3.87132,-3.32113,1.74675,-0.374997,-3.63488
1.416417234,-236.269,26.9876,6.90219,6.90482,-4.42998,1.77996,2.73328,3.11588,-5.42485,-5.62427,-5.97556,-1.71293,-2.82492,-1.6036,-0.243596,-3.5796,-2.81194,-1.37878,1.80016,0.552991,-4.90361
1.439637188,-211.434,30.0997,4.63017,7.20374,-3.7788,5.32828,3.19041,-0.839488,-1.85717,-3.98409,-5.54225,1.85433,-1.98123,-0.501351,-0.096508,-4.16831,-3.13845,-0.41707,1.49939,-0.567108,-6.49217
1.462857143,-214.591,28.2502,9.42744,4.36096,-7.01576,5.2649,2.42709,-0.0906394,-3.91248,-1.44382,-1.37642,0.318121,-0.197007,4.31164,0.833895,-6.11461,0.965431,0.3337,0.762213,0.398885,-4.21466
1.486077098,-212.04,27.7084,5.36444,5.59439,-4.19947,1.45022,-4.0283,0.958759,-0.770764,-7.09709,-3.93093,4.83676,-3.99763,-1.0896,1.1094,-4.51781,-3.7474,0.779375,2.04172,-1.63557,-7.657
1.509297052,-215.111,29.1849,5.41926,6.1384,-4.56163,2.16154,0.0985872,0.561562,-2.27838,-3.19252,-1.62367,2.38263,-1.2708,1.65892,2.37136,-3.50271,-4.32336,-0.851423,-0.115812,-1.80656,-7.43259
1.532517007,-216.765,30.0224,4.51447,6.14734,-7.23388,0.988892,3.19289,2.73486,-4.34233,-4.52096,-0.794158,4.01313,1.07427,2.46954,3.0263,-2.82805,-3.8563,-1.70019,0.0145586,-1.40067,-6.23467
1.555736961,-215.405,32.2489,5.33684,7.01149,-6.5763,0.763523,3.82911,-0.810285,-2.05454,-4.79961,-4.45539,3.96633,-1.16213,0.675189,2.09592,-4.27636,-4.4279,-2.67708,2.08434,-1.62579,-5.69137
1.578956916,-218.657,33.1922,7.47103,4.18701,-5.47733,3.63638,3.27448,-1.57413,-2.54378,-3.937,-4.51566,2.71573,-1.1404,1.55836,1.84472,-4.16838,-5.37677,-2.16185,1.12004,-0.660423,-5.51101
1.602176871,-217.785,31.3762,6.60716,5.10195,-10.812,2.49268,6.24193,-0.765531,-3.06919,-4.14272,-3.33667,3.18307,-0.763767,1.96558,1.62909,-4.51492,-5.59592,-0.497829,0.726694,-1.4515,-4.52875
1.625396825,-221.204,32.8506,7.42708,4.75191,-10.0763,1.19714,6.37541,-0.51564,-3.84714,-1.72646,-2.88559,0.311062,-1.62791,2.10774,1.14825,-4.55176,-4.38788,-0.827327,0.26835,-1.76595,-6.66699
1.648616780,-221.206,30.937,3.33595,3.72654,-9.97884,-1.56841,5.22924,0.710518,-6.3256,-2.59287,-1.14234,1.93991,-0.0339644,2.58108,3.79227,-3.61718,-6.77629,0.240427,2.24862,-0.154953,-5.81782
1.671836735,-224.095,29.7727,4.50156,4.17751,-6.598,-4.19828,3.24471,0.253292,-1.98551,-4.7181,-2.41552,3.84139,-3.33926,2.30385,2.36844,-2.23674,-6.59758,1.10685,2.7902,-1.11345,-6.43787
1.695056689,-218.488,33.1485,3.28954,4.56814,-5.20282,-0.265748,3.46111,-0.204203,-0.928192,-4.06455,-4.08775,3.50437,-1.76442,2.95242,2.15745,-4.72304,-4.81986,-0.398613,0.0694003,0.685301,-6.9466
1.718276644,-218.347,34.0295,2.05768,5.28164,-3.31551,0.799894,0.993221,0.798452,-3.0921,-2.75617,-1.06718,2.39767,-1.13468,0.838563,2.66198,-1.53291,-2.24551,-0.998069,-1.42795,-0.395984,-2.40636
1.741496599,-215.211,33.5693,3.33421,4.17809,-3.87178,0.792205,3.02307,-1.833,-0.863424,-1.28456,-2.90866,3.1609,-2.54883,0.384075,-0.655582,-3.73775,-4.64628,-0.703077,-2.99612,-1.10859,-3.0897
1.764716553,-214.247,32.9828,-0.437215,6.66288,-3.57575,0.360248,-1.36968,-1.06635,1.68237,-4.4363,-5.1473,0.428556,-4.52876,-2.68761,1.00762,-3.77029,-5.44521,-2.81473,-0.215046,-1.59763,-4.437
1.787936508,-207.715,32.861,0.984013,1.33328,-5.86197,0.727655,-1.9286,-1.95783,-1.07454,-5.78093,-2.61003,3.93751,-0.832996,0.767535,2.55843,-1.70905,-6.12281,-0.257686,-0.186569,-0.641981,-4.60531
1.811156463,-209.807,33.8862,0.903535,-1.07501,-3.74427,0.0306953,-2.33052,2.04374,-0.333297,-7.62392,-5.38883,4.23996,-2.30217,-1.21782,2.92852,-3.31652,-7.76974,-0.70935,0.561705,-0.108369,-6.74393
1.834376417,-205.537,33.769,2.04234,-1.26817,-2.92165,-1.22813,-3.29739,1.29287,-0.0830318,-6.78245,-4.39352,3.36855,-3.56554,-0.322029,1.9003,-3.40328,-7.20376,-0.454628,-0.748721,-1.45602,-6.85505
1.857596372,-204.153,34.2938,-2.29362,0.253242,-2.51287,-3.90619,-3.0485,2.40484,0.410127,-6.96392,-4.38723,3.51273,-1.11063,-0.395046,2.16769,-5.54855,-6.09912,-0.604127,0.0685263,-1.75064,-5.81828
1.880816327,-206.14,31.9732,-0.173509,-2.74512,-5.30461,-1.91698,-2.87283,0.740228,0.470397,-7.00228,-4.00035,4.6674,-0.737437,2.02894,2.62203,-3.41594,-8.17218,1.33342,0.809208,-2.19698,-5.7462
1.904036281,-209.117,33.7177,-0.429632,2.62249,-4.15004,-0.484171,-3.90178,0.75585,0.292557,-5.83044,-3.13555,5.5148,-3.49233,0.244399,3.19682,-3.12264,-7.27459,0.0700628,0.550022,-2.83139,-6.58121
1.927256236,-214.158,29.6258,-2.59524,0.189881,-3.94186,5.6208,0.527824,5.02465,2.31174,-5.13811,-4.45502,2.60277,-5.12411,-3.28985,2.66685,-6.49465,-9.74034,-1.2767,1.37165,1.25913,-4.44774
1.950476190,-213.54,31.9745,-2.94035,-1.14284,-4.3914,1.60967,-2.70876,1.30338,2.29841,-5.92597,-4.61185,4.32737,-3.8004,-2.56668,4.33486,-4.81994,-5.98853,-0.352587,0.591854,-1.7093,-5.4489
