TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0.218854,0.24668,0.00222905,0.25561,1.26784,0.613071,0.0481964,0.271681,0.38865,2.68234,0.0638009,0.301714
0.092879819,0.521184,0.238869,0,0.484963,0.87736,0.778926,0.157447,0.0830955,0.043434,3.11564,0.0606463,0.0426158
0.139319728,0.475619,0.239024,0.000532655,0.410638,0.702652,1.37061,0.0993021,0.0181979,0.0181636,3.17458,0,0.0475211
0.185759637,0.535591,0.236325,0.000978366,0.334029,0.671357,1.70774,0.0319258,0.0114278,0.00185799,3.24024,0,0.0726126
0.232199546,0.547743,0.23438,0.00208084,0.259136,0.700382,1.98025,0,0.0115879,0.00539384,3.25702,0,0.196671
0.278639456,0.475994,0.217842,0.00303489,0.161213,0.693037,2.04918,0.00171129,0.0142039,0.0326681,3.22535,0,0.264437
0.325079365,0.432204,0.187065,0.00186117,0.142604,0.654269,1.85204,0.00488696,0.0266913,0.0470731,3.21046,0,0.275346
0.371519274,0.461889,0.163391,0.000520652,0.242577,0.631829,1.5091,0.0131014,0.0723294,0.0224136,3.25043,0,0.000294923
0.417959184,0.565697,0.186459,0.000423731,0.460045,0.590373,1.1587,0.0131123,0.0684746,0.0141354,3.33731,0,0.000278918
0.464399093,0.59516,0.22626,0.000826123,0.560926,0.6979,1.10604,0.0556193,0.0537501,0.027672,3.33713,0,0.000206098
0.510839002,0.481044,0.230424,0.0131849,0.498259,0.73982,1.23971,0.00827669,0.0200021,0.0377996,3.32351,0,0.0487733
0.557278912,0.369913,0.200123,0.0306341,0.354776,0.677444,1.40183,0.00424227,0.0153449,0.0487421,3.31307,0,0.151764
0.603718821,0.389571,0.192392,0.0378907,0.211145,0.594325,1.26782,0.0067561,0.0144698,0.0572362,3.33983,0,0.193318
0.650158730,0.543016,0.22148,0.000330667,0.482514,0.602899,0.881464,0.0755398,0.0191304,0.00882798,3.29951,0,0.000129533
0.696598639,0.58606,0.255696,0.000183672,0.553408,0.590957,0.905833,0.182944,0.0249698,0.0178956,3.20969,0,0.000116518
0.743038549,0.611918,0.245735,0.000660781,0.598595,0.513648,1.06103,0.183486,0.02182,0.0257934,3.16617,0,0.00991643
0.789478458,0.585644,0.221441,0.0012668,0.577466,0.540382,1.21121,0.0754066,0.0150423,0.0172831,3.16748,0,0.188806
0.835918367,0.493919,0.205669,0.00269418,0.491055,0.516093,1.22769,0.0142445,0.0132146,0.0323434,3.33168,0,0.240196
0.882358277,0.50879,0.155646,0.000613097,0.435371,0.588901,1.10425,0.00812982,0.0226802,0.0298562,3.43693,0,0.0250574
0.928798186,0.565941,0.127177,0.029938,0.712085,0.58712,0.884332,0.0238599,0.0243493,0,3.43146,0,0.0276262
0.975238095,0.693948,0.0233223,0.105968,0.859653,0.566168,0.888101,0.0529257,0.0499122,0,3.27656,0,0.0717233
1.021678005,0.753603,0,0.149688,0.827444,0.535442,0.868912,0.0865124,0.0526781,0,3.14132,0,0.182002
1.068117914,0.566621,0.00696489,0.140836,0.689247,0.526097,0.983817,0.0743793,0.0513629,0.00651484,3.22694,0,0.14057
1.114557823,0.430899,0.0988787,0.0903788,0.523375,0.541233,1.13419,0.0181472,0.0560274,0.058569,3.34469,0,0.000138299
1.160997732,0.423875,0.146665,0.110361,0.640602,0.451222,1.28614,0.0131893,0.119629,0.0721533,3.33196,0,4.86752e-05
1.207437642,0.507726,0.280979,0.302782,0.733734,0.393427,1.37035,0.16843,0.326738,0.000412659,3.1715,0,8.17801e-06
1.253877551,0.406778,0.359938,0.504491,0.678373,0.315039,1.34965,0.305633,0.393928,0,2.90757,0.00327554,4.75463e-05
1.300317460,0.57244,0.369563,0.541077,0.618501,0.225173,1.45919,0.362098,0.424198,0,2.81861,0,7.05759e-05
1.346757370,0.570609,0.359888,0.515818,0.547965,0.20267,1.68839,0.315236,0.449802,0.0113912,2.95836,0,4.97146e-06
1.393197279,0.522806,0.307642,0.337341,0.518995,0.260282,1.78176,0.204808,0.37483,0.043228,3.13801,0,0
1.439637188,0.464844,0.191271,0.0863093,0.495753,0.434702,1.61739,0.0558659,0.183976,0.00939321,3.24642,0,0
1.486077098,0.41792,0.149614,0.247357,0.60601,0.426735,1.09796,0.255206,0.281929,0.0144293,2.98983,0,0.253451
1.532517007,0.389816,0.147317,0.300762,0.668605,0.33926,1.27967,0.411983,0.340107,0.0264877,2.63027,0,0.577155
1.578956916,0.639758,0.148843,0.336722,0.666606,0.281369,1.28431,0.477976,0.369921,0.0268121,2.45483,0,0.734139
1.625396825,0.638499,0.154527,0.436675,0.615365,0.243413,1.27635,0.419485,0.373857,0.0305571,2.50648,0,0.729717
1.671836735,0.497093,0.165068,0.487053,0.488183,0.204715,1.54132,0.145895,0.351194,0.0553971,2.87851,0,0.285748
1.718276644,0.416792,0.157249,0.166591,0.400891,0.207744,1.69039,0.113296,0.342527,0.0778194,3.04564,0,0.0544437
1.764716553,0.620916,0.489371,0.0651101,0.590782,0.268289,1.41768,0.264901,0.44128,0.0392047,2.6392,0.0159799,0.000836385
1.811156463,0.657434,0.572202,0.0384231,0.565773,0.0214634,1.50357,0.341881,0.443049,0.0349385,2.20446,0,0.0026292
1.857596372,0.717506,0.576667,0.0276791,0.522019,0.0261895,1.50079,0.327062,0.442907,0.0326839,2.0343,0,0.113599
1.904036281,0.699861,0.543942,0.0243916,0.518231,0.00782208,1.61936,0.245827,0.45304,0.0219358,2.13251,0,0.15824
1.950476190,0.695111,0.312852,0.0874006,0.466069,0.0595471,1.99661,0.1414,0.449501,0.00803968,2.54391,0,0.12152
1.996916100,0.656454,0.17671,0.208325,0.426726,0.143909,2.05106,0.22661,0.233839,0.0217127,2.80124,0,0
2.043356009,0.606257,0.266097,0.197709,0.531032,0.0641972,1.74441,0.564923,0.124846,0.00845538,2.32457,0,0.0528982
2.089795918,0.889807,0.249323,0.175673,0.51336,0.0843584,1.46941,0.570443,0.133539,0.011005,2.26804,0,0.0777244
2.136235828,1.23313,0.252782,0.164198,0.456863,0.394019,1.15878,0.715172,0.0885873,0.0370496,2.33773,0,0.140159
2.182675737,1.17861,0.343149,0.159381,0.322255,0.302332,1.52436,0.632534,0.0651248,0.0509999,2.29771,0,0.198068
2.229115646,0.881459,0.580992,0.0177247,0.286761,0.0331677,1.68944,0.64701,0.0869371,0.0811383,2.33278,0,0.10266
2.275555556,0.824751,0.237086,0.00336553,0.837705,0.0279414,1.66525,0.0482727,0.0809757,0.266023,2.15447,0,0.0884862
2.321995465,0.877176,0.0228361,0.00123819,0.889811,0.0774449,1.07818,0.0369097,0.627336,1.52788,1.40185,0.00118374,0.133935
2.368435374,1.44229,0.117613,0.0781754,0.94808,0.259612,0.511317,0.30204,0.302135,2.56718,0.29756,0.00124441,0.0256463
2.414875283,1.25832,0.113398,0.0666454,1.1699,0.127599,0.714211,0.141935,0.075331,3.13951,0.0774087,0.00090409,0.0301038
2.461315193,0.991599,0.0469119,0,1.05828,0.0521711,0.847865,0.0399702,0.0515477,3.47489,0.0133307,0,0.0265883
2.507755102,0.875164,0,0,0.928073,0.0362986,0.801674,0.0496326,0,3.69532,0,0,0.116292
2.554195011,0.735899,0.00514484,0.0363979,0.776412,0.0296413,0.823547,0.0395136,0,3.74538,0.00749055,0,0.00804974
2.600634921,0.613214,0.025886,0.0529266,0.768751,0.0266677,0.927111,0.0780047,0,3.73037,0,0,0.00682023
2.647074830,0.725699,0.0583608,0.0450891,0.768549,0.0247878,0.773823,0.123717,0,3.71681,0.00473298,0,0
2.693514739,0.779052,0.0490902,0.0459008,0.766098,0.0145262,0.770817,0.13721,0,3.67522,0.00180799,0,0.0181029
2.739954649,0.692406,0.0223811,0.0668667,0.792653,0.0232859,0.901407,0.0813209,0.0148064,3.67571,0.00921779,0,0.0377379
2.786394558,0.523659,0.0122973,0.102971,0.769703,0.0212093,0.946074,0.0352449,0.0141207,3.74461,0,0,0
2.832834467,0.508078,0.0851739,0.0893259,0.509143,0.0201117,0.966407,0.0437412,0.0272505,3.7116,0,0,0
2.879274376,0.650703,0.122495,0.0579682,0.159767,0.143714,0.817053,0.110614,0.170395,3.50843,0,0.000954838,0.0843844
2.925714286,0.727088,0.200212,0.0525569,0.144497,0.0309919,0.990691,0.124766,0.212399,3.3172,0.000397166,0.000955658,0.160676
2.972154195,0.875729,0.145182,0.000571552,0.147556,0.023083,1.00811,0.0797776,0.183501,3.48243,0.0074138,0.00124104,0.140414
3.018594104,0.867145,0.130231,0.000547657,0.469381,0.0283678,1.01579,0.0473361,0.0520322,3.51612,0.00167344,0.000276418,0.0312856
3.065034014,0.758094,0,0.026544,0.589554,0.031924,0.945595,0.106724,0,3.61499,0,0,0.00993353
3.111473923,0.718789,0.0536334,0.000403917,0.661584,0.0300368,0.962138,0.228528,0.0112287,3.45507,0,0,0.0958325
