TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-583,-35.4586,6.20152,-6.78928,0.085844,-3.90037,0.580801,-3.84091,2.0093,-6.71396,-1.03392,-6.28799,-0.372724,-1.22132,1.77942,2.22579,3.79926,1.82648,2.5738,-0.512399,0.61668
0.023219955,-589.769,-32.4325,16.8226,-10.7925,-1.74784,2.34848,0.913962,-6.71089,3.62694,-3.74251,5.25742,-3.36405,4.41308,-0.0503072,3.75689,-1.38768,-0.980497,-1.79164,-1.08504,-3.23395,0.186046
0.046439909,-589.935,-31.7275,19.6029,-10.4091,-4.72075,2.6481,2.24934,-6.86425,4.46816,-2.88368,6.95422,-3.13529,2.27406,-2.52805,-0.449861,-3.34644,1.14545,-0.0958355,2.53658,0.141721,0.38786
0.069659864,-588.426,-28.6293,23.235,-8.99706,-3.7775,2.24212,3.49281,-6.02728,4.01224,-4.87868,3.96532,-3.50557,2.54295,-2.54232,1.47635,0.00385528,3.07754,0.0833632,0.260498,-0.462384,0.783515
0.092879819,-591.117,-33.7868,17.9289,-10.807,-3.10031,3.64831,4.28399,-7.11843,2.44781,-6.5751,3.95314,-5.32923,1.81433,-0.410318,1.85588,-2.61944,-0.136669,-0.519795,1.69399,0.387009,1.77466
0.116099773,-569.171,-22.234,16.3805,-5.15421,0.714607,-0.888165,0.327399,-3.89848,3.80662,-4.45049,4.67763,-3.3789,3.00447,-0.529039,3.24754,-1.03859,2.44145,-0.124402,0.241769,-0.927902,-1.57152
0.139319728,-413.773,7.57868,4.17478,2.52525,4.50489,-7.67553,-4.23728,-0.939265,2.95844,3.93659,2.60021,-3.45303,-2.58482,-2.48948,-2.50761,-2.01341,-2.03187,-4.63818,-4.27591,-1.701,0.101989
0.162539683,-384.599,21.7904,8.31959,-3.79226,1.58919,-7.92378,-0.251384,-1.02527,0.574259,1.00004,0.124581,-3.07575,-4.17436,-4.53979,-4.23926,-3.93857,-3.85956,-1.55956,-2.07619,-0.176001,-0.236255
0.185759637,-299.639,54.9552,-18.9629,1.23265,13.6792,-13.869,-4.48613,-1.04368,-3.80323,-0.673591,-2.28456,-8.69587,-4.30252,-2.64293,-1.81323,-2.27179,0.30479,2.9818,2.06396,0.942469,2.733
0.208979592,-301.194,58.1482,-11.8225,4.89504,14.7755,-11.8096,-3.84055,0.775428,-1.15525,-0.717404,-1.97721,-7.56964,-5.93426,-2.0607,-1.11555,-3.95715,-0.624848,1.60251,-0.375807,-0.0170206,2.33721
0.232199546,-302.847,58.1726,-10.5257,4.3232,15.2435,-11.8813,-4.55492,0.700152,-2.32432,-0.451441,-1.21788,-6.2787,-4.32667,-0.326653,-1.13029,-3.36489,0.796624,2.45654,0.86034,-0.0795095,1.70464
0.255419501,-303.677,58.3319,-8.79292,3.37566,14.7453,-11.6241,-5.44605,3.11105,-0.44798,0.748217,-1.24077,-8.81971,-6.59175,-1.68026,-1.36255,-2.27061,-0.339863,2.05714,0.3367,-1.43652,2.74989
0.278639456,-307.494,55.3423,-8.3785,8.27602,19.6568,-9.04033,-4.53779,0.071503,-2.21493,-2.47962,-3.76972,-9.08259,-4.361,-0.0986814,-1.68323,-3.78167,-1.13935,2.01046,0.815479,0.387561,1.81689
0.301859410,-310.771,55.4066,-5.94632,9.72696,21.0381,-7.57008,-5.50625,-0.0472349,-4.43051,-1.75851,-1.5379,-9.59985,-7.3749,-1.67015,1.26217,-1.39568,1.62348,2.50852,0.719948,0.118041,2.43661
0.325079365,-310.49,56.9713,-4.20869,9.54664,17.5544,-11.3377,-8.33,-0.153333,-1.8318,-1.13604,-0.840116,-6.40615,-5.2108,-2.35216,-1.96772,-2.77131,1.42619,4.01159,1.58061,-0.524891,2.28679
0.348299320,-309.351,57.8388,-6.2358,6.24209,18.1805,-11.083,-9.43261,-0.263182,-2.03454,0.143764,-0.253298,-6.45784,-5.56989,-4.1948,-2.34661,-4.60297,0.254377,2.62605,0.617466,-0.791497,2.57632
0.371519274,-313.504,54.6207,-7.04321,8.81146,17.217,-10.3963,-6.86813,1.09589,-0.0376624,1.70254,-0.368201,-7.96331,-7.05478,-3.54106,-0.292912,-1.55813,1.91579,1.49593,0.23309,-0.606568,1.70539
0.394739229,-317.735,55.2159,-4.86693,6.89548,15.6059,-12.4094,-6.67687,0.986574,2.29748,1.10799,-0.622258,-9.36698,-6.57052,-1.56781,-1.47046,-2.56618,2.02953,4.21093,2.59456,2.18659,2.93333
0.417959184,-317.009,55.2366,-5.41751,4.60806,15.3764,-10.3786,-5.77839,1.46581,-1.69779,-3.32802,-1.86337,-7.73427,-4.75364,-2.1522,-2.26531,-4.78581,0.859972,3.17242,3.70177,0.914378,1.14754
0.441179138,-316.909,52.4647,-5.93012,9.35105,18.2274,-11.0789,-5.38381,0.431372,0.094071,0.599521,-0.535391,-9.16398,-5.52608,-1.72833,-2.44698,-1.35125,1.44294,1.40075,0.227814,0.353922,2.6265
0.464399093,-315.431,55.5686,-4.98799,4.61853,14.1347,-11.4839,-8.23475,2.06909,2.87092,1.43713,1.70972,-8.09288,-6.09617,-0.440738,-1.63951,-2.76783,0.892062,2.94896,1.19543,1.08028,2.81838
0.487619048,-312.454,58.9344,-3.69385,1.54169,12.1803,-11.4204,-7.77062,0.668358,-3.21345,-3.1504,-2.81323,-8.75177,-4.17545,-1.66665,-2.20041,-2.97131,0.597978,3.17021,1.97662,2.26035,3.15766
0.510839002,-317.236,55.6342,-3.02197,4.98955,16.8456,-9.66858,-6.63998,-1.57073,-4.35288,-4.21782,-4.35306,-9.84601,-5.51379,0.283702,-1.24805,-1.83044,1.99228,3.43919,1.54756,0.594724,0.649716
0.534058957,-321.587,55.8055,-2.00454,3.57611,15.1993,-11.0965,-8.63399,1.2888,0.673816,-1.24878,-3.3219,-9.95928,-5.82587,-1.36611,-1.62647,-2.74619,2.38094,3.62203,0.413767,2.27751,2.52214
0.557278912,-317.859,56.5938,-1.84012,4.11933,15.9938,-9.30315,-8.56969,-0.635473,-1.59295,-1.84333,-1.93451,-5.80893,-4.79586,-0.955055,-3.05602,-5.0352,-0.469431,3.39044,2.17875,1.59614,2.49126
0.580498866,-320.55,54.8004,-0.0702573,4.38611,14.4943,-10.8983,-8.10044,0.144379,-1.77724,-1.93512,-3.03192,-6.57102,-3.89788,-0.992871,-2.72195,-4.55806,0.0860846,3.09103,1.43862,-0.214541,1.94154
0.603718821,-324.988,51.5444,-1.49767,3.6324,12.3012,-11.5348,-8.512,1.82607,-0.156692,-2.62353,-3.20344,-9.00839,-4.25366,-1.2737,-1.73302,-4.27604,2.37302,4.7386,2.76619,1.44972,0.966884
0.626938776,-328.71,52.4462,1.11715,4.51008,14.8595,-10.3748,-10.3954,0.420828,0.238959,-2.61307,0.24323,-7.53627,-7.61548,-1.67685,-3.35615,-3.74597,2.82272,3.55761,2.59081,4.05049,2.45905
0.650158730,-328.234,52.0138,-0.203729,3.39839,13.8432,-10.7157,-7.61934,2.25418,2.82378,1.06857,-2.86635,-8.24724,-6.70344,-2.79542,-2.61605,-6.22374,0.464806,3.6115,2.17321,2.34098,2.53004
0.673378685,-332.108,48.8435,-2.37031,3.45837,13.6027,-10.1951,-7.53401,1.99503,3.6845,1.12873,-0.597184,-8.99226,-6.83275,-3.87745,-4.75374,-5.91836,0.831849,2.90709,2.41486,2.39064,3.32896
0.696598639,-326.356,51.1415,2.86432,6.95472,13.5757,-11.1999,-9.83469,-1.2181,1.31144,0.0953507,-1.24488,-7.33752,-6.10448,-3.9291,-3.78953,-4.82266,1.43412,4.69668,3.00068,2.40694,2.74407
0.719818594,-323.837,54.5362,2.35622,3.22555,13.1045,-9.61588,-7.6046,-0.763886,-1.85972,-1.67853,-2.94752,-7.89715,-4.69743,-0.408425,-0.452167,-1.67034,1.40908,1.56266,0.0371589,0.511934,2.75335
