TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,3.90855,0.246637,0.251498,1.02592,0.935081,0.259966,0.0983853,2.15783,0.0583905,0,0,0.206483
0.046439909,3.94847,0.253397,0.0984424,1.01425,1.30674,0.231061,0.157112,2.13783,0.0227898,0,0,0.161353
0.092879819,4.07506,0.157325,0.0797069,0.739627,1.57653,0.101259,0.198208,1.943,0.0323599,0.0189362,0,0.158103
0.139319728,4.19161,0.0437664,0.0457854,0.423144,1.61287,0.0483459,0.200398,1.8872,0.0493836,0.0423869,0.134801,0.047144
0.185759637,4.1666,0.0318556,0.198191,0.352294,1.6248,0.0610643,0.179601,1.96583,0.0353199,0.0402772,0.148814,0
0.232199546,4.0709,0.149369,0.188617,0.410208,1.7023,0.0506776,0.184415,1.8524,0.0340374,0.0378029,0.162891,0
0.278639456,3.93396,0.139303,0.125266,0.439296,1.6285,0.0831328,0.190373,1.53026,0.069164,0,0.130303,0.0613075
0.325079365,3.89887,0.00521746,0.0312652,0.498757,1.38572,0.197154,0.487455,1.1858,0.0517096,0,0.120426,0.0966134
0.371519274,3.86913,0,0.00104042,0.512188,1.09726,0.328165,0.60892,1.09659,0.0457658,0,0.114014,0.12736
0.417959184,3.84734,0.0447737,0.000279272,0.442735,1.0692,0.322002,0.458891,1.4972,0.0214788,0,0.11181,0.166583
0.464399093,3.6449,0.192088,0.0342797,0.511288,1.32703,0.0723484,0.10554,1.93046,0.0434689,0,0.190853,0.129096
0.510839002,3.67921,0.264628,0,0.794656,1.34481,0.0592886,0.171238,1.84197,0.0282902,0.0047809,0.18672,0
0.557278912,3.39436,0.225862,0,1.01973,1.2558,0.0768506,0.176885,1.93493,0.0202627,0,0.0871011,0
0.603718821,3.19316,0.186756,0,1.05693,1.14855,0.0139914,0.159975,2.02954,0.026166,0.000492638,0.0138469,0.0362928
0.650158730,3.13455,0.11295,0,0.937029,0.979638,0.0139928,0.129807,2.07778,0.0797176,0.000966746,0.0387073,0.213848
0.696598639,3.18376,0.08814,0,0.817351,0.731018,0.0226072,0.0969763,1.94109,0.0779002,0.104687,0.0741428,0.321524
0.743038549,3.28988,0.114803,0,0.774663,0.463217,0.0280377,0.0824393,1.75851,0.121266,0.0756921,0.0980317,0.376824
0.789478458,3.29903,0.158603,0,0.745766,0.505404,0.0263198,0.0763162,1.74709,0.15336,0,0.105456,0.439325
0.835918367,3.33366,0.179562,0.020293,0.670803,0.676639,0.0170574,0.106772,1.73693,0.190607,8.45783e-05,0.0859955,0.447165
0.882358277,3.5742,0.48311,0,0.647586,1.09531,0,0.0687037,1.75707,0.165612,0.00202537,0.0807689,0.287954
0.928798186,3.48676,0.510202,0,0.85785,1.23453,0.00177397,0.0648033,1.71941,0.130388,0.00319248,0.00735115,0.3464
0.975238095,3.33606,0.378574,0.000118253,0.940706,1.22311,0.203019,0.0639161,1.50039,0.0961788,0.0358154,0,0.355908
1.021678005,3.17428,0.333192,0.0235447,0.948453,1.18724,0.25115,0.0414253,1.31357,0.157983,0.138918,0,0.462897
1.068117914,3.00848,0.236101,0.333011,0.87452,1.21058,0.264529,0.0833596,1.0345,0.220504,0.276736,0.0283934,0.608807
1.114557823,3.01281,0.0585487,0.490794,0.741423,1.37995,0.255326,0.0660024,1.13743,0.158814,0.328727,0.0526029,0.562027
1.160997732,3.03278,0.0371554,0.559045,0.499024,1.57851,0.223651,0.0773475,1.33489,0.116414,0.33158,0.0649669,0.375895
1.207437642,3.04577,0.0883885,0.516077,0.425419,1.69924,0.229474,0.00597861,1.48359,0.103096,0.259206,0.0821666,0.375012
1.253877551,3.03606,0.105998,0.313744,0.519905,1.75943,0.260218,0.0257133,1.62572,0.110463,0.141784,0.0721851,0.364863
1.300317460,3.13872,0.131597,0.117239,0.593022,1.75951,0.252088,0.0409839,1.66822,0.0889674,0.118872,0.126662,0.364824
1.346757370,3.33848,0.288625,0,0.559033,1.77891,0.182951,0.0438831,1.75541,0.0591672,0.199569,0.234911,0.254459
1.393197279,3.44204,0.335844,0.000319165,0.504478,1.63344,0.16002,0.107549,1.60028,0.0605772,0.204517,0.28099,0.0605528
1.439637188,3.39403,0.345135,0.000900946,0.606134,1.43151,0.202693,0.10812,1.31681,0.0481905,0.12985,0.266347,0.107884
1.486077098,3.24546,0.539894,0.000587091,0.681085,1.10749,0.243544,0.110872,1.37734,0.0294282,0.0970858,0.243011,0.14763
1.532517007,3.09885,0.6609,0.000552087,0.715215,0.832544,0.285125,0.0178812,1.54976,0.0406681,0.118495,0.197148,0.338299
1.578956916,3.03279,0.71886,0,0.793227,0.800364,0.302778,0.0433866,1.69522,0.0612843,0.165556,0.190554,0.273763
1.625396825,3.09217,0.655659,0,0.800672,0.745595,0.321091,0.0505335,1.66499,0.0830973,0.185863,0.162274,0.119568
1.671836735,3.15038,0.536095,0,0.778688,0.58441,0.311975,0.0493529,1.5659,0.180556,0.18282,0.125595,0.0649975
1.718276644,3.22994,0.442576,0,0.688463,0.501245,0.314014,0.0833903,1.58531,0.120051,0.19454,0.0936344,0.0249944
1.764716553,3.29456,0.418525,0.0185811,0.481394,0.562007,0.340967,0.0655196,1.6343,0.0329323,0.208214,0.107694,0.0253947
1.811156463,3.1296,0.22993,0.0508819,0.421161,0.66556,0.340155,0.315383,1.60658,0.0223243,0.144782,0.0707069,0.0318011
1.857596372,2.99459,0.170339,0.370362,0.306271,0.744795,0.253987,0.64848,1.29518,0.00655528,0.117151,0.0348568,0.0650888
1.904036281,2.85352,0.200853,0.249608,0.247486,0.739083,0.0265441,0.471911,1.3466,0,0.287128,0.228996,0.175722
1.950476190,2.51668,0.208028,0.0388125,0.143025,0.530033,0.0449201,0.134666,1.60646,0,0.442017,0.254999,0.232452
1.996916100,2.14721,0.256957,0.00228161,0.00218138,0.399044,0.0942056,0.12835,1.54815,0.0040057,0.374291,0.387787,0.3661
2.043356009,2.09668,0.349512,0.00241393,0.0690657,0.526379,0.108953,0.29889,1.56075,0.0142784,0.301945,0.373507,0.521937
2.089795918,2.18305,0.414584,0.0261622,0.389581,0.628466,0.0910053,0.377549,1.53625,0.0206749,0.268863,0.267403,0.786449
2.136235828,2.05004,0.430873,0.0282834,0.679146,0.740088,0.397189,0.378616,1.49338,0.0192925,0.187606,0.171095,0.910742
2.182675737,1.88955,0.395307,0.0707496,0.951455,0.825037,0.729971,0.333337,1.31744,0.0177942,0.125595,0.221196,0.905807
2.229115646,1.90145,0.208753,0,1.16003,0.734614,0.756974,0.30319,1.11538,0.0269627,0.362625,0.230012,0.857833
2.275555556,1.83731,0.175834,0,1.11766,0.503001,0.825147,0.245756,1.1051,0.0882604,0.705232,0.21647,1.04813
