TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-307.13,28.5112,-12.9373,-2.04489,3.70632,-5.46081,-3.73217,-4.92878,-7.39011,-5.01183,-1.1646,0.111198,-2.77227,-4.38964,-2.52843,-2.24321,-1.69412,-1.03941,-1.72531,-1.8367,-0.493966
0.023219955,-311.405,39.9533,-26.0098,-0.542003,1.61095,-10.0649,-0.954354,-8.45444,-6.27733,-1.6749,-2.73261,0.665286,-0.607214,-6.22232,1.05846,-1.23909,-1.78521,0.262571,-2.68066,-3.52031,-0.288705
0.046439909,-302.685,42.9872,-26.5607,-0.179797,0.571688,-9.90954,-2.25726,-10.5617,-8.47556,-2.30293,-6.09797,-4.21002,-4.01288,-8.30717,-0.476108,-0.277649,-1.20447,-0.588089,-2.25797,-2.43314,0.261811
0.069659864,-294.046,44.5096,-27.5141,0.584369,2.57419,-8.76022,0.185725,-9.33631,-7.32233,-1.06089,-5.56288,-4.08266,-3.14022,-8.96073,-1.20845,-1.5194,-2.12651,-2.45876,-3.51933,-1.47031,0.623321
0.092879819,-289.737,45.6545,-27.1238,1.85124,3.10402,-9.18795,0.138878,-11.9388,-7.21609,-2.65473,-6.18717,-4.0765,-3.2274,-9.45297,-3.36985,-2.65349,-2.52041,-2.59647,-4.49207,-1.31125,-0.291063
0.116099773,-290.224,42.6449,-28.4618,1.15868,3.12698,-10.0363,-1.4482,-12.2857,-8.99466,-3.56197,-6.54764,-3.824,-4.88009,-9.15492,-1.88606,-2.33001,-2.06121,-1.79768,-3.91225,-2.53124,-0.158088
0.139319728,-285.765,43.959,-28.9192,0.988728,4.43612,-9.8197,-1.71973,-9.36356,-7.37774,-0.837465,-5.57629,-4.66243,-5.90647,-11.0096,-1.58876,-1.51049,-2.90213,-1.04799,-3.70586,-2.02184,-0.298405
0.162539683,-274.959,46.1768,-29.9537,1.3337,1.40472,-9.88225,-1.09185,-9.4918,-6.18697,-2.86232,-7.44359,-4.66566,-7.14884,-9.97554,-3.28488,-1.31513,-2.91918,-2.29089,-4.12415,-2.24684,0.683067
0.185759637,-273.935,48.0713,-28.9432,1.10065,2.13934,-10.0789,0.334176,-8.788,-6.57008,-3.66373,-6.74958,-3.1547,-5.58068,-9.09187,-2.87792,-1.08833,-3.21226,-3.42313,-5.37691,-3.54918,-0.460056
0.208979592,-271.254,49.0944,-26.0131,2.20636,2.57578,-9.84884,-0.941247,-10.9856,-8.30391,-3.6773,-7.47394,-4.59706,-4.4036,-6.48629,-0.711553,-1.08068,-2.31831,-1.93598,-3.55428,-3.28557,-0.252388
0.232199546,-267.545,49.8961,-26.6466,1.5871,1.0605,-10.8264,-1.3692,-8.22822,-6.37746,-2.59573,-8.73172,-6.34903,-3.61852,-7.10174,0.183173,-1.22189,-2.18089,-1.77146,-2.75135,-1.91889,-0.524374
0.255419501,-266.342,51.6939,-27.7931,1.16753,0.830793,-10.1609,0.152085,-9.25685,-7.74971,-2.23183,-6.62648,-5.14768,-4.69407,-7.65417,-1.53045,-1.10498,-1.98331,-1.46187,-4.10005,-2.68658,0.797159
0.278639456,-264.909,50.6663,-25.7882,1.0231,1.11436,-9.31207,1.11062,-9.80139,-8.95777,-3.05255,-7.19235,-5.58771,-4.09256,-5.55295,0.753457,-0.128271,-2.51531,-2.79126,-5.15666,-3.95317,0.373365
0.301859410,-261.423,52.2285,-27.0376,1.67085,0.686977,-9.46609,0.107445,-7.12048,-5.94771,-3.06572,-9.94959,-6.36976,-5.89756,-5.96697,1.39811,0.111031,-2.85658,-2.85247,-3.87532,-3.76466,0.759405
0.325079365,-258.271,53.1886,-26.7516,0.636347,1.00715,-9.9629,0.252493,-7.87694,-6.26215,-2.34351,-7.38983,-5.3409,-4.57819,-6.64525,0.605211,-1.02258,-3.75645,-2.75015,-4.26027,-2.77507,-0.90168
0.348299320,-259.887,51.4926,-26.5962,1.43583,1.02539,-7.96244,-0.247767,-8.4993,-7.93888,-4.63191,-8.40299,-5.6386,-4.10573,-6.59799,0.617819,-0.361762,-2.39006,-2.81362,-4.08249,-3.63652,-0.929551
0.371519274,-263.391,50.2291,-28.4873,-1.03714,-1.96125,-8.46286,-1.25394,-9.88346,-7.67596,-6.13722,-9.90794,-5.08285,-4.8947,-7.72514,-1.36322,-0.0420616,-2.85418,-4.65277,-5.70827,-5.17752,-2.12587
0.394739229,-265.67,50.3867,-26.5126,-0.586128,-2.65682,-9.7787,-3.00598,-9.78406,-8.02022,-5.32894,-9.06773,-5.11863,-5.81744,-7.64611,-2.32046,-1.36135,-1.71089,-5.82782,-6.16398,-5.47317,-0.526824
0.417959184,-266.531,49.5033,-28.4644,-0.455109,-1.36953,-10.0275,-3.36953,-9.70693,-8.29911,-4.95136,-9.85692,-6.45727,-5.17168,-7.00443,-1.66397,-2.19878,-2.3556,-5.20073,-5.60641,-4.28571,-0.678574
0.441179138,-265.061,49.3336,-27.3708,-0.948385,-1.65524,-8.7054,-2.06656,-7.30223,-7.68398,-4.92828,-9.24845,-5.304,-4.96213,-6.90692,-2.35049,-2.38888,-2.48662,-3.49849,-5.16056,-4.58474,-0.0623615
0.464399093,-266.793,50.5678,-25.7372,0.41626,-1.8401,-8.38818,-3.30636,-8.93509,-7.84641,-4.58685,-7.08598,-5.06559,-4.74361,-8.05094,-3.39656,-2.02674,-2.19338,-4.67918,-5.04704,-3.69465,0.852212
0.487619048,-266.066,49.7703,-25.3838,0.804626,-1.96942,-8.96476,-3.50667,-8.40825,-7.84994,-5.63965,-6.07879,-5.09482,-5.44987,-8.63201,-2.44072,-0.0779489,-2.90234,-3.98952,-4.06813,-3.35095,0.919391
0.510839002,-269.839,47.009,-26.7657,-0.409514,-2.12219,-8.41274,-3.27609,-8.69707,-9.53542,-7.22871,-8.13865,-6.42252,-6.85093,-8.68279,0.248087,-0.726528,-3.74244,-4.91518,-3.84207,-4.16296,-1.71065
0.534058957,-270.167,48.5928,-25.355,1.437,0.0281966,-8.39881,-7.30882,-9.07185,-8.00615,-2.98195,-6.74088,-6.69314,-5.87399,-8.06548,-1.54054,-1.66328,-5.02754,-5.05684,-5.15948,-4.00969,-0.234354
0.557278912,-270.353,48.8447,-24.9234,2.16603,-1.55183,-9.22106,-6.41272,-9.79935,-7.5567,-4.5264,-7.1135,-5.9818,-6.2566,-6.73058,-1.11382,-1.6074,-5.49942,-5.28129,-4.15173,-2.75495,0.60324
0.580498866,-268.703,48.302,-24.1463,1.55122,-2.51596,-7.52054,-6.09659,-8.45892,-9.12353,-5.06869,-6.7096,-6.58272,-5.31415,-6.41302,-2.1555,-0.663752,-2.07789,-4.09534,-2.59944,-2.51763,-0.363034
0.603718821,-268.711,48.9812,-22.8888,0.686193,-1.15469,-6.06476,-5.27191,-9.59563,-8.3753,-3.26992,-5.48456,-4.80468,-3.74736,-6.75132,-4.71996,-3.25576,-3.43223,-4.20859,-2.80465,-2.16912,-1.72055
0.626938776,-269.319,49.9263,-23.0541,-0.996772,-3.98358,-8.62245,-6.19049,-7.9114,-6.35196,-3.63843,-6.32589,-5.67476,-5.16167,-6.1647,-3.13855,-3.4214,-5.24578,-4.513,-3.63775,-3.0751,0.485183
0.650158730,-270.619,48.1462,-22.6744,-0.952654,-5.53723,-10.9181,-7.53109,-8.40979,-6.98847,-5.37778,-9.70296,-7.44982,-5.80472,-5.70483,-3.12065,-4.54891,-5.67277,-4.57558,-3.30189,-2.68252,-0.426623
0.673378685,-275.037,49.0137,-23.1991,-0.124307,-3.68262,-11.634,-6.83277,-7.16906,-4.90182,-4.77548,-7.40623,-4.83341,-4.6631,-7.23414,-4.10709,-5.06797,-4.49924,-3.35842,-2.41245,-1.18034,0.535105
0.696598639,-271.257,45.4143,-23.0551,1.51983,-3.68638,-9.23028,-5.33369,-5.94513,-4.49517,-1.67476,-4.41612,-4.57665,-5.85587,-6.71809,-5.58211,-5.00664,-5.58001,-6.16163,-3.90802,-3.76997,-0.228347
0.719818594,-266.542,43.6644,-25.458,-0.996076,-5.08517,-8.87277,-6.25485,-6.84002,-4.62321,-2.9969,-5.81667,-6.107,-6.30237,-6.31133,-4.31765,-4.95647,-5.17371,-5.56372,-3.18826,-3.35766,1.4468
0.743038549,-269.004,46.4657,-24.5505,-0.287534,-4.267,-6.64461,-3.23252,-5.87078,-3.5102,-2.05586,-2.86285,-5.34105,-5.76538,-7.80964,-4.65204,-5.51551,-4.73377,-5.6042,-3.67742,-2.29873,0.926488
0.766258503,-273.009,45.9424,-24.6095,0.913156,-3.76282,-7.76347,-5.1277,-5.63005,-3.22432,-2.93468,-4.2165,-4.75734,-5.8509,-8.14934,-4.77969,-5.72109,-7.1629,-5.09939,-1.71677,-0.475145,2.02983
0.789478458,-270.492,44.4794,-25.0936,0.585747,-3.97751,-7.83446,-5.30433,-5.48325,-4.28702,-3.21081,-5.48731,-5.03606,-5.72296,-8.21127,-5.21202,-5.64288,-5.73692,-6.28256,-3.12813,-2.84562,1.15007
0.812698413,-268.259,43.2911,-24.6509,-0.395272,-3.12912,-6.50502,-5.08455,-6.18607,-4.9944,-3.06618,-4.84279,-4.72846,-5.78657,-5.9049,-4.81923,-3.83183,-3.94479,-6.15316,-2.85722,-1.56323,1.07533
0.835918367,-268.296,46.9243,-22.4676,-0.34966,-2.36321,-5.30988,-4.4536,-5.05008,-3.62282,-1.04471,-3.66472,-5.27778,-5.72623,-7.14158,-4.63594,-2.98326,-4.15046,-3.9614,-2.03141,-2.12815,1.11984
0.859138322,-272.52,46.6204,-21.8528,2.65054,-2.40783,-6.49833,-3.32834,-6.09989,-4.83041,-3.3259,-2.69035,-3.39835,-4.5322,-5.99864,-3.21889,-3.50298,-4.80929,-4.10387,-2.54417,-2.78591,0.0754725
0.882358277,-270.971,47.7867,-21.5692,1.85418,-0.673435,-6.13614,-4.91287,-8.1625,-8.7603,-5.16019,-3.80882,-2.61001,-3.33828,-5.94147,-3.2276,-2.99348,-3.38166,-4.40613,-2.80779,-3.12952,0.108584
0.905578231,-272.684,48.2481,-22.9806,2.60411,0.465543,-7.07509,-6.79992,-9.19772,-8.31576,-5.78051,-4.0363,-3.30838,-3.17542,-4.95557,-2.64212,-2.91982,-3.90285,-3.32268,-2.73306,-2.67966,0.814858
0.928798186,-273.943,45.6055,-22.3967,2.99538,2.35553,-5.75647,-7.03504,-8.29522,-8.26499,-4.75826,-2.58079,-3.73115,-2.30011,-5.36829,-3.78345,-2.68439,-3.82774,-3.70868,-2.77489,-2.84272,0.150297
0.952018141,-276.082,49.3353,-22.2872,3.8682,1.90327,-4.05282,-4.80827,-7.51749,-7.64813,-4.30094,-4.36584,-4.23739,-2.00127,-6.11517,-2.6633,-1.82471,-2.87849,-2.95045,-2.22852,-3.64753,-1.7478
0.975238095,-276.343,48.4296,-23.2792,3.49942,1.45103,-4.81407,-5.38432,-6.52455,-5.13645,-4.91052,-4.98738,-5.13956,-4.2986,-5.29796,-2.22295,-2.13052,-2.50296,-3.53345,-2.31225,-3.60676,-1.46394
0.998458050,-281.706,48.4504,-22.621,4.88121,2.37764,-6.87855,-5.72904,-5.56228,-3.87726,-2.77088,-5.4148,-7.85823,-6.95503,-5.85598,-0.224146,-0.0279789,-2.16179,-5.96404,-3.59018,-4.85043,-0.612603
1.021678005,-283.326,52.2244,-21.8923,2.30301,3.34869,-8.17774,-6.07524,-6.55215,-4.69717,-2.72831,-4.67429,-7.73892,-6.45942,-6.64563,-1.87602,0.725513,-1.43766,-4.12768,-3.14823,-4.55629,0.173372
1.044897959,-278.561,53.9487,-22.9425,1.9639,1.71304,-7.72077,-3.47585,-7.65343,-5.90105,-2.46945,-4.07165,-5.55745,-5.98712,-6.25346,-1.32871,-0.576474,-1.91899,-3.61531,-4.08739,-4.13716,-0.0741072
1.068117914,-275.207,48.6543,-25.1357,-1.29143,-2.47072,-7.19551,-4.09718,-6.07173,-5.72118,-4.0331,-5.64616,-5.93825,-6.66634,-6.99886,-2.06632,-1.30129,-2.4073,-3.82979,-3.61337,-4.48512,0.902667
1.091337868,-279.413,48.1261,-25.5927,-2.80375,-2.99906,-7.39764,-2.74447,-6.41812,-5.2779,-5.745,-8.78994,-8.28232,-8.24409,-8.2491,-4.39799,-1.81688,-3.80758,-3.22589,-2.6808,-4.00561,-1.12592
1.114557823,-282.687,53.3441,-23.3829,-0.201496,-1.99841,-10.2573,-2.77758,-7.36648,-7.15071,-6.63723,-8.17212,-6.11735,-5.5887,-8.17456,-2.71331,-2.40502,-3.25838,-2.3911,-2.51726,-3.49595,-1.57673
1.137777778,-280.703,53.2425,-27.1952,0.647346,-0.240207,-9.81168,-1.28666,-7.89445,-8.69924,-7.08301,-7.94666,-5.4524,-3.37887,-6.93617,-1.66006,-3.58554,-1.92194,-1.95297,-4.24077,-5.37822,-1.58199
1.160997732,-278.592,51.7796,-27.3129,-1.95492,-1.16715,-8.41645,-1.13227,-5.81845,-7.37001,-6.88542,-6.95846,-4.92144,-3.83696,-6.65768,-3.37084,-4.78986,-4.36652,-3.9011,-4.71172,-3.6859,1.14597
1.184217687,-280.045,51.4566,-25.4208,-0.905167,-0.818343,-7.03136,-3.16889,-4.80494,-6.1215,-5.01437,-7.01383,-7.71133,-5.82239,-5.61092,-2.19268,-3.84056,-4.89752,-4.16574,-2.87612,-3.62181,1.08904
