Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3s4WNh0WnfhwvIlrp6RTBj,"ZAAZAA","ZAAZAA","Frenna;Shallipopi",2025-05-22,156080,63,false,,2026-01-27T09:00:34Z,"afrobeats,afrobeat,afropiano,amapiano,afropop,afro adura","777 Records BV / Top Notch Music BV",0.868,0.731,11,-5.949,0,0.0793,0.0744,0.112,0.0808,0.785,117.016,4
spotify:track:52dEZA0A4siRTuA4e8w3ll,"Told You So","Told You So","Martin Garrix;Jex",2024-11-22,187031,68,false,,2026-01-27T09:00:34Z,"edm,progressive house,electronica","Intercord",0.645,0.731,6,-6.521,0,0.0512,0.192,0.00000428,0.271,0.672,127.929,4
spotify:track:0fROjdyTv6S6E65qpQfwHa,"Ik Zing (feat. Snelle)","Ik Zing (feat. Snelle)","Zoë Livay;Snelle",2025-03-20,174288,61,false,,2026-01-27T09:00:34Z,"nederpop,hollands","Warner Music Benelux",0.573,0.474,5,-7.992,1,0.0303,0.486,0.00000385,0.091,0.221,96.749,3
spotify:track:6QOSsq9F1yR9ka8ZbgAYmI,"A Moment","A Moment","Kensington",2025-01-16,203545,42,false,,2026-01-27T09:00:34Z,"nederpop","Universal Music, a division of Universal International Music BV",0.46,0.906,1,-5.305,1,0.0452,0.00139,0.000373,0.0641,0.627,162.035,4
spotify:track:62iG1lk8qtd26ldgzCdRh5,"Ga Dan!","Mama I Made It","Roxy Dekker",2025-03-07,137999,62,false,,2026-01-27T09:00:34Z,"nederpop,hollands","Warner Music Benelux",0.716,0.892,0,-4.391,0,0.0412,0.147,0,0.285,0.888,119.988,4
spotify:track:6ZNf63s84LCpLmURqkIaNO,"voor alles bang","lieve monsters","Sef;Wende",2025-06-26,179256,50,false,,2026-01-27T09:00:34Z,"nederpop","Top Notch Music BV",0.703,0.747,4,-7.62,0,0.0499,0.111,0.0823,0.156,0.394,140.04,4
spotify:track:7FDZ2inzoMZSlV9To1mMdO,"Girl In Red","Girl In Red","Hiqpy",2025-09-05,213312,42,false,,2026-01-27T09:00:34Z,"","Sony Music Entertainment",0.587,0.709,4,-6.497,1,0.0371,0.0145,0.235,0.146,0.653,121.962,4
spotify:track:3t85nUPCmSq3O4bJXK0qhT,"HDP","OMG YES","Milolaathetlukken;Lil Kleine",2025-11-05,154029,58,true,,2026-01-27T09:00:34Z,"","Top Notch Music BV",0.834,0.877,1,-4.128,1,0.0878,0.00435,0.00000565,0.329,0.856,134.05,4
spotify:track:7tW2Md8xOwnKPIYhCqPiU4,"Echte Liefde Is Te Koop","Echte Liefde Is Te Koop","Samuel Welten",2025-03-21,152659,66,false,,2026-01-27T09:00:34Z,"hollands","WM Netherlands",0.469,0.724,1,-7.008,1,0.0526,0.0302,0,0.0949,0.501,131.385,4
spotify:track:7osE6MJVDWyX9XUVC7Q242,"Hoe Het Is","Hoe Het Is","Roxy Dekker;Idaly;Ronnie Flex",2025-07-18,151875,65,false,,2026-01-27T09:00:34Z,"nederpop,hollands","Warner Music Benelux",0.594,0.885,7,-4.862,1,0.0421,0.0416,0.0000149,0.135,0.469,128.054,4
