TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-567.897,-34.8755,3.91474,-8.68047,9.3589,-2.23232,4.9096,-2.69816,1.15667,-0.470835,3.45405,-4.27106,-0.957067,-4.41046,-2.3084,-0.564731,2.23933,2.66542,3.49571,-0.708517,2.28613
0.023219955,-533.924,-26.5406,0.0586482,-14.6719,1.68626,-0.173993,7.89247,-2.02193,4.22772,-3.36516,3.77196,0.502206,3.43462,0.784021,0.614413,-3.39315,1.35314,0.66698,-0.584349,-1.79892,-0.25719
0.046439909,-511.035,-29.1437,-1.58003,-13.314,6.26976,2.60898,4.67276,0.198871,5.89274,-1.39584,5.67575,-1.55298,1.39154,2.02496,0.722045,0.341596,1.95532,0.854645,-1.94502,-1.78695,1.85357
0.069659864,-496.755,-35.0718,-5.10566,-14.9368,4.26138,4.82046,9.26735,2.82343,1.85424,-3.32594,3.41959,-2.43633,1.6884,2.05505,-0.727949,0.727748,-0.272508,-0.987447,-2.20236,-1.63841,-0.815038
0.092879819,-483.336,-33.8766,2.02545,-9.08681,13.4054,10.7662,9.38808,1.45177,2.13471,-2.31445,2.31789,-2.27621,0.883186,3.65665,4.57265,4.54718,4.01368,-1.51571,-1.43427,0.176886,-0.640006
0.116099773,-464.333,-31.8952,1.72452,-10.1252,7.55404,5.32816,9.53512,2.56999,2.16555,-0.404974,5.79608,-1.70236,0.0511823,1.59431,2.05683,-0.633921,1.75049,2.09888,2.06962,-0.0643638,-1.11279
0.139319728,-444.931,-30.147,0.457208,-10.4521,4.69085,4.24172,10.121,4.51552,4.78446,-1.2135,4.65411,-0.146138,-0.10687,2.22074,3.63965,2.60692,2.34423,-0.291306,-1.63679,-0.5281,-1.15021
0.162539683,-368.387,-14.6339,-22.3283,-20.2529,-0.889521,2.31374,0.534344,-0.0328847,-0.708036,-8.42195,1.85054,-6.03804,-2.44934,4.46588,-0.743843,-4.1202,1.04612,0.76995,-0.821937,0.392535,-2.21163
0.185759637,-364.644,-17.9913,-20.0437,-17.3086,-2.61665,7.0721,1.96301,-2.24536,-2.78306,-9.67735,4.00722,-4.04146,-1.2003,3.98712,-0.737465,-4.05425,0.398294,-0.590867,-0.891848,3.10294,1.39144
0.208979592,-351.312,-19.7434,-23.612,-15.771,-3.10447,7.66783,-0.302467,-0.0364998,0.771083,-11.6987,0.615956,-3.43064,-1.6366,4.83605,1.78396,-2.63722,0.940739,-0.399753,-1.49455,1.42556,2.80781
0.232199546,-357.235,-22.9399,-21.1308,-15.5858,-2.4811,6.55211,-1.73741,-0.443426,-0.784471,-9.07238,3.30907,-2.85715,1.53258,0.910247,-4.0883,-2.98767,0.518788,-0.103081,-1.18053,2.81004,1.81625
0.255419501,-361.054,-25.1387,-23.5316,-15.0144,-1.85138,5.11931,-3.97048,-0.299354,1.41197,-12.567,0.016464,-4.78602,0.276814,3.50846,0.0291546,-2.31917,-0.669518,-2.80221,-2.16868,1.48,2.27281
0.278639456,-367.708,-26.5642,-21.1925,-13.549,-1.88612,7.03361,-0.976406,0.754808,2.99652,-8.20727,3.23537,-2.95216,0.827301,2.61642,1.79906,0.82412,2.31413,-0.228896,-1.84595,1.53781,0.804392
0.301859410,-371.73,-24.9872,-20.4592,-14.4488,0.268952,5.83998,-2.64974,-0.559783,4.13071,-6.76747,3.45977,-2.23612,0.0995746,3.5477,-0.133936,-0.739831,2.99675,1.52069,-1.06245,1.99214,2.13702
0.325079365,-378.65,-25.6109,-17.7349,-13.9979,2.32303,11.883,5.11123,0.61077,3.58129,-8.09055,2.86323,-1.95218,1.81925,5.00086,0.280352,-0.840483,4.00366,1.50368,-2.87779,2.0031,3.42622
0.348299320,-381.511,-25.8888,-17.3672,-16.157,0.485211,7.67124,2.36219,1.60357,3.50081,-6.04425,3.23243,-1.33249,1.46322,6.87851,1.59458,-1.0181,0.449461,-0.00791652,-1.16749,1.76804,-0.803639
0.371519274,-381.09,-22.555,-12.3796,-15.0512,3.96701,7.26473,0.101229,-2.45748,2.41336,-7.51939,1.97862,-4.30474,0.266812,5.30775,2.12171,1.17897,1.39404,-0.0724666,-1.10696,1.11285,-1.05671
0.394739229,-386.985,-27.3669,-16.1874,-17.7983,-1.85443,6.45181,0.870385,-1.07599,0.791508,-6.47584,2.99988,-3.39066,0.908611,5.82215,3.73127,-2.74033,-2.02364,-1.73336,-1.8779,0.751349,-0.564507
0.417959184,-385.005,-27.3935,-16.0042,-16.4786,-1.01553,7.73065,3.61561,0.891729,2.88045,-5.17372,3.97904,-2.71329,-2.01087,2.2049,-1.50464,-4.73825,-1.36862,0.0502725,-1.22426,0.643216,-0.543445
0.441179138,-386.331,-26.7664,-17.0162,-14.6528,1.82852,8.44289,1.81725,-1.84667,1.46698,-7.41076,3.17389,-3.12943,-1.52961,0.62455,-0.22715,-2.69505,0.309192,-0.154034,-0.34484,-0.486629,-0.848913
0.464399093,-391.168,-27.3103,-13.7878,-15.028,2.15207,7.9534,4.31761,0.0660906,0.864634,-7.06661,0.318675,-3.78299,-0.976442,1.70892,-0.666589,-1.96896,-0.774577,-2.28892,-1.58879,1.07666,3.87849
0.487619048,-390.608,-25.2915,-11.3167,-14.0773,1.52867,5.84526,3.45833,-0.597407,-1.41383,-8.13991,-0.161311,-2.28665,1.90855,4.1337,2.24038,-0.468108,0.635451,1.57807,-0.457266,-0.386471,-0.863177
0.510839002,-393.157,-25.8802,-10.1647,-15.9992,1.05093,7.89126,5.64013,0.430121,1.13964,-8.36071,1.70962,0.00128083,2.97592,5.3592,1.44109,-0.514782,3.10876,2.18759,-0.103903,1.03827,-0.368797
0.534058957,-392.06,-24.4217,-8.2729,-12.6563,7.01723,8.65893,2.91193,-0.681683,-0.355308,-7.14714,1.91727,-1.7914,-1.15586,3.64986,1.47368,-2.77619,-0.0145557,2.56451,0.374485,1.62817,1.78727
0.557278912,-396.607,-25.1968,-9.25025,-13.5981,5.7415,12.1059,6.47317,0.813842,1.36345,-8.57496,1.23195,-4.18825,-0.865959,2.38559,1.95396,-0.426324,0.44207,0.812638,0.143287,1.50398,0.191167
0.580498866,-398.499,-27.7301,-7.44993,-16.4451,1.43733,4.85823,4.38471,-1.69028,1.11115,-8.14654,-3.06273,-5.44146,-2.0894,2.70035,0.871103,-2.09396,0.142362,0.603697,-1.07674,0.584899,2.53278
0.603718821,-384.839,-21.8003,-9.90148,-18.0217,0.598084,7.35039,6.72913,2.13363,2.24995,-6.0256,0.434702,-5.6541,-3.0925,0.617964,-0.99757,-2.10268,0.618912,1.06423,-0.178425,-1.57236,-0.148536
0.626938776,-383.332,-26.4163,-7.19153,-12.1251,3.13378,10.3766,6.75162,0.168587,-0.0164495,-3.07483,7.72727,-0.633681,-0.278984,3.28831,-0.13184,-2.32296,1.27021,1.21865,-1.18145,1.73386,1.87715
0.650158730,-380.058,-25.2265,-8.20912,-11.9753,0.372504,7.72401,4.48808,1.71773,3.28955,-8.08428,0.914363,-2.60561,1.23416,6.24782,0.630336,-0.847995,2.20015,1.53199,-1.71819,-0.40085,2.28706
0.673378685,-378.902,-23.7569,-5.61438,-11.5044,0.43605,8.26889,4.34883,2.0656,2.62572,-5.40575,4.42329,-2.04835,0.376392,4.8052,-0.982281,-2.24548,0.556517,-0.555009,-1.08509,-0.137713,0.867353
0.696598639,-381.366,-23.3438,-3.79337,-9.70836,0.696728,7.66476,4.55286,2.32085,2.24638,-8.24699,2.80142,-2.4046,-0.702839,2.35433,-1.82713,-1.57183,1.24393,-0.246248,-3.43355,-0.695835,1.62027
0.719818594,-386.11,-24.5852,-1.23396,-9.09844,-0.00900523,5.68297,1.20753,-1.93681,1.41789,-8.54186,0.495127,-2.09186,-0.0298272,2.13061,-2.33626,-4.64329,-0.467989,-0.425917,-3.06983,-1.46592,-0.960421
