TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
0.092879819,0.358102,0.462041,1.07976,0.0218289,0.0101053,0.440253,0.670089,0,0.992352,0.897186,1.69721,0.306129
0.139319728,0.537733,0.544166,1.05257,0,0.0163583,0.483404,0.674952,0,1.09711,0.863202,1.37676,0.240165
0.185759637,0.592063,0.59219,1.01249,0,0.0247393,0.515573,0.608426,0,1.25,0.838085,1.25226,0.219699
0.232199546,0.571683,0.634545,0.948141,0,0.032806,0.406641,0.476035,0.00152626,1.27437,0.783623,1.5255,0.216928
0.278639456,0.370831,0.644693,0.848492,0.237816,0.104532,0.251369,0.0735808,0.311182,1.14365,0.56963,1.77103,0.337742
0.325079365,0.225269,0.496941,0.662968,1.28707,0.380388,0.467497,0.0291173,1.11228,0.591569,0.156273,1.13562,0.126964
0.371519274,0.154516,1.09567,0.598757,1.03617,0.108454,0.758033,0.00255412,1.08204,0.858783,0.511047,0.510143,0.663207
0.417959184,0.226772,1.32955,0.572928,0.927457,0.0724931,0.762621,0.24044,0.886216,1.41219,0.0879031,0.398117,0.887074
0.464399093,0.336449,0.938268,0.307562,1.78844,0.0252094,0.509744,0.275949,0.740864,1.88958,0.0811566,0.493009,0.977252
0.510839002,0.439313,0.460128,0.0211968,2.80387,0.0224563,0.440437,0.353298,0.660852,1.99986,0.0836386,1.46387,0.667423
0.557278912,0.378539,0.322224,0,3.19244,0.019436,0.435335,0.452,0.846215,1.16699,0.0425339,2.23987,0.0413199
0.603718821,0.000500546,0.397858,0,3.50509,0.0736514,0.407729,0.215645,1.16748,0.414562,0.0178855,2.43059,0.0529049
0.650158730,0.000364556,0.255881,0.126457,3.79151,0.128963,0.41857,0.152137,1.33339,0.0792169,0.0277561,2.46702,0.16733
0.696598639,2.52772e-06,0.0806018,0.229719,3.92199,0.199697,0.374916,0.352473,1.5681,0.0701459,0.0855446,2.64446,0.158594
0.743038549,0,0.0325678,0.0977215,3.74268,0.576324,0.264788,0.394073,1.75178,0.142546,0.0946202,2.39834,0.257586
0.789478458,0,0.154628,0.050538,3.95869,0.396367,0.252619,0.137796,1.94245,0.0159618,0.100931,2.09613,0.152742
0.835918367,0,0.0959265,0.180591,3.89659,0.0288076,0.32203,0.00613396,1.7375,0.438997,0.177666,1.75603,0.493837
0.882358277,0,0.0959609,0.305144,3.23038,0.0365843,0.36572,0.0271037,1.41463,1.19114,0.183434,1.40937,0.736813
0.928798186,0,0.106899,0.592517,2.10726,0.489112,0.371416,0.0468224,1.10129,1.42772,0.267173,1.12547,0.643197
0.975238095,0,0.12763,0.680256,1.69071,0.69346,0.810758,0.0724373,0.909974,1.29226,0.641385,0.59645,0.302392
1.021678005,0,0.414312,0.202539,1.91878,0.511412,0.735997,0.095459,1.81663,0.386548,0.527865,1.19387,0.178867
1.068117914,0.00373787,0.712889,0.0137446,2.07945,0.528138,0.544255,0.0225223,1.9824,0.0415882,0.345554,1.52369,0.13844
1.114557823,0.0261919,0.698711,0.0515999,2.10212,0.504425,0.828846,0.168879,1.57837,0.237016,0.0776669,1.60379,0.124159
1.160997732,0.000621369,0.30344,0.039313,1.58242,0.354142,1.38358,0.155475,1.36857,0.228352,0.523681,1.6658,0.147779
1.207437642,0.000482734,0.362258,0.83198,0.6983,0.36279,2.03344,0.104753,0.500964,0.498449,0.963145,1.05477,0.334272
1.253877551,0.000228519,0.36689,0.929152,0.605715,0.350255,2.08683,0.192011,0.410825,0.913555,1.21303,0.421175,0.3318
1.300317460,6.72376e-05,0.36622,0.769734,0.803574,0.317521,1.97418,0.286775,0.361501,0.91184,1.1175,0.204276,0.452823
1.346757370,0.243647,0.252654,0.57193,1.34946,0.242681,1.56565,0.396389,0.780259,0.343619,0.871827,0.303658,0.403847
1.393197279,0.330131,0.323298,0.647165,1.64048,0.0808377,1.23452,0.517661,1.31675,0.00799664,0.666505,0.500688,0.286824
1.439637188,0.219137,0.370954,0.686908,1.67823,0.0412166,1.11922,0.588185,1.42202,0.0344677,0.663969,0.606504,0.450766
1.486077098,0.129497,0.421352,0.542792,1.74115,0.0722319,0.798259,0.581248,1.53271,0.0261758,0.551277,1.2505,0.472322
1.532517007,0.0575651,0.705952,0.453751,1.72832,0.250912,0.727821,0.543196,1.59898,0.0471352,0.423274,1.53961,0.371729
1.578956916,0.000240988,0.888433,0.458645,1.38539,0.16058,0.745174,0.352412,1.52509,0.0625848,0.699196,1.14315,0.34615
1.625396825,0.111896,0.978096,0.561837,1.2724,0.349288,1.18642,0.272575,1.50526,0.236889,0.774771,0.779031,0.422553
1.671836735,0.233039,1.02019,0.12438,1.5935,0.381862,1.12421,0.0338925,1.89485,0.288626,0.805489,1.14076,0.600593
1.718276644,0.224084,0.282643,0.117265,2.00547,0.337246,0.655048,0.0496138,1.90325,0.521161,0.911193,1.43821,0.458068
