TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
0.092879819,0,0,0,0,0,0,0,0,0,0,0,0
0.139319728,0,0,0,0,0,0,0,0,0,0,0,0
0.185759637,0,0,0,0,0,0,0,0,0,0,0,0
0.232199546,0,0,0,0,0,0,0,0,0,0,0,0
0.278639456,0.612837,0.000300987,0.822333,2.04118,1.42879,0.0743237,0.954772,0,0.99476,0.766767,0.722816,0.469282
0.325079365,0.353015,0.0465904,0.0521407,3.1096,0.348444,0.0576425,0.0726153,0.0487125,0.744388,1.03092,1.22931,0.513521
0.371519274,0.368941,0.0328247,0,3.4329,0.18883,0.0267038,0.394317,0.0618276,0.406728,0.423449,1.50718,0.909156
0.417959184,0.181469,0.0837121,0,3.38445,0.248412,0.152591,1.68453,0.033514,0.184532,0.113156,1.36913,1.07787
0.464399093,0.117912,0.0824505,0,3.02151,0.222144,0.100668,2.43266,0.0653272,0.154545,0.0822251,1.5941,1.09944
0.510839002,0.116418,0.0763799,0.000115105,2.5938,0.250194,0.072657,2.64164,0.0388228,0.10931,0.0107065,2.14157,1.086
0.557278912,0.0587913,0.0952183,0,2.01811,0.222958,0.42357,2.28983,0.0163208,0.108264,0.0162427,2.37214,0.983636
0.603718821,0.103661,0.0230877,0.0454318,1.70108,0.168788,0.70251,2.23233,0.0219938,0.0944173,0.0951622,2.30921,0.675921
0.650158730,0.17635,0,0.123186,1.63885,0.134677,1.0733,2.19647,0,0.0464757,0.366306,2.10018,0.286565
0.696598639,0.205954,0,0.0990164,1.79515,0.0313287,1.53556,1.82064,0,0.0612265,0.326191,2.14761,0.16143
0.743038549,0.18329,0.103312,0,1.94407,0.0252654,1.77061,1.52299,0.0998996,0.0770376,0.0875541,2.43313,0.137577
0.789478458,0.193738,0.267442,0.00948728,1.97985,0.0232582,1.80323,1.21532,0.333652,0.0408992,0.0669252,2.53894,0.120102
0.835918367,0.215178,0.281251,0.026706,1.87726,0.0158905,1.88396,1.05604,0.338396,0.0473252,0.0220937,2.46546,0.122414
0.882358277,0.209952,0.19035,0.0128058,1.87479,0.00492301,1.94341,0.937771,0.24654,0.00292251,0,2.46662,0.13811
0.928798186,0.194607,0.0814743,0,1.85686,0,1.93547,0.921053,0.177761,0.00636011,0,2.49509,0.165113
0.975238095,0.193062,0.0857758,0.0062119,1.85773,0.042936,1.98897,1.01621,0.112121,0.00709679,0.0216044,2.34649,0.184698
1.021678005,0.203285,0.00796071,0,1.83632,0.057903,2.10938,1.05939,0.0352424,0.00433443,0.0303348,2.12376,0.310965
1.068117914,0.212821,0,0,1.80098,0.0484534,1.96412,1.09896,0.0454298,0.00164391,0.0210389,2.20099,0.188501
1.114557823,0.170821,0,0.000390873,1.79556,0,1.74995,1.11314,0.0397378,0.00762831,0.00828009,2.3516,0.178312
1.160997732,0.163472,0,0.0190319,1.73798,0.0282176,1.84284,1.14437,0.0458444,0.0488939,0.0388743,2.2553,0.175917
1.207437642,0.14231,0,0.0016967,1.77193,0.0710554,2.13842,1.13805,0.0733993,0.0390766,0.0337048,1.98257,0.19135
1.253877551,0.133774,0,0.0122879,1.85644,0.072117,2.28022,1.1758,0.138969,0.0228057,0.0103556,1.84148,0.241215
1.300317460,0.1311,0,0,1.89618,0.00652927,2.28685,1.25938,0.0981536,0.0455244,0.0853691,1.75643,0.05993
1.346757370,0.141901,0,0,1.81089,0,2.12926,1.23394,0.0282689,0.0900116,0.0657225,2.16758,0.0260547
1.393197279,0.194396,7.21359e-05,0,1.8388,0,2.0605,1.19021,0.0441608,0.087463,0,2.34133,0.0136075
1.439637188,0.194099,0.0299415,0,1.84858,0,2.07043,1.16526,0.0089816,0.0754456,0,2.34805,0.0442683
1.486077098,0.146896,0,0,1.83648,0,2.06668,1.16561,0,0.0651312,0,2.37215,0.105291
1.532517007,0.184217,0,0.0366176,1.78765,0.000551905,2.06231,1.07246,0.141251,0.0598703,0,2.39942,0.167135
1.578956916,0.188873,0,0,1.70883,0.0217995,2.06234,1.09327,0.0638741,0.0860417,0,2.37341,0.171364
1.625396825,0.199381,0.00156918,0.00573928,1.69432,0.0833311,2.0087,1.19037,0.0402603,0.121779,0.110881,2.33726,0.0985091
1.671836735,0.212527,0.00221875,0.0283823,2.36473,0.104681,1.9741,1.25166,0.136866,0.111873,0.249851,2.17523,0.010725
1.718276644,0.141705,0.00155096,0,3.05235,0.130362,1.93608,1.23093,0.0935673,0.104918,0,2.06804,0.0829699
1.764716553,0.147183,0,0,3.56517,0.125943,1.7321,1.10643,0.100889,0.0557766,0,2.03241,0.172963
1.811156463,0.161589,0.00654861,0,4.02595,0.0151818,1.37622,1.11742,0.0743677,0.0344799,0,2.11438,0.151134
1.857596372,0.166572,0.14687,0.12272,4.10495,0,1.24648,1.04098,0.0646305,0.0420495,0,2.01952,0.152012
