TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
0.092879819,0,0,0,0,0,0,0,0,0,0,0,0
0.139319728,0,0,0,0,0,0,0,0,0,0,0,0
0.185759637,0,0,0,0,0,0,0,0,0,0,0,0
0.232199546,0,0,0,0,0,0,0,0,0,0,0,0
0.278639456,0,0,0,0,0,0,0,0,0,0,0,0
0.325079365,0,0,0,0,0,0,0,0,0,0,0,0
0.371519274,0,0,0,0,0,0,0,0,0,0,0,0
0.417959184,0,0,0,0,0,0,0,0,0,0,0,0
0.464399093,0,0,0,0,0,0,0,0,0,0,0,0
0.510839002,0.44917,0.530513,0.349176,0.0062107,0.326865,0.558092,1.18219,0.367249,0.91226,1.61112,0.378304,0.451984
0.557278912,0.660737,0.448655,0.330232,0.13183,0.821177,0.593276,0.709087,0.323654,0.969622,1.65402,0.358134,0.291632
0.603718821,0.783067,0.363928,0.376019,0.189958,0.610683,0.72718,0.429836,0.00213252,0.988518,1.51972,0.512371,0.764479
0.650158730,0.771737,0.459219,0.385231,0.223242,0.57538,1.3821,0.162155,0.00641361,1.04812,1.19807,0.501235,0.79133
0.696598639,0.716136,0.502545,0.557586,0.223667,0.695351,1.87357,0.0472505,0.459789,0.774904,0.497339,0.370741,0.730154
0.743038549,0.891987,0.365534,0.561636,0.205272,0.65431,1.64009,0.065409,0.639361,0.668946,0.511641,0.570021,0.559608
0.789478458,1.06818,0.394735,0.346831,0.0825474,0.28082,1.28671,0.0666692,0.715338,0.488022,0.328393,1.09221,0.47593
0.835918367,0.961679,0.416901,0.396072,0.181057,0.0262992,1.48843,0.323604,0.60218,0.158582,0.357887,1.49558,0.428113
0.882358277,0.760621,0.730274,0.521319,0.739109,0.0115267,0.869343,0.865159,0.44865,0.0169678,0.624262,1.50655,0.318924
0.928798186,0.78569,0.722962,0.549634,1.00081,0.000413138,0.812529,0.908102,0.410029,0.00752126,0.666083,1.3621,0.422545
0.975238095,1.06711,0.777361,0.354823,1.19556,0.00541674,0.61083,0.773767,0.533405,0.232541,0.76009,0.808844,0.181341
1.021678005,1.66605,0.663681,0.225421,1.09381,0.0693455,0.100205,0.482642,0.885621,0.470567,0.755898,0.337686,0.0167178
1.068117914,1.69534,0.553543,0.0911932,1.00165,0.162528,0.447567,0.0306162,1.19098,0.338259,0.0633297,0.4249,0.325704
1.114557823,2.09576,0.328849,0.0033591,0.823389,0.156694,0.265226,0.0686883,1.22107,0.121831,0.196227,0.591931,0.772862
1.160997732,1.82075,0.190735,0.174155,0.681401,0.557124,0.681926,0.0203422,1.07018,0.151597,0.177551,0.73688,0.917756
1.207437642,1.08158,0.82779,0.3803,1.26478,0.826014,0.871325,0.0171372,0.892187,0.315575,0.433024,0.577959,0.741351
1.253877551,0.570847,1.26942,0.337583,1.71524,0.597128,0.701777,0.0197375,0.744202,0.169252,0.825948,0.356368,0.716162
1.300317460,0.578461,1.06833,0.168393,1.70254,0.665608,0.803981,0.154291,0.891141,0.0133467,1.2916,0.0524721,0.272183
1.346757370,0.843381,1.04787,0.104001,1.14437,0.735441,0.686484,0.426081,1.08649,0,1.45817,0.227506,0.000629683
1.393197279,1.03234,0.881642,0.139839,1.18366,0.658728,0.497412,0.0323446,0.801369,0.064951,1.19795,0.896909,0.000782649
1.439637188,1.03809,0.628575,0.0906298,1.5636,0.259212,0.242459,0.0461419,0.0289931,0.11388,1.20692,1.1245,0.17536
1.486077098,0.749626,0.406545,0.13532,1.49759,0.214714,0.497431,0.128499,0.00244309,0.135906,1.22414,1.35759,0.230037
1.532517007,0.654089,0.842354,0.458557,0.840564,0.194414,0.58037,0.114286,0.574007,0.186166,0.892123,1.3599,0.717158
1.578956916,1.07603,0.252731,1.05473,0.68123,0.267401,0.554844,0.412273,0.403968,0.694218,0.425285,1.04182,1.0466
1.625396825,1.21091,0.571495,0.826064,0.866745,0.28201,0.502055,0.555774,0.300177,0.471494,0.267798,0.89275,1.05066
1.671836735,1.46697,0.597861,0.646058,1.11634,0.482213,0.288568,0.700745,0.0531012,0.455182,0.256687,0.905492,0.885544
1.718276644,1.35891,0.348393,0.276822,1.13095,0.773272,0.0539874,0.91064,0,1.06516,0.108432,0.883395,0.743361
1.764716553,1.16828,0.370651,0.280163,1.07944,0.616931,0.0504048,2.12063,0,0.470621,0.326965,1.07784,0.429257
1.811156463,0.768295,0.461015,0.00071438,0.987983,0.681149,0.49615,2.0902,0.134136,0.0503176,0.435025,1.04559,0.469223
1.857596372,0.50177,0.831419,0.317612,0.790402,0.63118,0.427348,1.61235,0.348322,0.282812,0.0778768,1.11518,0.402136
1.904036281,0.870162,0.958964,0.473095,0.812958,0.422674,0.0731519,1.05234,0.504626,0.273342,0.627151,1.15806,0.362929
