TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-553.134,-32.036,5.27929,-5.80316,2.34568,-1.97872,2.17591,-1.15359,2.98899,-1.20627,2.92114,-0.921565,1.33268,-0.71651,0.961781,-0.825864,1.65089,-0.305137,0.707915,-1.58339,-0.707967
0.023219955,-588.765,-29.4988,18.8891,-11.11,-1.72852,4.01254,2.93884,-5.44115,3.62162,-3.38584,3.00269,-7.60022,3.78719,0.594766,3.10907,-1.28857,2.18831,0.0566184,-0.758105,-1.7691,1.92426
0.046439909,-590.729,-30.2955,21.5892,-9.64894,-4.84209,2.0425,3.08147,-8.50657,2.96936,-4.59921,4.8351,-4.26943,3.44955,-4.07803,0.0639476,-2.02923,-0.114784,0.52255,1.67789,0.556613,0.796079
0.069659864,-588.339,-30.1838,20.6734,-7.79297,-2.57548,4.26085,4.46433,-2.86486,6.74853,-3.30639,4.77046,-1.14113,5.87392,-0.0460582,1.56329,-2.15487,-0.20266,-0.695067,-0.592995,-2.7896,-1.45381
0.092879819,-589.66,-31.04,18.6091,-10.1886,-4.70304,-0.101631,2.3956,-8.02703,3.085,-3.67517,4.52304,-4.89243,0.39366,-3.32845,-0.188863,-3.51705,0.870824,-0.493256,-1.23017,-1.84722,-0.0429285
0.116099773,-592.243,-31.7179,18.2996,-11.228,-4.45978,2.14628,2.15798,-7.55055,4.10137,-4.49668,2.41094,-5.50366,2.46485,-2.04597,1.95536,-0.310002,0.891472,-0.70806,-0.240799,-0.908311,2.27776
0.139319728,-591.346,-33.5636,15.796,-12.4994,-6.50014,-0.502347,1.44547,-7.23087,4.71636,-5.7393,4.30149,-5.39348,1.8046,0.0971609,4.66932,0.593733,2.09609,-0.346248,-0.0597927,0.0220732,1.75512
0.162539683,-592.427,-33.0899,15.8302,-12.1686,-5.00989,0.428774,-0.102391,-9.54637,3.60121,-3.97733,4.16596,-5.94915,-0.105836,-3.2195,1.30051,-2.23159,0.539191,1.73877,1.6575,-1.03826,0.523037
0.185759637,-593.053,-32.019,19.5689,-9.63551,-3.48796,2.90124,1.5404,-8.1552,5.33822,-3.10453,7.38993,-1.57452,2.08874,-1.74506,0.153426,-2.81674,1.82123,-0.269348,-1.21802,-2.38089,-1.14253
0.208979592,-588.947,-29.9742,19.9061,-10.096,-4.25167,3.97952,4.69746,-4.43431,8.11044,-2.96676,5.70949,-1.63142,3.26162,-1.19085,3.84254,-1.27153,0.395833,-1.20037,-0.45441,-1.00586,0.115757
0.232199546,-585.886,-30.5163,16.7646,-11.7312,-7.39873,-0.56104,2.02451,-4.6462,5.29875,-6.7798,2.45011,-4.19285,2.8436,-1.68617,1.74187,-0.0429239,0.865713,-0.397048,-0.000326827,-3.26775,0.180191
0.255419501,-590.424,-31.8806,18.4923,-9.73003,-4.23387,3.73275,5.45401,-7.12635,4.96493,-4.35921,3.15844,-7.38373,-1.59677,-4.216,0.801509,-1.36599,1.91126,0.304194,0.910838,-0.572197,1.18739
0.278639456,-591.047,-32.1991,17.0498,-12.203,-6.71269,0.706932,2.56183,-7.92782,1.07039,-6.35683,5.5621,-3.51863,0.924606,-1.56417,2.78482,-2.47279,-0.341905,0.0311793,1.00261,-0.711271,0.992836
0.301859410,-588.795,-30.5955,17.0872,-12.3025,-2.45725,2.65663,4.59598,-3.60793,4.18424,-6.87601,3.67874,-4.62612,2.23132,0.162485,3.03952,0.339909,2.85734,1.88922,2.76703,-1.62533,-0.946507
0.325079365,-590.914,-30.9981,19.4897,-8.99742,-2.76312,3.45938,0.684174,-6.50484,6.32605,-3.50535,4.3762,-3.67439,2.97658,-2.10243,0.822873,-1.78744,1.89923,0.368239,0.341253,-2.81897,-1.13647
0.348299320,-592.91,-33.8197,16.7929,-13.7113,-6.01398,1.66451,3.87941,-4.7756,4.75114,-4.60622,5.72183,-1.41012,3.83737,-0.771269,1.44676,-1.62964,1.86279,0.775785,1.45658,0.80131,1.94488
0.371519274,-588.524,-29.2967,19.444,-10.5755,-4.54901,2.54331,3.80285,-6.42082,3.71999,-4.62164,4.94108,-4.96215,2.58509,-2.23864,1.23376,-1.86386,0.678629,-0.612662,0.112027,-1.21679,0.593951
0.394739229,-592.602,-30.7835,18.5842,-11.6102,-2.40811,5.75647,5.32062,-5.075,3.6248,-6.17634,1.85827,-6.13918,0.236146,-2.1772,1.22078,-3.12073,-0.73922,-2.8782,-1.24142,-1.99865,1.32078
0.417959184,-586.977,-29.106,18.9426,-10.7183,-5.47667,2.13281,2.77068,-10.0344,2.06244,-7.78394,2.65572,-4.28875,4.59729,0.676231,2.69524,-1.91812,1.69538,-0.632337,0.504082,-0.572697,2.38951
0.441179138,-590.064,-31.4869,17.4018,-10.6272,-4.46177,5.18358,5.0885,-6.12986,3.84292,-5.37831,3.85506,-7.22031,-0.255757,-0.694814,3.03729,-2.09393,1.7189,1.08918,-0.468948,-2.00929,0.202413
0.464399093,-590.849,-31.8162,15.3619,-11.4427,-5.14697,3.81272,5.14603,-7.44325,2.33572,-8.37458,4.13151,-2.83023,1.84805,-2.25597,2.95672,-0.283184,1.64141,-0.280342,-0.0282158,0.146894,2.30211
0.487619048,-590.711,-30.0455,18.642,-11.0792,-4.21042,-0.555916,1.43642,-8.30147,3.41789,-4.22516,6.10153,-5.00884,1.01279,-4.65399,-1.78711,-3.64319,1.0445,-1.44814,-1.48582,-2.83758,-1.02604
0.510839002,-496.68,6.87158,3.74246,-8.4165,5.81704,-2.79782,-1.36022,-6.01068,4.04546,-3.72536,1.89178,-5.71052,0.669773,-3.20132,1.44428,1.24432,1.6059,-2.96762,1.04592,0.672716,-0.814896
0.534058957,-414.864,21.503,-2.12375,-1.29785,5.44342,-0.976275,-2.98015,-3.86326,2.83808,-1.58566,0.169777,-2.10794,-0.942601,-2.44615,-0.133594,1.24258,2.75451,-2.86927,-1.03862,0.25728,-2.45478
0.557278912,-376.281,20.8107,-1.03002,-1.34766,6.05472,0.935412,-1.93025,-1.54087,1.74227,-0.687465,1.47112,0.334266,-1.58775,-1.13459,-2.11349,1.05824,-0.0476584,-4.1706,-0.814284,-0.357084,-2.80322
0.580498866,-354.142,21.7296,-3.58118,4.01538,1.55012,-1.09587,-3.06308,-4.11078,0.453316,-3.48521,-3.12707,-2.27339,-4.13958,-2.51053,1.71688,1.02221,1.23986,-3.07249,0.967341,3.52765,-2.10794
