TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
0.092879819,0,0,0,0,0,0,0,0,0,0,0,0
0.139319728,0,0,0,0,0,0,0,0,0,0,0,0
0.185759637,0,0,0,0,0,0,0,0,0,0,0,0
0.232199546,0,0,0,0,0,0,0,0,0,0,0,0
0.278639456,0,0,0,0,0,0,0,0,0,0,0,0
0.325079365,0,0,0,0,0,0,0,0,0,0,0,0
0.371519274,0.27059,1.38914,1.62254,0.782132,0.0061199,0.160218,0.319372,0.222348,0.366173,0.929624,0.698377,0.051792
0.417959184,0.079555,1.24983,0.900259,1.10723,1.04271,0.230026,0.0441765,0.333049,0.665927,0.350739,0.487059,0.44232
0.464399093,0.0373164,1.02045,0.511769,1.1095,2.1278,0.221741,0.100345,0.418222,0.513117,0.109334,0.204343,0.210331
0.510839002,0.0552666,0.844832,0.317929,1.15836,2.46567,0.180453,0.145363,0.481787,0.420987,0.0630174,0.207605,0.0712405
0.557278912,0.0796134,0.603511,0.248769,1.19147,2.26235,0.188357,0.113586,0.512697,0.435638,0.0799863,0.20905,0.0414535
0.603718821,0.000263158,0.303287,0.155651,1.02583,1.85904,0.949186,0.0276656,0.553175,0.469669,0.105321,0.196497,0.0343511
0.650158730,0.000363761,0.259944,0.0608762,0.661755,1.55474,1.30945,0,0.446636,0.483396,0.0879626,0.172176,0.00492286
0.696598639,0.0230218,0.495787,0.22606,0.0233474,1.04688,1.68365,0,0.360331,0.484067,0.00910056,0.286888,0.279501
0.743038549,0.266812,0.563991,0.220316,0,0.767412,1.84841,0,0.324681,0.245519,0.0337373,0.288817,0.385004
0.789478458,0.353911,0.599463,0.172252,0,0.637902,2.17125,0.00528818,0.13762,0.0265716,0.23804,0.155221,0.285374
0.835918367,0.52061,0.432235,0.0977268,0.00118102,0.266004,2.04797,0.0848806,0.699372,0,0.556326,0.771427,0.40351
0.882358277,0.63205,0.45825,0.0298637,0.0118639,0.345892,1.78228,0.977386,0.586906,0,0.313272,0.875982,0.138457
0.928798186,0.451654,0.32387,0.00188555,0.0469863,0.326646,1.13547,1.68359,0.493098,0,0.250887,0.977381,0.111354
0.975238095,0.0353768,0.0945479,0.00161932,0.054952,0.311967,0.389038,2.11055,0.643675,0,0.191119,1.12653,0.202721
1.021678005,0.000152005,0.202902,0.0620259,0.0406999,0.23096,0.104034,2.29737,0.743845,0.000463322,0.10164,1.15823,0.3044
1.068117914,0.000320471,0.143382,0.497486,0.115942,0.0290217,0.0401779,2.19552,0.689571,0.00142457,0.034216,1.03375,0.195176
1.114557823,0.000438805,0.00275674,0.45,1.48865,0,0.18963,1.80174,0.623208,0.0384619,0.0389202,0.828887,0.153193
1.160997732,5.01522e-05,0.308752,0.300982,3.19706,0.0372965,0.326819,0.71158,0.746245,0.0606246,0.0404013,0.817646,0.0947882
1.207437642,0,0.401777,0.221857,3.58444,0.0316138,0.323027,0.00123505,0.63285,0.0651528,0.0551488,0.916932,0.101274
1.253877551,0,0.382796,0.164167,3.6187,0.136547,0.275558,0,0.811817,0.14138,0.0464456,0.838864,0.0348542
1.300317460,0,0.339348,0.251917,3.64142,0.187758,0.23382,0.00258908,0.861333,0.0999683,0.0437641,0.756905,0.0153542
1.346757370,0,0.226233,0.364163,3.34133,0.29714,0.128708,0.0947284,0.799104,0.0869283,0.120341,0.640672,0.0296854
1.393197279,0.00509037,0.377935,0.28683,2.71503,0.177045,0.0422231,0.225105,0.847737,0.0253971,0.261263,0.588931,0.00496123
1.439637188,0.0263379,0.422833,0.344642,2.29605,0.0349408,0.0349557,0.28607,0.779243,0.0205538,0.318445,0.533061,0.0408949
1.486077098,0.0922429,0.52275,0.377358,2.05964,0.0338596,0.0389876,0.251152,0.645365,0.0176827,0.293634,0.4401,0.0754517
1.532517007,0.0867231,0.594007,0.331694,1.96511,0.641324,0.0462382,0.143396,0.431874,0.0149781,0.29735,0.357698,0.0428222
1.578956916,0.0931759,0.609434,0.253716,1.94047,1.24924,0.161602,0.044438,0.0525468,0.0200445,0.309821,0.48784,0.173191
1.625396825,0.152364,0.455793,0.253344,2.03232,0.724653,0.19489,0.0684216,0.0260616,0.0281877,0.314506,0.482686,0.315044
1.671836735,0.267642,0.174641,0.449106,1.68227,0.0975702,0.152162,0.114838,0,0.0582323,0.638965,0.407154,0.159139
1.718276644,0.426817,0.43694,0.632024,1.5856,0.246649,0.0937479,0.10364,8.65707e-05,0.10516,0.624027,0.28318,0.208075
1.764716553,0.14837,1.21655,0.844152,1.24536,0.282795,0.313116,0.0834593,0.00950514,0.135802,0.487297,0.0656123,0.189158
1.811156463,0.0532578,1.515,0.84039,0.561706,0.000337554,0.433868,0.0856322,0.0354997,0.122593,0.648814,0.165854,0.251123
