TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-469.079,7.72416,11.3562,1.36706,6.27235,-0.260548,4.76108,-0.977715,4.00031,-1.34854,3.03843,-1.22895,2.32857,-1.22021,2.22619,-0.618684,1.81333,-1.12125,1.42407,-1.04222,1.06003
0.023219955,-532.247,-22.6203,11.1619,-1.89982,6.831,0.166132,6.365,-0.51657,6.01248,-1.18313,3.86173,0.74037,4.31105,0.560545,4.20386,-0.644906,3.20545,0.339636,0.30154,-0.637413,1.13111
0.046439909,-537.624,-29.8939,7.33064,-3.48775,4.91718,-3.94804,2.77846,-2.55603,4.34653,-1.98069,2.35981,-0.490328,2.37467,-1.54409,0.644063,-2.27093,0.999562,-1.71478,1.10595,-0.172112,1.64803
0.069659864,-538.562,-29.0532,5.81431,-5.76043,3.29656,-4.10458,1.31112,-3.78845,1.18584,-4.17124,2.45912,-3.18014,0.635917,-2.75911,0.120483,-1.66723,0.925075,-0.94426,1.14482,-2.38103,-0.464896
0.092879819,-541.669,-30.0902,7.71013,-3.50954,5.40186,-4.25712,3.62718,-2.79126,2.09845,-3.82817,1.99475,-3.31135,0.938591,-2.01686,2.77183,0.552946,-0.721019,-3.39072,-0.777425,-3.6793,-3.53552
0.116099773,-538.739,-30.0619,4.806,-4.92649,6.26187,-1.70205,3.73637,-3.68307,4.17183,-1.66535,4.80637,-0.432232,2.19276,-0.686922,2.49407,0.824269,0.214618,-3.37926,1.253,-1.63786,0.0200288
0.139319728,-542.202,-30.9331,4.48161,-9.18991,3.40587,-3.62072,5.6078,-0.284251,3.0566,-1.22824,3.14845,-1.36026,3.24231,-0.603445,2.35379,0.339872,3.23814,1.62007,0.295593,-2.61915,0.362287
0.162539683,-539.044,-32.9899,1.28159,-6.90881,5.84369,-2.04658,6.12731,-0.701404,5.67444,-0.326933,4.09151,-2.46307,0.858909,-1.1376,3.54923,0.96995,1.13838,-1.34466,-0.0572917,-2.86288,-2.70768
0.185759637,-536.312,-29.145,4.21108,-6.83192,3.7766,-4.48695,2.74345,-1.72046,1.45873,-5.12881,0.249478,-3.29763,0.289486,-1.77179,2.43403,0.447394,3.37843,0.581321,0.112673,0.0894669,1.60801
0.208979592,-537.758,-30.6998,3.18287,-5.63006,6.14807,-2.68752,2.75294,-5.15988,3.25762,-3.91661,2.16459,-0.937686,2.56711,-0.878361,3.00183,-1.81172,-0.324027,-0.54566,0.630258,-0.992634,-0.473074
0.232199546,-535.414,-28.795,5.72759,-6.20645,2.35201,-4.7764,3.30743,-2.37273,3.96629,-2.40385,0.992157,-5.55971,-0.495109,-1.62881,1.5445,-1.02434,1.95534,-1.69084,0.457289,-1.31563,-0.581634
0.255419501,-436.267,-16.8582,6.25015,-0.374311,6.57114,4.86816,7.29413,5.62667,3.66396,3.52381,5.17284,2.56284,2.21,1.42585,-0.0600818,0.626587,-0.859811,-1.75848,-0.794236,-0.885781,-1.43123
0.278639456,-429.43,-10.5825,7.92258,-0.308671,8.26532,3.42408,4.68343,-1.08885,0.408549,-1.36558,-0.301065,0.0359834,-1.70869,0.940882,2.99208,-0.383972,0.676685,-0.430874,0.147504,-0.0707862,0.472537
0.301859410,-432.599,-14.9788,9.62823,0.227305,4.5395,3.29073,4.66386,0.705282,0.689358,1.12063,1.44255,0.397543,1.17472,1.44598,-0.170466,-1.40736,-1.82944,-1.62162,-0.174905,-0.787083,-1.2345
0.325079365,-431.922,-12.1627,10.4239,1.44233,7.56463,2.96724,4.97148,1.65824,-1.0689,2.60405,4.5667,0.499754,0.22246,-1.35088,-0.679339,-0.886219,-0.639119,-1.07639,0.30128,-0.259472,-0.892465
0.348299320,-432.882,-12.2714,7.11418,-1.51862,5.57969,1.4912,4.2973,2.43806,2.57329,2.01134,2.1283,1.47166,2.72169,1.6457,-0.104835,-1.39079,0.992512,1.93792,0.854298,-0.545927,-1.61455
0.371519274,-433.262,-12.7051,9.23145,0.249634,9.21382,5.58961,3.73144,1.65602,2.95002,2.76739,2.22789,0.180463,2.03968,-0.499469,0.227001,-0.218221,-0.8114,-2.09647,-2.63171,-1.33376,-0.372495
0.394739229,-432.101,-10.0111,11.8665,0.619702,3.12837,0.0377342,3.96892,0.676077,1.96143,1.62503,3.705,1.30422,0.419662,-0.20982,-0.0569241,-0.468436,0.591432,0.407532,-1.50114,-1.26591,-0.263523
0.417959184,-432.105,-12.6612,7.91665,-0.768177,6.54557,3.25797,5.9126,2.62394,3.5083,1.25596,0.508349,-0.591752,-2.07647,-1.71243,-0.285936,1.58991,1.46218,0.0517269,-0.728318,-0.708998,0.813278
0.441179138,-280.749,-18.6949,-14.6518,-5.5046,-6.00516,0.317968,-6.65779,-3.441,-8.04471,-1.29612,-6.49727,-5.02622,-3.11637,3.46998,1.95997,-2.49071,-2.74504,0.102899,0.203901,-3.378,-1.61732
0.464399093,-286.232,-11.0748,-2.75734,4.75458,1.4985,6.23294,-2.80114,-6.48917,-7.91201,-0.137513,-1.94217,-3.24186,-4.08727,-0.685739,-1.41254,-0.178103,-0.759951,1.85373,1.02735,-0.401092,-1.58846
0.487619048,-249.465,10.4085,-4.0507,-1.98237,-4.99417,1.95858,-7.96401,-12.0133,-13.4122,-4.79859,-3.94099,0.0743885,-1.55797,-1.20801,-0.308475,-1.60741,-5.96735,-2.7688,-2.24182,-4.38778,-3.29626
0.510839002,-246.331,17.9762,-14.1223,-11.0897,-6.98385,-4.77933,-7.55007,-2.00223,-8.35898,-5.66954,-3.07159,1.94161,-1.08006,1.2611,-0.0562137,-4.95623,-3.88495,-1.28312,-0.308816,-4.87646,-3.58828
0.534058957,-242.762,13.1255,-14.1404,-11.7952,-12.5712,-7.73284,-9.10986,-3.80328,-10.1121,-6.4313,-6.75174,-1.08584,-0.850456,0.703843,-1.25807,-4.80613,-7.39014,-2.95193,1.10042,-1.92005,-1.80345
0.557278912,-241.475,16.2337,-12.8926,-8.77718,-11.1856,-6.5444,-4.79482,-0.709402,-7.92084,-3.00764,-7.9082,0.805389,-0.825883,-2.03281,-2.06585,-4.29032,-8.64458,-1.91306,2.19471,-5.33804,-3.12945
0.580498866,-258.991,18.122,-11.9333,-9.85125,-11.6403,-8.62782,-9.10907,-2.92203,-7.78637,-5.93033,-9.366,-3.52839,-2.86558,-0.279995,-1.44965,-4.03775,-6.17198,-1.28044,3.44634,-2.69391,-1.52452
0.603718821,-269.842,15.061,-16.1319,-10.2895,-9.02281,-3.68889,-4.31098,-1.19115,-9.06253,-6.89889,-7.98596,-1.96186,-2.23742,-1.30864,-0.831469,-3.69932,-5.6321,-1.39914,3.33309,-2.71239,-0.265874
0.626938776,-283.814,16.4819,-13.0001,-9.25943,-8.98173,-7.73529,-4.43591,-1.21882,-11.7545,-4.17199,-9.93702,-4.07647,-2.69452,-2.6357,-3.00788,-2.29359,-7.47175,-0.824778,4.60017,-1.79734,0.344749
0.650158730,-265.589,9.5766,-19.524,-2.07375,-6.48054,-7.01238,-12.0255,-6.76879,-7.72286,-4.06271,-11.5235,-6.92419,-2.98846,0.239904,-1.83832,-4.17963,-4.99995,-3.00941,4.94939,0.912787,-0.0980204
0.673378685,-279.695,-1.06736,-21.3605,8.03137,-2.62569,-6.86947,-10.303,-11.0196,-10.0001,-3.94943,-10.5086,-6.73469,-5.53116,3.57913,0.0799826,-1.48234,-3.87729,-2.21096,3.00676,2.10769,1.62525
