TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0.21881,1.00715,0.0438515,0.232344,0.934337,0.757916,0.841593,0.0230871,0.306736,0.214678,0.0453789,2.1245
0.046439909,0.143314,1.34775,0.349685,0.137461,0.374523,1.03836,0.993122,0.0501213,0.0825524,0,0.882133,1.82308
0.092879819,0.101785,1.61724,0.426619,0.118902,0.0591288,0.887123,1.38772,0.0532074,0,0.040436,1.19273,0.94835
0.139319728,0.0497985,1.76957,0.426904,0.240928,0.00596321,0.622516,1.59132,0.0467498,0,0.169857,1.26015,0.451489
0.185759637,0,1.81395,0.572346,0.236419,0.12613,0.151736,1.58351,0.124218,0,0.169644,1.49607,0.313297
0.232199546,0,1.81765,0.974636,0.224558,0.287723,0.025689,1.50912,0.422324,0.0297077,0.148972,1.40141,0.169402
0.278639456,0.0767908,1.88453,1.30446,0.316231,0.17012,0.714599,0.837891,0.501186,0.0588059,0.126421,1.19705,0.230013
0.325079365,0.133712,1.48759,1.69133,0.522353,0.0523267,1.24514,0.996576,0.085417,0.0728822,0,1.28032,0.0753168
0.371519274,0.274447,0.697531,1.81547,0.445025,0.0195811,1.17482,0.929894,0.0207764,0.258978,0.102659,1.48844,0.0699845
0.417959184,0.466247,0.690679,1.70823,0.400662,0.0258221,0.997021,0.716314,0.0230807,0.165203,0.234812,1.49626,0.0336225
0.464399093,0.544534,0.527622,1.52981,0.484712,0.271095,0.363932,0.759277,0.0210104,0.137017,0.281688,1.25819,0.0431241
0.510839002,0.642668,0.384113,0.963381,0.534465,0.759723,0.0147972,0.621107,0.00117494,0.273003,0.244872,0.997947,0.190815
0.557278912,0.595746,0.757333,0.369944,0.650903,0.970109,0.0262853,0.161355,0.00371237,0.416796,0.676467,0.715529,0.37345
0.603718821,0.658176,0.681078,0.496228,0.680916,1.27147,0.035744,0.226994,0.00687335,0.165542,0.586104,0.661894,0.413934
0.650158730,0.560189,0.527478,1.05262,0.364088,0.934457,0.0217325,0.304653,0.238394,0.0772674,0.475449,0.587421,0.409354
0.696598639,0.537416,0.476787,1.33469,0.22717,0.517148,0.000130523,0.246798,0.310507,0.161788,0.559986,0.370921,0.384654
0.743038549,0.543941,0.335979,1.15813,0.300258,0.242526,0.00726418,0.12673,0.414251,0.314626,0.595931,0.477411,0.268726
0.789478458,0.656168,0.47412,0.470615,0.684059,0.217149,0.0183777,0.0783717,0.857428,0.32711,0.490766,0.329978,0.249156
0.835918367,0.384488,0.594492,0.171714,0.700387,0.333004,0.0340578,0.0724869,1.19652,0.553006,0.338986,0.334391,0.127776
0.882358277,0.365288,0.46492,0.289375,0.672053,0.558951,0.0843076,0.0726107,1.38446,0.740349,0.209057,0.478559,0.271104
0.928798186,0.389469,0.473318,0.258369,0.823379,0.667949,0.00136058,0.0625998,1.21659,0.591769,0.288932,0.879603,0.191547
0.975238095,0.445414,0.657998,0.166465,1.23562,0.959167,0,0.0612958,1.28076,0.308752,0.361844,0.95524,0.0347932
1.021678005,0.51066,0.748305,0.183316,1.98924,0.674315,0.00899449,0.056306,1.51051,0.333491,0.334143,0.54897,0.022791
1.068117914,0.590637,0.786537,0.159683,2.43158,0.581182,0.0616666,0.0399034,1.61725,0.545272,0.241436,0.109219,0.0157599
1.114557823,0.74013,0.700712,0.0997316,2.56647,0.480398,0.0727692,0.0141393,1.23059,0.840623,0.531591,0.105567,0.025529
1.160997732,0.753818,0.498822,0.192108,2.44837,0.460383,0.0542156,0.00476227,1.06056,1.03573,0.437593,0.321932,0.0489142
1.207437642,0.719815,0.438814,0.496842,2.1982,0.478097,0.0288429,0.00935073,0.944973,1.14036,0.245185,0.534775,0.0422219
1.253877551,0.968955,0.387262,0.575884,2.37058,0.469345,0.0121608,0.0264032,0.980135,1.23199,0.11704,0.565926,0.0379984
1.300317460,1.07356,0.688959,0.260749,2.43998,0.125046,0,0.0311085,1.23656,1.44534,0.0849797,0.510267,0.0394345
1.346757370,1.10685,0.910983,0.11799,2.23347,0.0404168,0.0993353,0.0135657,1.21468,1.75302,0.0116142,0.240829,0.0888355
1.393197279,1.22319,0.895042,0.293689,1.87546,0.236834,0.140102,0.00642829,1.27736,1.5921,0.0486039,0.000627848,0.160471
1.439637188,1.18511,0.964196,0.250028,1.99966,0.456627,0.111289,0.00609569,1.49026,1.293,0.360795,0.11166,0.0877139
1.486077098,1.07446,0.852262,0.0361345,2.22028,0.562788,0.0647134,0.0129255,1.61112,1.22056,0.719467,0.208461,0.00983493
1.532517007,0.900694,0.879644,0,2.21633,0.415853,0.0295824,0.0152877,1.7057,1.06439,0.615593,0.145343,0.0263298
1.578956916,0.579132,0.882501,0.288056,1.93227,0.226035,0.0305906,0.0725771,1.99836,0.860219,0.393801,0,0.0631713
1.625396825,0.821726,0.542669,0.60422,1.88946,0.547615,0.0207401,0.0651445,1.74727,0.654834,0.127062,0,0.078369
1.671836735,0.982814,0.0857121,0.666783,1.93341,0.864805,0.0232944,0.0385557,1.20563,0.731832,0.1042,0.0701781,0.139829
1.718276644,1.00316,0.025888,0.427648,1.69097,0.868393,0.0413485,0.0471923,1.25457,1.21444,0.0593278,0.16115,0.128217
1.764716553,0.929851,0.0257462,0.346837,1.6923,0.410849,0.064111,0.0354518,1.2409,1.75509,0.0813191,0.202615,0.134459
1.811156463,0.865072,0.0143118,0.550187,1.74338,0.280455,0.0693341,0.0170814,0.862527,2.06353,0.341097,0.149026,0.275271
1.857596372,0.770998,0.102147,0.749028,1.62248,0.491927,0.0617685,0.0448461,0.561715,2.02013,0.268365,0.0828866,0.266184
1.904036281,0.521951,0.425935,0.834422,1.52503,0.815491,0.0254391,0.142098,0.296783,1.61179,0.177172,0,0.0576294
1.950476190,0.450897,0.991456,1.03389,1.47299,0.402746,0.00161319,0.0744776,0.0336216,1.33367,0.294385,0,0.0768553
1.996916100,0.308439,1.25945,0.993248,1.63526,0.114813,0,0.0807733,0.289434,1.18371,0.146989,0,0.0708762
2.043356009,0.644047,1.17415,0.894012,1.92487,0.0986716,0.00273666,0.0580095,0.298583,0.916577,0.139458,0.118663,0.0912649
2.089795918,0.836252,0.912322,0.778094,2.34663,0.081165,0.00619734,0.0195469,0.0251482,1.08402,0.404136,0,0.0934611
2.136235828,0.891957,0.584125,0.311274,2.6269,0.168285,0,0.0410225,0.0134551,1.12048,0.377608,0,0.135733
2.182675737,0.67792,0.724275,0.0866466,2.70774,0.461627,0,0.0578464,0.0843279,0.957061,0.376952,0.0587606,0.12135
2.229115646,0.581769,0.781838,0.197968,2.74517,0.308366,0,0.0633321,0.145513,1.07894,0.424124,0.245808,0.101809
2.275555556,0.432258,0.620173,0.135208,2.90214,0.247621,0.0103317,0.0875011,0.165624,1.37028,0.476841,0.242721,0.0506937
2.321995465,0.441491,0.368692,0,3.12474,0.178772,0.0159242,0.0907401,0.299492,1.17352,0.655516,0.116158,0.0770395
