TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-574.932,-28.0864,6.35001,-4.19498,9.18489,-1.99012,5.28127,-2.35089,2.96909,-3.54125,2.53411,-1.21232,3.69996,-2.468,2.6195,-0.281023,-1.29259,-4.46568,-0.739593,-0.872053,2.55568
0.023219955,-554.424,-31.3094,5.46989,-7.61178,4.30981,-6.879,4.37782,-3.30054,6.05334,0.0728453,3.3629,-1.20175,2.68802,-0.27014,2.24663,0.638667,1.56168,-0.514554,1.75896,-0.223875,0.938204
0.046439909,-545.847,-21.4149,15.214,0.169273,11.2957,-0.0938482,8.95568,-2.62628,3.31627,-2.16689,0.911291,-5.29458,1.12446,-2.29408,0.325284,-0.964491,2.57734,-0.650836,-0.59015,-1.39767,1.42031
0.069659864,-511.379,5.06571,29.5335,7.67975,15.671,4.71553,8.20434,-3.77052,1.74083,-7.81426,-2.05827,-5.70733,-1.01032,-4.16736,0.228127,-0.257578,3.91633,-0.0734551,-1.00753,-3.32529,-1.20762
0.092879819,-461.283,26.9215,24.4197,4.22142,15.4326,13.5059,14.2038,-9.14197,3.16481,-6.64851,-2.36656,-2.50328,-3.35213,-4.58978,2.85137,0.392937,2.32698,-2.73986,2.27144,-0.174711,-2.00321
0.116099773,-433.325,32.3078,20.9592,7.57548,11.7419,12.3708,13.1366,-11.3574,4.27748,-7.03771,-2.35634,1.437,-0.744965,-4.48724,2.57142,1.2714,3.71006,-1.81366,1.17117,-1.08841,-3.7831
0.139319728,-417.826,35.4008,19.3747,10.3756,9.19863,14.8989,14.7024,-12.8452,3.55807,-7.11316,0.558109,0.00603336,-1.15615,-4.70307,-1.41565,-0.809642,2.21002,-2.22662,0.881142,-2.25581,-3.2572
0.162539683,-405.816,36.9893,16.9646,9.23776,10.6171,15.0788,11.7315,-16.4269,2.83441,-5.60679,-0.972842,1.94848,-0.0378898,-5.63654,0.524359,2.32489,2.35733,-4.29781,1.18426,-1.96012,-3.47716
0.185759637,-399.645,34.7617,12.7847,7.21875,5.6509,12.4989,10.4765,-15.7368,3.89859,-7.27491,-0.389765,1.96637,0.54015,-4.45346,0.805674,1.85707,0.70187,-2.92836,0.972516,-1.42943,-5.81205
0.208979592,-397.171,35.3146,11.7745,10.1136,8.48158,15.5177,11.1962,-15.238,4.09716,-3.98314,-0.601259,0.292951,-2.83188,-6.36236,-0.0510882,-0.840786,2.39972,-3.92392,-0.197332,-1.07035,-5.45719
0.232199546,-400.853,32.5881,13.9258,12.2667,11.2535,14.2891,8.50546,-15.0382,5.17535,-4.8851,-1.89599,-1.0085,-1.72328,-3.23842,-0.185973,1.79775,4.20216,-2.11757,0.862341,-3.8443,-5.84439
0.255419501,-395.595,35.1976,12.7696,8.51564,8.83028,13.0875,6.75828,-15.8649,5.50019,-4.92306,-3.56793,-1.92365,-3.15699,-5.40946,-0.295096,-0.086498,-0.448525,-2.68065,0.719382,-0.499883,-1.61651
0.278639456,-395.96,33.0229,14.5173,11.3776,9.74529,15.0725,9.98021,-12.7215,8.63455,-3.38356,-2.90857,-1.95385,-3.26155,-7.87116,-0.164889,2.65006,1.81452,-3.33034,1.27163,-0.552268,-4.22223
0.301859410,-398.226,32.5891,9.0985,9.81053,10.0472,16.2846,13.3668,-14.3397,4.21571,-7.89484,-4.97706,-1.68712,-1.77186,-3.74207,3.54051,4.09054,1.89972,-3.37365,3.9989,-1.22673,-2.8957
