TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
0.092879819,0,0,0,0,0,0,0,0,0,0,0,0
0.139319728,0,0,0,0,0,0,0,0,0,0,0,0
0.185759637,0,0,0,0,0,0,0,0,0,0,0,0
0.232199546,0,0,0,0,0,0,0,0,0,0,0,0
0.278639456,0,0,0,0,0,0,0,0,0,0,0,0
0.325079365,0,0,0,0,0,0,0,0,0,0,0,0
0.371519274,0,0,0,0,0,0,0,0,0,0,0,0
0.417959184,0.784327,0.101174,0.148946,1.44096,0.568624,0.402932,1.11073,0.141529,1.46849,0.619372,0.00306667,0.322977
0.464399093,1.30896,0.0289788,0.0987669,1.37206,0.300557,0.997873,1.05151,0.0388002,1.35562,0.657781,0.002294,0.0699596
0.510839002,1.37404,0.0316635,0.087096,1.20292,0.205854,1.86218,0.872238,0.0419161,1.1899,0.605291,0.0211009,0.0272463
0.557278912,1.5056,0.0315093,0.0811625,1.03017,0.146367,2.40864,0.546616,0.0429531,0.982436,0.561993,0.0158649,0.0398149
0.603718821,1.51341,0.060588,0.0791866,0.933987,0.0726313,2.737,0.117309,0.245977,0.640054,0.582426,0.00232773,0.0467043
0.650158730,1.46951,0.0366474,0.127868,0.935621,0.0112202,2.93189,0.0388015,0.381203,0.261303,0.854074,0.00312898,0.0530461
0.696598639,1.51947,0.0235206,0.174275,0.819683,0.0249499,2.96794,0.0244949,0.391558,0.131279,0.889653,0.0034711,0.0482592
0.743038549,1.59907,0.0247426,0.132697,0.637337,0.0402166,2.94039,0.0425335,0.354223,0.116816,0.785654,0.00312433,0.0396537
0.789478458,1.71742,0.0159745,0.123691,0.593039,0.00757158,2.8567,0.0329322,0.232051,0.131274,0.829498,0.00259749,0.0594281
0.835918367,1.66103,0.018274,0.147348,0.577779,0.00427146,2.86387,0.0385827,0.0206745,0.120826,1.0027,0.00233259,0.137223
0.882358277,1.63346,0.0455541,0.13043,0.521005,0.0232279,2.70153,0.0693155,0.328478,0.078667,0.830727,0.0154567,0.0660003
0.928798186,1.59947,0.0436582,0.16082,0.485293,0.023542,2.55621,0.163489,0.532815,0.115901,0.784441,0.00458596,0.0877258
0.975238095,1.63288,0.00707291,0.214301,0.494529,0.0067571,2.39063,0.185157,0.583866,0.183283,0.758725,0.00537568,0.128199
1.021678005,1.62455,0.000760041,0.227135,0.509825,0.00510341,2.36905,0.255794,0.576822,0.225172,0.493175,0.00554373,0.0893438
1.068117914,1.72002,0.000527189,0.184512,0.486542,0.0202094,2.37002,0.388456,0.634323,0.119617,0.340048,0.0590228,0.106575
1.114557823,1.82818,0.00695636,0.213387,0.521666,0.0314737,2.32429,0.374099,0.59907,0.157375,0.441432,0.067895,0.149761
1.160997732,1.74687,0.0346929,0.406877,0.514522,0.0215695,2.24536,0.19007,0.614903,0.183988,0.363132,0.0509561,0.507669
1.207437642,1.86014,0.026769,0.480622,0.543151,0.0340663,2.2779,0.0959919,0.591756,0.195205,0.0527167,0.188624,0.620884
1.253877551,2.0353,0.100289,0.390897,0.320981,0.0326377,2.45252,0.0469874,0.547583,0.173844,0.0188017,0.162985,0.432727
1.300317460,1.83439,0.139197,0.183541,0.195813,0.0129574,2.40893,0.137779,0.64475,0.14593,0.29076,0.222449,0.307719
1.346757370,1.83165,0.0913582,0.115967,0.166694,0.0231723,2.23848,0.220661,0.65063,0.111597,0.512258,0.354799,0.233498
1.393197279,1.83107,0.0502432,0.0942036,0.103297,0.0435417,2.11852,0.454452,0.636008,0.186653,0.569556,0.398586,0.434927
1.439637188,1.76202,0.010029,0.0717956,0.30663,0.0327946,2.10193,0.489103,0.629255,0.19042,0.612408,0.228889,0.698166
1.486077098,1.57305,0.00783828,0.111943,0.303793,0.0206914,2.11062,0.43016,0.693811,0.241536,0.732766,0.220509,0.740347
1.532517007,1.54532,0,0.361246,0.086926,0.0328614,1.99745,0.370031,0.704861,0.343909,0.800274,0.415911,0.669294
1.578956916,1.44941,0,0.48192,0.0486681,0.0171333,1.99914,0.297297,0.743425,0.656439,0.781046,0.374827,0.649059
1.625396825,1.23036,0,0.315944,0.168961,0.0153022,2.08563,0.231213,0.822718,0.486859,0.721516,0.301785,0.822481
1.671836735,1.12709,0.00453136,0.199665,0.195121,0.0206313,2.35052,0.205511,0.816839,0.312188,0.724921,0.193994,0.969329
1.718276644,1.19631,0.235098,0.302164,0.179955,0.00566523,2.49989,0.276719,0.766639,0.328901,0.830888,0.11645,0.928319
1.764716553,1.06068,0.228354,0.80134,0.237842,0.0110786,2.49414,0.185282,0.815345,0.301272,0.875088,0.216346,0.876013
1.811156463,0.828712,0.222133,0.459363,0.446034,0.239344,0.934645,0.624072,1.95304,0.648909,0.0265899,0.130945,0.816498
1.857596372,0.990891,0.664505,0,1.42436,0.0065484,0.877185,0.848501,1.76042,0.453041,0.0202428,0.0739624,1.07247
