TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-498.367,1.82824,13.669,-0.747343,6.40846,-0.922518,4.64737,-1.76018,3.08583,-1.68367,2.42624,-1.12379,2.84493,-1.98707,1.44195,-0.511102,1.99235,-0.309659,0.416263,-1.20378,1.30144
0.023219955,-516.682,-28.9519,5.44753,-2.73781,7.02297,1.70841,4.58788,-0.754226,1.58752,-1.61048,1.03737,-0.498227,2.72123,-1.20626,1.44558,-1.28005,0.584544,-0.77304,1.03705,-0.064848,2.66059
0.046439909,-488.84,-26.7586,3.48286,-6.09929,1.56936,-0.532287,2.04457,-0.320283,3.34627,0.560187,2.67246,-0.591869,0.917163,-0.786946,0.992189,-1.38155,1.62715,1.21686,1.54478,0.987756,1.52178
0.069659864,-480.565,-28.8113,2.37622,-7.49182,1.37394,1.28092,3.99353,1.39838,3.06739,3.12293,3.76019,0.756763,-0.192514,-0.633003,1.19574,0.87447,0.728118,-0.268138,-0.906868,-0.690604,-1.67649
0.092879819,-467.731,-28.2422,2.26105,-6.47358,0.0544029,-0.87651,-0.769121,-3.14646,2.25749,2.03384,2.40312,0.575107,1.60924,0.813917,1.04331,2.01872,1.37136,0.450865,0.0948431,0.631931,0.130741
0.116099773,-459.206,-28.2247,2.61425,-3.67425,3.03149,-0.305203,-0.355491,-0.835743,1.1748,-0.264067,0.861477,-0.220702,-0.168324,-1.03588,0.315954,1.47192,0.438823,0.342652,0.0818401,-1.24099,-0.633918
0.139319728,-452.695,-26.9122,2.89186,-6.07787,-0.5616,-3.42945,-0.713699,-1.53841,-0.661389,-2.53966,-0.960809,-1.76269,-2.77016,-2.41132,-1.65629,-1.18965,-1.68377,-0.39533,0.708817,-2.86017,-0.86083
0.162539683,-443.892,-27.3149,3.48816,-4.56257,1.04964,-0.498117,1.03091,-2.16981,-2.48689,-1.70256,-0.84768,0.93576,1.09762,0.9892,0.488849,-0.869556,0.936778,2.45215,3.49278,1.19778,-0.593712
0.185759637,-438.691,-26.5261,5.44682,-3.3494,1.30605,-0.372307,3.29177,-0.308386,1.28711,0.520232,0.733218,1.32866,1.38181,0.000372904,0.975062,3.46358,3.7777,2.14256,0.38148,-0.847465,-1.41577
0.208979592,-433.744,-25.1545,4.89839,-4.90074,0.387607,0.116009,1.80437,-0.302159,0.912407,0.657176,1.07881,2.12762,0.90739,2.10776,0.377194,1.19314,3.67963,2.44606,1.54623,-0.335059,-0.762012
0.232199546,-432.451,-27.2186,3.67094,-2.5412,2.37598,0.678114,2.05448,1.41376,1.54547,1.1618,0.671521,1.42071,1.36297,0.722944,0.643983,0.0278114,-1.41687,0.548407,0.392823,-1.02533,1.00036
0.255419501,-426.482,-27.5537,0.581015,-4.75137,1.99342,0.529308,2.39427,1.32686,0.395243,0.727068,0.536701,1.07545,-1.5589,-0.850698,0.125386,2.15784,2.56179,2.58867,1.72419,0.882844,1.57794
0.278639456,-406.385,-20.8816,-4.66952,-4.67627,5.3725,-0.486696,0.688635,0.418762,-0.737561,-1.06978,2.80469,1.07327,-0.597486,2.74971,2.10813,0.390859,-0.00927526,1.26684,0.317663,0.607492,0.857588
0.301859410,-402.705,-17.5777,-1.87218,-1.23412,5.00226,-1.52046,2.79498,2.67048,0.415025,2.06016,5.61791,3.71506,1.20619,0.15633,-0.539339,-0.914467,0.32398,2.32526,0.120533,-0.197209,1.6047
0.325079365,-402.144,-15.7421,-1.9904,-1.72076,5.33039,-1.4844,1.18355,3.67375,5.0196,3.56876,3.50041,1.18071,-0.426297,3.72302,0.61849,-2.8277,-0.725096,-0.0483276,0.315446,1.03498,1.80282
0.348299320,-404.25,-18.4067,-2.07054,-3.2516,3.29221,-1.95896,1.02731,0.455053,1.02413,2.93332,2.8805,0.851086,1.39647,1.17023,-0.61603,-2.25297,-2.62003,0.346368,-1.40299,-0.29429,4.01757
0.371519274,-399.971,-15.3562,-1.57098,-2.83195,6.88054,-0.45841,0.536993,0.116593,0.945982,3.32288,4.78884,3.53007,0.588554,1.87214,1.39456,-1.53257,-0.760435,-0.37842,-0.00832126,0.613032,1.69061
