TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,3.83608,0.00660056,0.0827804,0.0127231,0.0985017,0.601988,0.0441996,0.831862,0.470999,0.00183206,0.0254418,0.203612
0.046439909,4.00378,2.98213e-05,0.0412021,0.0143265,0,0.660239,0.0181427,1.15611,0.325713,0.00186961,0.0113897,0.169589
0.092879819,4.12431,0,0.0160858,0.011648,0.0108332,0.684082,0.00632289,1.55942,0.132335,0.00162223,0.012687,0.13671
0.139319728,4.12442,0.0566799,0.00481592,0.00544875,0.0404679,0.72472,0.00156047,1.96008,0.0429947,0.00103021,0.0152789,0.0434279
0.185759637,4.13219,0.113272,0,0,0.0635,0.73879,0.00298383,2.07594,0.00122229,0.000195737,0.0169936,0
0.232199546,3.96822,0.0913039,0.0064156,0.000251272,0.0713252,0.84296,0.00254806,2.02993,0.0143629,0,0.0134424,0
0.278639456,4.05078,0.123035,0.0494035,0.274256,0.1202,1.03751,0.215858,1.10552,0.118768,0,0.0201492,9.79629e-06
0.325079365,3.83103,0.00759275,0.0543646,0.429192,0.125677,1.16154,0.507548,1.11269,0.80017,0,0.011313,0.000155582
0.371519274,3.65541,0,0.0546754,0.83691,0.00397612,0.840873,0.56059,1.08238,1.012,0.514811,0.00397408,0.000377011
0.417959184,3.23543,0,0.0409555,1.2076,0.01179,0.523009,0.466502,1.05111,0.855994,0.842268,0.00264658,0.000490202
0.464399093,3.05536,0.00118456,0.0255769,1.53581,0.0179649,0.591028,0.335193,0.955517,0.66508,0.76308,0.0228467,0.000562348
0.510839002,2.96874,0.00244756,0.353237,1.4142,0.0243475,0.635681,0.341886,0.298709,1.04258,0.485638,0.102164,0.000641787
0.557278912,3.26607,0.000671212,0.752397,1.02715,0.17156,0.644335,1.29934,0.189984,0.759409,0.279697,0.00166221,0.0441367
0.603718821,3.67716,0.0205264,0.330544,0.683574,0.453775,0.684118,1.75475,0.209808,0.158322,0.0805974,0,0.0970319
0.650158730,3.61521,0.0485376,0.00134984,0.309894,0.501181,0.905493,1.75919,0.313007,0.0327634,0.00050707,0.297935,0.139286
0.696598639,2.9138,0.143468,0.100543,0.0841604,0.289884,0.426054,1.79988,0.691699,0.0253052,0.00525196,0.427783,0.217186
0.743038549,3.59797,0.0104332,0.00221876,0.10027,0,0.38962,1.15522,1.03414,0.0108206,0,0.126096,0.363839
0.789478458,3.67122,0.00395738,0.118156,0.0235274,0.081323,0.297056,0.902126,1.05266,0.00150747,0,0.00036601,0.360994
0.835918367,3.6874,0.0220916,0.198878,0.00606601,0.262957,0.205251,0.979137,0.999504,0.0039053,0,0.0790042,0.109736
0.882358277,3.54791,0.0818744,0.117059,0.0406782,0.362512,0.200931,1.09128,1.04872,0.00574289,0.00759058,0.193104,0.0523146
0.928798186,3.36724,0.0308867,0.111635,0.0435727,0.520292,0.224278,1.76317,0.636367,0.00340887,0.0236355,0.277052,0.00577554
0.975238095,3.05227,0.0395956,0.310434,0.0151244,0.471096,0.41235,2.27729,0.401517,0.00182732,0.107893,0.168687,0.0997252
1.021678005,2.76528,0.0221692,0.378293,0.0376132,0.203261,0.592655,2.31678,0.419895,0.0131122,0.228352,0,0.170696
1.068117914,2.78503,0.010965,0.336714,0.185418,0.00321711,0.727154,1.74811,0.396864,0.0482678,0.379192,0,0.189493
1.114557823,3.00003,0.174842,0.272044,0.310847,0.00832292,1.03986,0.501399,0.449047,0.0542697,0.45343,0,0.333076
1.160997732,3.08821,0.0617228,0.245515,0.365992,0.0226425,1.81131,0.22167,0.941256,0.0700156,0.375671,0,0.063299
1.207437642,3.07657,0.0957588,0.335584,0.0324078,0.168734,1.8084,0.416307,1.54534,0.207948,0.0352398,0,0
1.253877551,2.33515,0.420173,0.423222,0.113151,0.650273,1.66608,0.554294,0.951806,0.28278,0.0660531,0,1.46671e-05
1.300317460,1.99505,0.351067,0.392395,0.281527,0.618328,1.78823,0.650988,0.720362,0.17727,0.458844,0.387568,0.000691592
1.346757370,2.24101,0.195546,0.222221,0.329316,0.295222,1.29431,0.951563,0.242175,0.0708891,0.634874,0.508047,0.00121095
1.393197279,2.06595,0,0.0717009,0.311718,0,0.859666,2.25863,0.00438183,0.0341434,0.491214,0.537713,0.031683
1.439637188,1.75804,0.377201,0.453286,0.194496,0.055251,0.559106,2.54135,0.472072,0.0918094,0.145815,0.532784,0.00919049
1.486077098,1.44392,0.356295,0.917073,0.121422,0.153588,0.312834,2.30332,1.35688,0.145153,0.123811,0.617391,0.0900133
1.532517007,2.3698,0.171415,1.08593,0.103427,0.192663,0.15553,1.77514,1.56397,0.0593193,0.244574,0.513814,0.124321
1.578956916,3.28967,0.104059,1.16054,0.0770268,0.209226,0.00243651,0.801659,1.88628,0,0.285813,0.151525,0.0837526
1.625396825,4.04425,0.00755237,0.749398,0.066049,0.109144,0.0272731,0.074945,2.16998,0.00071013,0.451128,0.117006,0
1.671836735,4.08491,0,0.295307,0.0610913,0.000112662,0.229969,0.0540896,2.31231,0.00242198,0.47658,0.185978,0.00238558
1.718276644,3.77275,0.0370236,0.181531,0.312394,0,0.623545,0.616953,2.1762,0.00203348,0.18246,0.456633,0.0216191
1.764716553,3.33029,0.0304712,0.159336,0.222045,0.0191033,0.733725,0.953595,1.6927,0.00838153,0.033466,0.566187,0.188515
1.811156463,3.24901,0,0.14199,0.0129761,0.0474441,0.706996,0.915816,1.57952,0.00257676,0.373972,0.50511,0.172158
1.857596372,2.81168,0,0.280155,0.0132309,0.208439,0.544762,2.1961,0.732996,0.0550778,0.448674,0.580923,0.0294372
1.904036281,1.51861,0.66045,0.351463,0.0189372,0.367566,0.492246,2.42826,0.763122,0.0603032,0.345077,0.443514,0.000387525
1.950476190,1.36805,0.769184,0.155122,0.0436114,0.422636,0.509517,2.66765,0.779221,0.0483515,0.28971,0.40148,0.000740209
1.996916100,1.40054,0.840413,0.0169157,0.0441215,0.479933,0.415275,2.85196,0.70511,0,0.134603,0.646751,0.0327656
2.043356009,1.37599,0.767029,0.00134775,0.0491371,0.624523,0.467789,2.71604,0.56137,0,0.0289822,0.819035,0.0365312
2.089795918,1.17893,0.652647,0.00293409,0.0526773,0.761916,0.616606,2.1645,0.234528,0,0.00341985,0.801228,0.0853689
2.136235828,1.20831,0.625648,0.0392101,0.0442721,0.776418,0.578631,1.62328,0.0550856,0,0.0256749,0.602967,0.118032
2.182675737,1.33867,0.418128,0.0895733,0.134325,0.747525,0.520893,1.08427,0.340153,0.0274485,0.0711855,0.452281,0.125001
2.229115646,1.55134,0.257567,0.0249388,0.198126,0.733093,0.487057,0.599996,0.919513,0.0289457,0.113537,0.250867,0.0755622
2.275555556,2.57421,0.173105,0.138604,0.305385,0.808436,0.377641,0.4021,1.29116,0.000701382,0.196327,0.0641854,0.00322305
2.321995465,3.41046,0.0799393,0.265398,0.238551,0.873076,0.335659,0.49921,1.55211,0,0.186667,0.0384726,0
2.368435374,3.67202,0.0554851,0.282944,0.0215251,1.01846,0.498988,0.813252,1.52407,0.00802635,0.0403034,0.226197,0.0705349
2.414875283,3.59736,0.0550138,0.288395,0,0.936832,0.847197,0.827535,0.969848,0.574355,0.019402,0.321511,0.129242
2.461315193,3.63076,0,0.288675,0.00300382,0.825265,0.763717,0.861471,0.992169,0.912056,0.0117938,0.357182,0.0890193
2.507755102,3.70986,0.000782786,0.293673,0.00213506,0.633279,0.517167,0.755308,1.10204,0.928729,0,0.326448,0.00391052
2.554195011,3.66296,4.44314e-05,0.30008,0,0.446359,0.481704,1.11779,1.17694,0.89491,0,0.251442,0
2.600634921,3.58312,0,0.303333,0.00244381,0.458003,0.399762,1.29818,1.25029,0.462541,0.0619454,0.226618,0.0309573
2.647074830,3.45159,0,0.298153,0.00911005,0.679778,0.526547,1.09118,1.22189,0,0.0702487,0.210483,0.109639
2.693514739,3.35597,0,0.294126,0.0140434,0.846848,0.582867,0.899521,1.39334,0.0224916,0.0178359,0.158828,0.121779
2.739954649,3.35205,0,0.290178,0.0137286,0.963554,0.627979,0.68754,1.47402,0.060837,0.00777439,0.166538,0.0466771
2.786394558,3.41042,0,0.291172,0.0101331,1.00923,0.589418,0.609931,1.43889,0.0717791,0.00271548,0.181555,0.00707657
2.832834467,3.62573,0.0238953,0.294626,0.00343954,0.877415,0.478036,0.835049,1.41664,0.0618035,0.000275322,0.190056,0
2.879274376,3.73714,0.00334485,0.304501,0.0020234,0.652325,0.457593,1.03587,1.43189,0.00152063,0.000816454,0.145036,0.0132941
2.925714286,3.9408,0.0018828,0.303218,0,0.565185,0.252575,0.852433,1.4515,0.00230965,0.00118008,0.167961,0
2.972154195,4.18987,0.00566364,0.430534,0.000459378,0.50764,0.035712,0.633043,1.22698,0.0163657,0.00720282,0.215937,0.109108
3.018594104,4.08223,0,0.375862,0.0120828,0.388083,0.0339089,0.439684,1.4053,0.0702179,0.0188085,0.157934,0.140341
3.065034014,4.26607,0,0.343835,0.00693384,0.21157,0.0405451,0.475424,1.53293,0.0322141,0.0192103,0.124231,0
3.111473923,4.34741,0,0.256981,0.00182865,0.213598,0.0420912,0.631385,1.60019,0.00538954,0.0147788,0.0835443,7.68934e-05
3.157913832,4.2922,0.109637,0.189612,0,0.227999,0.249004,0.873278,1.57537,0,0,0.0721893,0.000112117
3.204353741,4.12715,0.0431399,0.126515,0,0.284012,0.488346,0.744188,1.76426,0,0.0061799,0.1385,7.25866e-05
3.250793651,4.04024,0.00344494,0.112183,0,0.522013,0.499611,0.62375,2.04696,0.0618499,0,0.157516,0
3.297233560,4.01842,0.0023113,0.161316,0,0.607862,0.494151,0.582253,2.10353,0.0721511,0,0.160455,0
3.343673469,3.83848,0.0195663,0.331877,0.000620532,0.620516,0.491866,0.580686,2.15399,0.0596191,0,0.19134,0
3.390113379,3.85158,0.0394092,0.3934,0.00636665,0.570431,0.476205,0.392761,2.21339,0,0,0.260712,0
3.436553288,3.97316,0.00288419,0.372454,0,0.340506,0.40902,0.311994,2.24083,0.000277103,0,0.35334,0
3.482993197,4.12596,0.00259829,0.144329,0,0.119164,0.404783,0.165654,2.28341,0.00103814,0,0.340354,0.052541
3.529433107,4.33174,0.30766,0.105836,0.0010916,0.0957662,0.267419,0.011407,2.20514,0.000691309,0.023118,0.197671,0.123284
3.575873016,4.40471,0.463489,0.178102,0.0735829,0.113554,0.00103046,0,2.12416,0.0211846,0.061325,0.203207,0.159814
3.622312925,4.19918,0.0382508,0.126592,0.151149,0,0,0,2.04709,0.058099,0.0765983,0.270663,0.120382
