TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-365.338,23.062,17.9663,11.545,9.03797,3.94489,2.83433,0.07883,-3.87847,-4.13141,-1.34694,-3.52997,-3.2905,-3.50649,-0.157789,1.66158,0.532672,0.775773,0.538462,0.363358,0.410393
0.023219955,-362.965,24.6283,22.6284,16.8691,10.5442,4.4507,2.37235,1.92753,0.0800663,-0.497275,-0.398526,-2.77693,-1.57883,-1.96156,-0.204532,0.147832,-1.15328,-1.44172,-1.60661,-2.06614,-1.1158
0.046439909,-354.457,21.2696,19.6413,16.478,8.11188,3.83803,2.52977,0.645082,0.0237753,-3.67969,-1.67448,-1.5727,0.0986942,-0.940133,-0.84792,-0.579842,-0.151405,-2.22575,-2.48061,-1.70895,1.36317
0.069659864,-207.424,17.83,7.42246,11.2344,-8.67001,1.98388,0.0585787,1.74358,-4.32058,-7.79474,-1.53763,-2.00736,0.0139051,1.35806,-0.895226,2.88045,4.79198,2.17562,-0.136359,0.298187,-4.5664
0.092879819,-225.286,26.3242,6.1357,12.1366,-6.64905,4.40222,1.76923,-1.06399,-3.30229,-5.11982,-4.02105,-0.590823,0.868419,3.47369,-1.34992,1.74405,4.07888,2.87296,-1.45139,-2.41325,-4.22621
0.116099773,-236.669,30.1617,4.6292,12.8922,-6.78817,1.97398,4.07798,-1.37795,-2.98919,-5.35985,-2.6238,1.66883,1.05154,2.60932,-1.40999,2.69809,4.47253,3.37524,0.581303,-3.05787,-4.23613
0.139319728,-240.911,34.008,2.35333,12.5178,-5.01038,2.95742,5.80618,-1.17652,-3.34057,-5.69972,-1.46229,0.475009,0.33729,1.53224,-1.31814,4.00378,2.84545,2.74356,0.582089,-2.20698,-3.81068
0.162539683,-247.831,36.2246,0.71661,12.1982,-3.36766,3.00267,6.51355,-1.62853,-2.64374,-3.85015,-3.87059,1.35084,1.15126,1.40651,-1.6463,2.65812,4.60242,3.59645,0.453283,-2.3197,-3.85321
0.185759637,-253.049,38.2907,-0.00797754,12.4979,-3.33679,3.69814,8.03987,-2.99569,-2.32402,-3.40718,-4.04584,-0.375276,0.600417,1.61923,-2.1233,1.43375,3.78165,3.86235,-1.16956,-3.13189,-3.94347
0.208979592,-258.206,39.3674,-1.31249,11.7613,-3.67461,3.47553,7.06211,-2.97655,-3.29077,-3.58519,-3.08786,-0.358324,0.147045,1.28835,-2.53689,2.37057,3.30234,3.97217,0.476552,-3.02377,-3.03671
