TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
0.092879819,0,0,0,0,0,0,0,0,0,0,0,0
0.139319728,2.36691,0.468419,0.0779488,0.0731085,1.18164,0.0880878,0.439834,1.11274,0.304511,0.0472906,0.526246,0.784521
0.185759637,2.59763,0.213096,0.0680996,0.110904,1.28727,0.0737678,0.455144,1.13911,0.230833,0,0.515114,0.365598
0.232199546,2.70759,0.0398962,0.0572329,0.130246,1.33606,0.0650868,0.497695,1.17093,0.189972,0,0.498485,0.321354
0.278639456,2.75221,0.00298315,0.048634,0.218284,1.38715,0.0271138,0.532602,1.21738,0.164818,0,0.491581,0.281288
0.325079365,2.74727,0.00164258,0.171201,0.236998,1.41664,0.0303789,0.423595,1.29579,0.13228,0,0.504489,0.24467
0.371519274,2.9259,0.0930174,0.250146,0.182484,1.53375,0.0310457,0.768412,1.51391,0.0566168,0,0.387917,0.0562839
0.417959184,2.30037,0.327482,0.326738,0.626062,0.140433,0.398919,1.27432,1.03388,0.324672,0.00467549,0.00457286,1.43507
0.464399093,2.02674,0.578099,0.423745,0.57881,0.46695,0.0706858,1.38898,0.827737,0,0.0218823,0.00442357,1.46521
0.510839002,1.49475,1.11072,0.355801,0.470506,0.486863,0.0265318,1.2046,1.32351,0,0.0132379,0.103937,1.41525
0.557278912,1.46194,1.29183,0.403293,0.369321,0.524571,0.00156946,0.941835,1.6795,0,0.00161222,0.173846,1.42193
0.603718821,1.54088,1.3062,0.467506,0.12473,0.591085,0,0.666163,2.14893,0.0210077,0.0887561,0.119423,1.37347
0.650158730,1.4714,0.67062,0.456686,0.0108171,0.716241,0,0.338844,3.01558,0.035493,0.444394,0.283004,1.13077
0.696598639,1.76027,0.0194473,0.915904,0.590778,0.770805,0,0.00306567,3.01602,0.0690254,0.253348,1.02511,0.735573
0.743038549,1.91301,0.129558,1.12454,0.475952,0.580368,0.0202656,0,2.88646,0.0983829,0.42765,0.990885,0.456459
0.789478458,2.31297,0.220175,1.09073,0,0.266012,0.0796939,0.0909778,2.70101,0.253925,0.547797,0.942017,0.026191
0.835918367,2.47169,0.472458,0.809926,0,0.404159,0.0271164,0.139577,2.63996,0.435027,0.357341,0.644054,0
0.882358277,2.46571,0.545648,0.457371,0.0189969,0.297229,0.0127027,0.209166,2.66696,0.554168,0.165974,0.434784,0.400532
0.928798186,2.04321,0.408593,0.653746,0.0739731,0.0463788,0.000498485,0.155774,2.94947,0.538831,0.147248,0.452743,0.846382
0.975238095,1.52443,0.465998,0.83512,0.0795754,0.0809813,0,0.0658689,3.10515,0.58028,0.157566,0.522722,1.03383
1.021678005,1.75584,0.473306,0.976558,0,0.101175,0,0,2.99516,0.504844,0.160846,0.626846,0.666084
1.068117914,2.01447,0.150188,0.930901,0.256904,0.106816,0.0199182,0.0310404,2.76202,0.535177,0.160154,0.58588,0.356652
1.114557823,2.20852,0.0483715,0.985107,0.246731,0.15523,0.042815,0.0354376,2.51308,0.434231,0.140229,0.549874,0.190162
1.160997732,2.24289,0.237931,0.941264,0.385587,0.0624102,0.0650153,0,2.49217,0.409692,0.129138,0.817752,0.0127574
1.207437642,1.94049,0.311295,0.655536,1.15922,0.055391,0.213909,0,2.3408,0.336665,0.120806,2.07677,0
1.253877551,1.5397,0.297657,0.33196,1.61172,0.0638035,0.375128,0,2.12877,0.245279,0.115484,2.659,0
1.300317460,1.40253,0.271999,0.158015,1.65843,0.0670944,0.415299,0,2.13439,0.214338,0.116661,2.81593,0
1.346757370,1.74323,0.241957,0.114251,1.29234,0.244378,0.189964,0,2.43107,0.190957,0.118931,2.66669,0
1.393197279,2.26002,0.303408,0.271342,0.72347,0.300171,0.00314226,0.00408774,2.81534,0.179165,0.118265,1.86439,0
1.439637188,2.54175,0.0296985,0.682485,0.345471,0.150157,0.0477093,0,3.05276,0.244013,0.122937,0.544228,0.105505
1.486077098,2.40608,0.000901734,1.01818,0.121365,0.0888885,0.0158632,0.0194912,3.04781,0.266049,0.1209,0.364475,0.12974
1.532517007,2.13409,0.496032,0.826825,0.0720252,0.117629,0.324709,0.701336,2.4625,0.441438,0.120205,0.482531,0.104254
1.578956916,0.969438,1.246,0.285441,0.0411371,0.15064,0.546969,1.05936,0.772818,0.551706,0.784418,0.757936,0.482567
1.625396825,0.75693,1.65896,0.01839,0.0650844,0.188209,1.25948,0.256515,0.621021,0.463634,0.900113,0.88962,0.703376
1.671836735,0.864,1.69605,0.0151243,0.0434464,0.238084,1.75623,0.036124,0.680659,0.395657,0.733979,0.865088,0.774545
1.718276644,1.14297,1.24381,0.0632655,0.0431152,0.314415,1.53076,0.014058,0.935922,0.248053,0.544148,0.781434,0.817549
1.764716553,1.63841,0.804056,0.899648,0.00311618,0.500211,1.16232,0.00211698,1.1625,0.440455,0.311113,0.59209,0.695601
