TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-595.68,-34.4324,8.24712,-8.72322,-2.43292,-1.86696,1.15077,-5.28707,0.31855,-8.09477,0.560011,-5.56795,-0.3074,-1.93893,3.2315,2.12275,3.31299,-2.39584,-1.97536,-2.83175,-1.00078
0.023219955,-591.408,-31.6814,18.2006,-10.2598,-5.25429,2.64417,3.18791,-6.29548,4.10947,-6.83277,4.40204,-4.75032,0.0546984,-2.313,1.25527,-4.38265,-0.333656,0.273631,1.21855,1.34425,0.722567
0.046439909,-593.144,-32.5945,17.4709,-11.5633,-3.87021,-0.959236,2.20273,-4.6262,3.9085,-5.30863,3.91058,-4.40561,1.35838,-2.8422,1.06611,-1.95423,2.16164,1.51748,0.71405,-1.18526,-1.08507
0.069659864,-590.261,-33.8099,15.4916,-12.4005,-5.08259,1.56683,1.47011,-8.60919,2.61924,-3.99265,3.93103,-1.31776,4.06382,-2.69311,1.25296,-0.594632,1.56888,0.362164,1.24904,-1.35909,0.228327
0.092879819,-589.551,-29.9962,16.8976,-12.2509,-4.28382,4.14961,4.97934,-5.5002,6.01743,-3.20869,5.11718,-2.87772,3.72797,-0.883156,2.49056,-1.85952,2.99297,-0.220632,0.540897,-0.602511,-1.13189
0.116099773,-590.432,-29.7729,20.3878,-8.79656,-3.07809,2.85029,3.82105,-6.52428,3.20615,-5.48349,4.74789,-3.5265,3.74022,0.0915043,4.47044,-0.453053,2.78417,1.45392,-0.536177,-2.20286,0.28535
0.139319728,-593.298,-31.8416,17.2441,-13.0435,-4.0434,1.84242,2.73452,-3.86161,5.34169,-5.00331,4.21914,-4.31172,0.505435,-1.94238,2.50209,-1.72637,3.48144,4.37888,2.45483,0.366726,0.462613
0.162539683,-587.358,-29.0574,19.5459,-8.95658,-1.3453,4.32574,4.24714,-7.33217,5.0135,-4.65201,6.17912,-3.61993,1.35519,-2.73793,1.66308,-0.223189,3.22069,1.06703,1.07636,-0.971923,1.86958
0.185759637,-588.101,-29.7363,16.2309,-12.7266,-4.98975,0.616818,3.42073,-7.19265,3.71916,-6.68033,2.46355,-4.74604,1.7373,-0.533803,2.14412,-3.07495,1.19983,1.3398,0.751293,0.0961407,0.37601
0.208979592,-455.933,10.3775,4.78228,-4.59157,10.8047,2.38644,-2.50715,-3.07204,2.79464,-4.14813,-2.74426,-6.79593,-1.68198,-4.37501,-0.574084,-1.01341,-0.622471,-2.22001,-2.08043,-2.80828,2.33097
0.232199546,-363.185,20.5746,-3.23218,-10.2385,9.93154,2.83873,-5.42034,1.80843,4.43961,-3.24529,-5.22313,-2.02642,1.17311,-0.990598,-2.04381,-1.56799,-1.96645,1.02882,1.09378,-0.998942,-0.244855
0.255419501,-251.481,39.7254,-18.0031,1.11065,6.74635,6.87821,-7.52352,-1.72442,3.36739,-6.70684,-5.28484,-4.94852,-1.9191,2.29295,0.0826217,-2.11292,-3.07412,-0.0556597,0.256725,-2.51499,0.174868
0.278639456,-308.794,46.7725,11.1771,-3.27165,14.7019,9.60266,-3.49924,-4.80443,0.657134,-0.845274,-4.53621,-4.2133,-0.196507,1.05601,1.03723,-1.22856,-1.67846,-1.12478,-2.55613,-3.10352,2.09391
0.301859410,-327.856,38.3792,23.9389,5.53687,9.2969,4.38583,-0.0982094,-2.52555,0.21165,-1.01984,-1.24349,-4.95633,-4.83024,-0.156153,2.87791,0.997023,-1.96306,-0.709464,-1.74163,-1.64435,-0.947489
0.325079365,-335.712,29.0841,26.2967,13.3127,12.3834,3.34221,0.411927,-0.756205,-0.82651,-0.773718,-1.36364,-6.0374,-3.13614,-0.350038,0.224775,0.0807704,-0.694878,-1.27883,-1.32042,-2.67491,-0.564783
0.348299320,-344.266,24.0834,27.8451,17.9071,14.0995,3.81127,-0.832362,0.1832,-1.28403,-2.31541,-0.941203,-4.48562,-2.26843,-2.09841,1.1978,2.02916,-1.37039,-0.919553,-1.02941,-1.36959,-1.1914
0.371519274,-348.399,18.6333,26.4146,21.8177,18.1745,6.08287,2.82362,0.183894,-3.18955,-3.79937,-2.80653,-1.46522,-1.76582,-1.61538,-0.854767,-0.623738,-0.745345,-1.72696,-1.87734,-2.39829,0.55796
0.394739229,-347.834,14.0876,23.9921,21.9619,19.9183,9.05868,3.56308,-1.43133,-4.65093,-3.69399,-0.391423,-1.59576,-1.87642,0.427164,-0.556415,-3.07563,-1.28476,1.88576,-1.67348,-2.92657,0.973047
