Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1u13aCgd6aurUwkuUu4vR3,"Red Rocking Chair","Red Rocking Chair","All Them Witches",2026-02-06,388466,49,false,5op6n8m1bwvyoy5vmgyzgjnp2,2026-02-06T05:11:00Z,"stonerrock,stoner metal,neo-psychedelisch,psychedelische rock,spacerock,sludge metal,bluesrock","BMG Rights Management (US) LLC",0.231,0.502,2,-6.991,0,0.0293,0.0181,0.668,0.0925,0.0403,84.244,4
spotify:track:2aiwiJHFVoYovc9rnQFIl2,"Mama Is a Shining Star","Mama Is a Shining Star","All Them Witches",2022-12-30,636760,18,false,5op6n8m1bwvyoy5vmgyzgjnp2,2022-12-31T01:14:56Z,"stonerrock,stoner metal,neo-psychedelisch,psychedelische rock,spacerock,sludge metal,bluesrock","All Them Witches",0.105,0.274,5,-12.954,1,0.0468,0.237,0.948,0.334,0.0389,78.342,4
spotify:track:1W0jtNJnnjN6rD1aw4dG5T,"Real Hippies Are Cowboys","Real Hippies Are Cowboys","All Them Witches",2022-12-30,481202,24,false,5op6n8m1bwvyoy5vmgyzgjnp2,2022-12-31T01:15:08Z,"stonerrock,stoner metal,neo-psychedelisch,psychedelische rock,spacerock,sludge metal,bluesrock","All Them Witches",0.524,0.868,7,-6.822,1,0.0354,0.00163,0.763,0.466,0.126,122.133,4
spotify:track:3qJR5VbYOrz1zBGx4iMpEe,"Hush, I'm on TV","Hush, I'm on TV","All Them Witches",2022-11-25,304319,29,false,5op6n8m1bwvyoy5vmgyzgjnp2,2022-12-31T01:15:18Z,"stonerrock,stoner metal,neo-psychedelisch,psychedelische rock,spacerock,sludge metal,bluesrock","All Them Witches",0.23,0.919,9,-6.18,0,0.0915,0.0000083,0.733,0.145,0.271,160.095,4
spotify:track:0bzG4EttOxUdHDT4rFQxP7,"Holding Your Breath Across the River","Holding Your Breath Across the River","All Them Witches",2022-10-28,385658,29,false,5op6n8m1bwvyoy5vmgyzgjnp2,2022-10-28T16:27:27Z,"stonerrock,stoner metal,neo-psychedelisch,psychedelische rock,spacerock,sludge metal,bluesrock","All Them Witches",0.404,0.497,10,-10.087,1,0.0263,0.0301,0.911,0.139,0.175,98.084,4
spotify:track:0aQpkTdFY2WYJSbdyGlHHO,"Tour Death Song","Tour Death Song","All Them Witches",2022-09-30,297471,35,true,5op6n8m1bwvyoy5vmgyzgjnp2,2022-10-28T16:27:57Z,"stonerrock,stoner metal,neo-psychedelisch,psychedelische rock,spacerock,sludge metal,bluesrock","All Them Witches",0.388,0.638,0,-8.639,1,0.0326,0.00164,0.0153,0.106,0.143,130.91,3
spotify:track:24yldSMrr0gf7P3VOHMrrj,"Tiger's Pit","Tiger's Pit","All Them Witches",2022-08-26,295626,32,false,5op6n8m1bwvyoy5vmgyzgjnp2,2022-08-30T18:15:31Z,"stonerrock,stoner metal,neo-psychedelisch,psychedelische rock,spacerock,sludge metal,bluesrock","All Them Witches",0.434,0.903,7,-5.224,1,0.0852,0.000028,0.898,0.0887,0.151,106.015,4
spotify:track:17n9fW7F96WW1geUp1UZI3,"6969 WXL THE CAGE","6969 WXL THE CAGE","All Them Witches",2022-07-29,315958,19,true,5op6n8m1bwvyoy5vmgyzgjnp2,2022-08-30T18:15:28Z,"stonerrock,stoner metal,neo-psychedelisch,psychedelische rock,spacerock,sludge metal,bluesrock","All Them Witches",0.622,0.764,11,-7.104,0,0.0564,0.0445,0.823,0.92,0.247,153.428,4
spotify:track:2VO0kA8zIwG14cTDfPOGIH,"L'hotel Serein","L'hotel Serein","All Them Witches",2022-06-24,252363,38,false,5op6n8m1bwvyoy5vmgyzgjnp2,2022-08-30T18:15:25Z,"stonerrock,stoner metal,neo-psychedelisch,psychedelische rock,spacerock,sludge metal,bluesrock","All Them Witches",0.478,0.579,10,-7.107,1,0.0261,0.0252,0.107,0.649,0.355,158.008,3
spotify:track:4LpHEjCyGMPHn2KCGRdqss,"Acid Face","Acid Face","All Them Witches",2022-05-27,1078990,21,false,5op6n8m1bwvyoy5vmgyzgjnp2,2022-05-27T14:49:13Z,"stonerrock,stoner metal,neo-psychedelisch,psychedelische rock,spacerock,sludge metal,bluesrock","All Them Witches",0.396,0.855,9,-7.352,0,0.032,0.0252,0.821,0.128,0.258,124.014,4
